nohup: ignoring input
------------------------------------------------------------------------------------------
TTFT 压力测试初始化 (并发数 Workers=1)...
Device set to use cuda:0
/project/sherpa-onnx/csrc/session.cc:GetSessionOptionsImpl:181 Please compile with -DSHERPA_ONNX_ENABLE_GPU=ON. Available providers: CPUExecutionProvider, . Fallback to cpu!
模型加载完成。
待处理文件数: 2620
算法逻辑: TTFT = max(音频传输耗时, 系统当前时刻) + 解码耗时 + NLP耗时
------------------------------------------------------------------------------------------
文件名                                      | TTFT(s)    | 首字内容 (前30字符)
1995-1837-0006.wav                       | 0.8437     | the.
1995-1837-0011.wav                       | 0.8436     | he.
1995-1837-0025.wav                       | 0.8440     | she.
1995-1837-0003.wav                       | 1.1440     | the reve.
1995-1837-0028.wav                       | 0.8435     | the.
1995-1837-0013.wav                       | 0.8450     | then,
1995-1837-0015.wav                       | 0.8446     | the.
1995-1837-0002.wav                       | 1.1443     | ah.
1995-1837-0007.wav                       | 1.1444     | then,
1995-1837-0016.wav                       | 0.8437     | for.
1995-1837-0001.wav                       | 0.8472     | it was.
1995-1837-0024.wav                       | 1.1494     | for a while.
1995-1837-0004.wav                       | 0.8512     | he.
1995-1837-0005.wav                       | 0.5532     | she.
1995-1837-0026.wav                       | 0.8525     | she.
1995-1837-0029.wav                       | 0.8482     | he.
1995-1837-0000.wav                       | 0.8457     | he.
1995-1837-0018.wav                       | 0.8454     | he.
1995-1837-0017.wav                       | 0.8440     | he.
1995-1837-0020.wav                       | 1.1467     | the.
1995-1837-0008.wav                       | 0.8445     | where.
1995-1837-0014.wav                       | 0.8442     | he.
1995-1837-0012.wav                       | 1.1446     | he splash.
1995-1837-0021.wav                       | 0.8440     | the.
1995-1836-0002.wav                       | 0.8434     | why,
1995-1836-0008.wav                       | 1.1436     | i believe,
1995-1836-0006.wav                       | 0.8439     | she was.
1995-1836-0009.wav                       | 0.8439     | but,
1995-1836-0005.wav                       | 0.8437     | missus.
1995-1836-0011.wav                       | 1.1462     | posit.
1995-1836-0003.wav                       | 0.8446     | she.
1995-1836-0010.wav                       | 0.8447     | the.
1995-1836-0013.wav                       | 1.1465     | mary ta.
1995-1836-0012.wav                       | 1.1439     | but,
1995-1836-0004.wav                       | 1.1440     | as she.
1995-1836-0007.wav                       | 1.1437     | do you believe?
1995-1836-0000.wav                       | 1.1434     | the.
1995-1836-0014.wav                       | 1.1436     | fortun.
1995-1836-0001.wav                       | 1.1437     | at last.
1995-1826-0009.wav                       | 1.1447     | you.
1995-1826-0003.wav                       | 1.1441     | better.
1995-1826-0022.wav                       | 0.8434     | i.
1995-1826-0005.wav                       | 1.1443     | but,
1995-1826-0010.wav                       | 0.8461     | at.
1995-1826-0023.wav                       | 1.4448     | googles.
1995-1826-0001.wav                       | 1.1437     | the so.
1995-1826-0013.wav                       | 0.8444     | so.
1995-1826-0007.wav                       | 1.1439     | find.
1995-1826-0004.wav                       | 1.1437     | might.
1995-1826-0000.wav                       | 0.8442     | in the.
1995-1826-0016.wav                       | 0.8439     | the.
1995-1826-0012.wav                       | 0.8435     | she.
1995-1826-0014.wav                       | 1.1445     | co.
1995-1826-0008.wav                       | 0.8441     | some.
1995-1826-0025.wav                       | 1.4442     | some.
1995-1826-0021.wav                       | 1.4445     | don't know.
1995-1826-0026.wav                       | 1.1436     | now.
1995-1826-0020.wav                       | 1.1446     | miss ta.
1995-1826-0017.wav                       | 1.1489     | there might.
1995-1826-0018.wav                       | 1.1461     | her re.
1995-1826-0015.wav                       | 0.8435     | she.
1995-1826-0011.wav                       | 1.1441     | here,
1995-1826-0006.wav                       | 1.1433     | been.
1995-1826-0002.wav                       | 1.1450     | john.
1995-1826-0019.wav                       | 1.1446     | cott.
1995-1826-0024.wav                       | 0.8441     | the.
3570-5696-0003.wav                       | 1.1442     | a recon.
3570-5696-0004.wav                       | 0.8445     | the.
3570-5696-0006.wav                       | 0.8439     | as.
3570-5696-0000.wav                       | 0.8439     | under.
3570-5696-0002.wav                       | 0.8438     | other.
3570-5696-0008.wav                       | 0.8487     | but it.
3570-5696-0001.wav                       | 0.8434     | but,
3570-5696-0009.wav                       | 1.1436     | in stric.
3570-5696-0007.wav                       | 0.8437     | the us.
3570-5696-0005.wav                       | 1.1484     | throughout.
3570-5696-0010.wav                       | 1.1454     | an article.
3570-5694-0003.wav                       | 0.8437     | with.
3570-5694-0020.wav                       | 1.4435     | so.
3570-5694-0012.wav                       | 0.8441     | there is.
3570-5694-0013.wav                       | 1.1434     | this diff.
3570-5694-0019.wav                       | 0.8448     | but,
3570-5694-0010.wav                       | 0.8435     | the.
3570-5694-0005.wav                       | 1.1442     | under.
3570-5694-0006.wav                       | 1.1443     | drun.
3570-5694-0011.wav                       | 0.8447     | the cu.
3570-5694-0000.wav                       | 1.1447     | but a.
3570-5694-0016.wav                       | 0.8447     | man.
3570-5694-0022.wav                       | 1.1444     | the li.
3570-5694-0018.wav                       | 0.8440     | the.
3570-5694-0001.wav                       | 1.1442     | the.
3570-5694-0017.wav                       | 0.8450     | the.
3570-5694-0007.wav                       | 0.8451     | it.
3570-5694-0021.wav                       | 1.1447     | whenever.
3570-5694-0009.wav                       | 1.1436     | with.
3570-5694-0004.wav                       | 1.1435     | in the.
3570-5694-0015.wav                       | 1.1436     | so man.
3570-5694-0014.wav                       | 0.8446     | man.
3570-5694-0002.wav                       | 1.1457     | such.
3570-5694-0008.wav                       | 1.1445     | the con.
3570-5695-0008.wav                       | 0.8451     | the.
3570-5695-0010.wav                       | 0.8461     | the.
3570-5695-0011.wav                       | 0.8435     | it.
3570-5695-0002.wav                       | 0.8433     | but,
3570-5695-0012.wav                       | 0.8433     | it.
3570-5695-0015.wav                       | 0.8432     | the.
3570-5695-0013.wav                       | 1.1436     | consum.
3570-5695-0007.wav                       | 0.8430     | there.
3570-5695-0009.wav                       | 1.1435     | each.
3570-5695-0001.wav                       | 1.1436     | the.
3570-5695-0014.wav                       | 0.8448     | among.
3570-5695-0000.wav                       | 1.1437     | in a gen.
3570-5695-0005.wav                       | 1.1432     | the man.
3570-5695-0004.wav                       | 0.8437     | if.
3570-5695-0006.wav                       | 1.1435     | very much.
3570-5695-0003.wav                       | 0.8431     | in.
5639-40744-0009.wav                      | 0.8432     | mother.
5639-40744-0005.wav                      | 1.1437     | finally.
5639-40744-0017.wav                      | 1.1435     | chok.
5639-40744-0034.wav                      | 1.1435     | all.
5639-40744-0028.wav                      | 0.8448     | i.
5639-40744-0018.wav                      | 1.1456     | that would.
5639-40744-0021.wav                      | 1.1435     | she mean.
5639-40744-0033.wav                      | 1.1430     | her.
5639-40744-0000.wav                      | 1.4437     | eleven o.
5639-40744-0001.wav                      | 1.1433     | se.
5639-40744-0016.wav                      | 1.1437     | on the con.
5639-40744-0004.wav                      | 1.1447     | they.
5639-40744-0007.wav                      | 1.1438     | mean.
5639-40744-0020.wav                      | 1.4454     | thus:
5639-40744-0002.wav                      | 0.8444     | ru
5639-40744-0036.wav                      | 0.8442     | his.
5639-40744-0003.wav                      | 1.1441     | in.
5639-40744-0038.wav                      | 1.4615     | just.
5639-40744-0032.wav                      | 0.8437     | for.
5639-40744-0040.wav                      | 0.8434     | this:
5639-40744-0024.wav                      | 1.1427     | one.
5639-40744-0006.wav                      | 1.4433     | rodolp.
5639-40744-0015.wav                      | 1.1427     | this:
5639-40744-0041.wav                      | 1.1435     | nor.
5639-40744-0030.wav                      | 1.1443     | just.
5639-40744-0025.wav                      | 1.1458     | the.
5639-40744-0019.wav                      | 1.1440     | what.
5639-40744-0014.wav                      | 0.8444     | among.
5639-40744-0027.wav                      | 1.4435     | thus saying:
5639-40744-0035.wav                      | 0.8432     | she.
5639-40744-0011.wav                      | 0.8434     | she.
5639-40744-0022.wav                      | 1.1434     | time.
5639-40744-0029.wav                      | 0.8434     | this:
5639-40744-0037.wav                      | 1.1437     | know, then
5639-40744-0039.wav                      | 0.8436     | when.
5639-40744-0031.wav                      | 1.1432     | so.
5639-40744-0026.wav                      | 1.1459     | lou.
5639-40744-0012.wav                      | 0.8434     | she.
5639-40744-0008.wav                      | 1.1433     | who touch?
5639-40744-0010.wav                      | 0.8432     | it is.
5639-40744-0013.wav                      | 1.1432     | she.
5639-40744-0023.wav                      | 1.1431     | when.
7176-88083-0008.wav                      | 1.1433     | in desp.
7176-88083-0021.wav                      | 0.8429     | but,
7176-88083-0009.wav                      | 0.8430     | the.
7176-88083-0005.wav                      | 1.1450     | once.
7176-88083-0013.wav                      | 0.8478     | like.
7176-88083-0019.wav                      | 0.8462     | as.
7176-88083-0018.wav                      | 0.8445     | but,
7176-88083-0024.wav                      | 1.1429     | the.
7176-88083-0026.wav                      | 1.1432     | the dra.
7176-88083-0011.wav                      | 0.8433     | in.
7176-88083-0002.wav                      | 0.8432     | his.
7176-88083-0014.wav                      | 1.1427     | the.
7176-88083-0020.wav                      | 1.1433     | where the.
7176-88083-0010.wav                      | 0.8433     | the.
7176-88083-0001.wav                      | 1.1442     | the merg.
7176-88083-0003.wav                      | 0.8437     | but,
7176-88083-0023.wav                      | 0.8436     | he had.
7176-88083-0000.wav                      | 1.1441     | all.
7176-88083-0012.wav                      | 0.8461     | the.
7176-88083-0027.wav                      | 1.1436     | than the.
7176-88083-0004.wav                      | 1.1429     | but,
7176-88083-0015.wav                      | 1.1435     | almost in.
7176-88083-0006.wav                      | 0.8429     | and.
7176-88083-0007.wav                      | 0.8427     | but,
7176-88083-0025.wav                      | 1.1429     | at the.
7176-88083-0016.wav                      | 1.1429     | straight.
7176-88083-0022.wav                      | 0.8432     | the.
7176-88083-0017.wav                      | 0.5437     | but,
7176-92135-0028.wav                      | 1.1448     | larks.
7176-92135-0033.wav                      | 0.8510     | rela.
7176-92135-0005.wav                      | 0.8462     | but,
7176-92135-0026.wav                      | 1.4543     | enter hamlet.
7176-92135-0001.wav                      | 1.1446     | in short.
7176-92135-0000.wav                      | 0.8446     | he is.
7176-92135-0040.wav                      | 1.1442     | hostes.
7176-92135-0034.wav                      | 0.8444     | the.
7176-92135-0024.wav                      | 1.1444     | to.
7176-92135-0027.wav                      | 1.1459     | lady lar.
7176-92135-0029.wav                      | 0.8467     | i.
7176-92135-0007.wav                      | 1.1469     | anyhow.
7176-92135-0010.wav                      | 0.8449     | him.
7176-92135-0025.wav                      | 0.8437     | it is.
7176-92135-0021.wav                      | 1.1433     | i say i:
7176-92135-0035.wav                      | 1.1433     | then,
7176-92135-0031.wav                      | 1.1432     | and.
7176-92135-0018.wav                      | 1.1434     | in the mo.
7176-92135-0020.wav                      | 1.1436     | double.
7176-92135-0037.wav                      | 1.1443     | then is:
7176-92135-0030.wav                      | 1.4436     | enter lo.
7176-92135-0009.wav                      | 0.8433     | and.
7176-92135-0002.wav                      | 1.1445     | but even.
7176-92135-0042.wav                      | 1.1448     | in novel.
7176-92135-0004.wav                      | 0.8439     | frank.
7176-92135-0036.wav                      | 1.1437     | the.
7176-92135-0043.wav                      | 0.8432     | two.
7176-92135-0022.wav                      | 1.1441     | to be.
7176-92135-0032.wav                      | 1.1434     | how you.
7176-92135-0015.wav                      | 1.1445     | and so.
7176-92135-0017.wav                      | 1.1438     | in the.
7176-92135-0011.wav                      | 0.8434     | now.
7176-92135-0008.wav                      | 1.1539     | lend me your.
7176-92135-0019.wav                      | 0.5462     | i.
7176-92135-0006.wav                      | 0.8454     | i've.
7176-92135-0003.wav                      | 1.1440     | your play.
7176-92135-0014.wav                      | 0.8436     | if it.
7176-92135-0016.wav                      | 0.8437     | this would.
7176-92135-0039.wav                      | 1.1438     | tea.
7176-92135-0023.wav                      | 0.8440     | you gave.
7176-92135-0012.wav                      | 0.8450     | in.
7176-92135-0038.wav                      | 0.8459     | a.
7176-92135-0044.wav                      | 0.8447     | but,
7176-92135-0013.wav                      | 0.8452     | we.
7176-92135-0045.wav                      | 1.1451     | lord.
7176-92135-0041.wav                      | 0.8435     | re.
7729-102255-0043.wav                     | 0.8591     | in a.
7729-102255-0045.wav                     | 0.8445     | ca.
7729-102255-0007.wav                     | 1.1440     | his.
7729-102255-0030.wav                     | 1.1444     | he su.
7729-102255-0039.wav                     | 1.1441     | the in.
7729-102255-0021.wav                     | 0.8444     | but,
7729-102255-0044.wav                     | 1.1436     | here,
7729-102255-0025.wav                     | 1.1436     | their.
7729-102255-0046.wav                     | 1.1438     | in the.
7729-102255-0027.wav                     | 1.4435     | footn.
7729-102255-0018.wav                     | 1.1444     | little by.
7729-102255-0020.wav                     | 1.1433     | the inci.
7729-102255-0016.wav                     | 0.8437     | the.
7729-102255-0010.wav                     | 0.8452     | of the.
7729-102255-0006.wav                     | 1.1443     | com.
7729-102255-0003.wav                     | 1.1435     | for.
7729-102255-0015.wav                     | 1.1435     | one of.
7729-102255-0034.wav                     | 0.8433     | to.
7729-102255-0013.wav                     | 0.8435     | it.
7729-102255-0001.wav                     | 0.8430     | this:
7729-102255-0032.wav                     | 0.8430     | the.
7729-102255-0033.wav                     | 1.1437     | as he.
7729-102255-0031.wav                     | 0.8551     | he.
7729-102255-0026.wav                     | 1.1433     | in the.
7729-102255-0005.wav                     | 0.8441     | this:
7729-102255-0035.wav                     | 0.8439     | the.
7729-102255-0009.wav                     | 1.1434     | all.
7729-102255-0024.wav                     | 0.8431     | the.
7729-102255-0028.wav                     | 1.1441     | pri.
7729-102255-0004.wav                     | 0.8448     | the.
7729-102255-0037.wav                     | 1.1440     | half an.
7729-102255-0002.wav                     | 1.1447     | that.
7729-102255-0023.wav                     | 1.1450     | their.
7729-102255-0011.wav                     | 0.8455     | the.
7729-102255-0022.wav                     | 0.8449     | from.
7729-102255-0014.wav                     | 0.8447     | the.
7729-102255-0038.wav                     | 1.4446     | atchis.
7729-102255-0017.wav                     | 1.1461     | sheriff.
7729-102255-0042.wav                     | 1.1472     | re.
7729-102255-0036.wav                     | 0.8475     | he.
7729-102255-0029.wav                     | 1.4449     | ten.
7729-102255-0019.wav                     | 1.1451     | to emb.
7729-102255-0041.wav                     | 0.8444     | the.
7729-102255-0040.wav                     | 1.1446     | in this.
7729-102255-0008.wav                     | 0.8444     | all.
7729-102255-0012.wav                     | 0.8435     | sever.
7729-102255-0000.wav                     | 0.8431     | the.
121-121726-0005.wav                      | 1.4441     | hed.
121-121726-0002.wav                      | 1.1446     | anger.
121-121726-0000.wav                      | 1.1488     | also.
121-121726-0009.wav                      | 1.7444     | hotel.
121-121726-0013.wav                      | 1.1438     | tid.
121-121726-0001.wav                      | 1.4429     | hur.
121-121726-0010.wav                      | 1.4444     | house.
121-121726-0004.wav                      | 1.4442     | heaven.
121-121726-0014.wav                      | 1.1442     | hypo.
121-121726-0012.wav                      | 0.8444     | hus.
121-121726-0011.wav                      | 1.4445     | husb.
121-121726-0003.wav                      | 1.4442     | hey.
121-121726-0008.wav                      | 1.4445     | hose.
121-121726-0006.wav                      | 1.4433     | heredity.
121-121726-0007.wav                      | 1.7451     | horse.
121-127105-0024.wav                      | 1.1440     | poor dou.
121-127105-0006.wav                      | 0.8444     | the.
121-127105-0004.wav                      | 1.4429     | the.
121-127105-0014.wav                      | 1.1434     | you.
121-127105-0031.wav                      | 0.8430     | she.
121-127105-0009.wav                      | 0.8427     | she.
121-127105-0035.wav                      | 1.1431     | she.
121-127105-0018.wav                      | 0.8441     | cried.
121-127105-0012.wav                      | 0.8435     | twas.
121-127105-0032.wav                      | 1.1434     | yes.
121-127105-0002.wav                      | 0.8441     | cried.
121-127105-0017.wav                      | 0.8449     | it was.
121-127105-0020.wav                      | 1.4438     | who was.
121-127105-0027.wav                      | 0.8433     | he.
121-127105-0025.wav                      | 0.8434     | the.
121-127105-0028.wav                      | 1.4438     | the awk.
121-127105-0023.wav                      | 1.1444     | let me.
121-127105-0013.wav                      | 0.8434     | you.
121-127105-0015.wav                      | 0.8430     | he.
121-127105-0010.wav                      | 0.8430     | she.
121-127105-0029.wav                      | 1.1434     | there were plent.
121-127105-0003.wav                      | 0.8436     | there.
121-127105-0026.wav                      | 0.8433     | the.
121-127105-0005.wav                      | 1.1431     | i.
121-127105-0019.wav                      | 0.8436     | mrs.
121-127105-0034.wav                      | 0.8437     | it.
121-127105-0036.wav                      | 1.1432     | but,
121-127105-0033.wav                      | 1.4431     | it was.
121-127105-0030.wav                      | 1.1434     | i.
121-127105-0016.wav                      | 0.8435     | proba.
121-127105-0011.wav                      | 0.8428     | she.
121-127105-0022.wav                      | 1.4454     | well.
121-127105-0021.wav                      | 1.1436     | won't.
121-127105-0001.wav                      | 0.8460     | someone.
121-127105-0008.wav                      | 0.8432     | he.
121-127105-0000.wav                      | 1.1432     | it was.
121-127105-0007.wav                      | 0.8428     | to.
121-123859-0000.wav                      | 1.4435     | you.
121-123859-0003.wav                      | 1.1433     | love.
121-123859-0001.wav                      | 1.4433     | o.
121-123859-0002.wav                      | 1.1432     | but re.
121-123859-0004.wav                      | 1.1481     | so.
121-123852-0004.wav                      | 1.1432     | my.
121-123852-0003.wav                      | 1.1540     | thought.
121-123852-0002.wav                      | 1.4429     | no.
121-123852-0001.wav                      | 1.4442     | i.
121-123852-0000.wav                      | 1.4437     | those.
8463-287645-0008.wav                     | 1.1454     | as us.
8463-287645-0009.wav                     | 0.8432     | i.
8463-287645-0013.wav                     | 1.1429     | as.
8463-287645-0005.wav                     | 1.1432     | a few.
8463-287645-0012.wav                     | 0.8432     | su.
8463-287645-0014.wav                     | 1.1438     | of star.
8463-287645-0010.wav                     | 0.8455     | he.
8463-287645-0000.wav                     | 0.8440     | this:
8463-287645-0002.wav                     | 1.1441     | from the.
8463-287645-0004.wav                     | 0.8445     | jo.
8463-287645-0001.wav                     | 0.8442     | it is.
8463-287645-0006.wav                     | 1.1431     | the doc.
8463-287645-0007.wav                     | 1.1433     | another.
8463-287645-0003.wav                     | 1.1432     | of.
8463-287645-0011.wav                     | 0.8431     | she.
8463-294825-0002.wav                     | 1.1431     | first:
8463-294825-0010.wav                     | 0.8431     | and.
8463-294825-0014.wav                     | 1.1437     | fa.
8463-294825-0011.wav                     | 1.4437     | he's swi.
8463-294825-0015.wav                     | 1.1432     | gra
8463-294825-0007.wav                     | 1.1438     | even.
8463-294825-0006.wav                     | 1.1441     | his spe.
8463-294825-0008.wav                     | 1.1430     | but,
8463-294825-0003.wav                     | 1.1432     | nemo.
8463-294825-0005.wav                     | 1.1430     | other.
8463-294825-0018.wav                     | 1.1429     | meter.
8463-294825-0012.wav                     | 0.8430     | the.
8463-294825-0001.wav                     | 1.1436     | this:
8463-294825-0016.wav                     | 1.1441     | millig.
8463-294825-0004.wav                     | 1.1430     | in all.
8463-294825-0019.wav                     | 1.1435     | millim.
8463-294825-0013.wav                     | 1.1425     | for.
8463-294825-0009.wav                     | 1.4434     | this compul.
8463-294825-0000.wav                     | 1.1431     | it's.
8463-294825-0017.wav                     | 1.1433     | lead.
8463-294828-0036.wav                     | 1.1428     | the.
8463-294828-0001.wav                     | 1.4426     | three sec.
8463-294828-0007.wav                     | 0.8434     | cla.
8463-294828-0028.wav                     | 0.8443     | i.
8463-294828-0026.wav                     | 0.8437     | we have.
8463-294828-0030.wav                     | 0.8435     | i.
8463-294828-0010.wav                     | 0.8435     | never,
8463-294828-0032.wav                     | 1.1428     | in.
8463-294828-0029.wav                     | 1.1425     | our.
8463-294828-0034.wav                     | 1.4429     | will be.
8463-294828-0020.wav                     | 1.1428     | ye.
8463-294828-0017.wav                     | 1.1430     | pack as.
8463-294828-0004.wav                     | 0.8429     | but,
8463-294828-0000.wav                     | 0.8430     | cha.
8463-294828-0027.wav                     | 0.8438     | i.
8463-294828-0021.wav                     | 1.1434     | a ro.
8463-294828-0002.wav                     | 1.1437     | even so.
8463-294828-0035.wav                     | 1.1430     | and so.
8463-294828-0019.wav                     | 1.1439     | anyhow.
8463-294828-0018.wav                     | 1.1436     | we'll de.
8463-294828-0037.wav                     | 1.1432     | departing.
8463-294828-0008.wav                     | 0.8428     | and.
8463-294828-0011.wav                     | 0.8426     | he.
8463-294828-0033.wav                     | 0.8426     | i.
8463-294828-0009.wav                     | 1.1429     | not
8463-294828-0013.wav                     | 0.8430     | he.
8463-294828-0006.wav                     | 1.1437     | from.
8463-294828-0014.wav                     | 1.1433     | there was.
8463-294828-0038.wav                     | 1.1438     | thousand.
8463-294828-0003.wav                     | 0.8435     | i.
8463-294828-0024.wav                     | 0.8430     | we.
8463-294828-0016.wav                     | 1.1429     | dead.
8463-294828-0015.wav                     | 1.4427     | conse.
8463-294828-0023.wav                     | 1.1430     | you.
8463-294828-0025.wav                     | 0.8433     | but,
8463-294828-0005.wav                     | 1.1426     | conse.
8463-294828-0012.wav                     | 1.1447     | please.
8463-294828-0022.wav                     | 1.1447     | we're leav.
8463-294828-0031.wav                     | 1.1432     | one of the.
8230-279154-0004.wav                     | 1.1431     | there.
8230-279154-0009.wav                     | 1.4424     | our.
8230-279154-0037.wav                     | 1.1427     | rec.
8230-279154-0000.wav                     | 0.8426     | the.
8230-279154-0025.wav                     | 0.8434     | we.
8230-279154-0016.wav                     | 1.4427     | in act.
8230-279154-0033.wav                     | 0.8431     | it.
8230-279154-0034.wav                     | 0.8435     | when.
8230-279154-0031.wav                     | 0.8436     | they.
8230-279154-0028.wav                     | 0.8448     | i.
8230-279154-0010.wav                     | 0.8430     | we.
8230-279154-0022.wav                     | 1.4429     | some.
8230-279154-0008.wav                     | 0.8427     | but,
8230-279154-0032.wav                     | 0.8429     | it.
8230-279154-0023.wav                     | 0.8426     | in.
8230-279154-0040.wav                     | 1.4427     | there.
8230-279154-0024.wav                     | 1.4423     | the.
8230-279154-0011.wav                     | 1.1438     | some.
8230-279154-0001.wav                     | 1.1440     | what is?
8230-279154-0041.wav                     | 1.1479     | the.
8230-279154-0030.wav                     | 1.4429     | smond.
8230-279154-0015.wav                     | 0.8428     | they.
8230-279154-0035.wav                     | 1.4427     | thus:
8230-279154-0006.wav                     | 0.8434     | the be.
8230-279154-0021.wav                     | 0.8433     | reme.
8230-279154-0019.wav                     | 0.8429     | it.
8230-279154-0036.wav                     | 1.1427     | a.
8230-279154-0014.wav                     | 1.1432     | i.
8230-279154-0005.wav                     | 0.8424     | all.
8230-279154-0013.wav                     | 1.1430     | in an i.
8230-279154-0029.wav                     | 0.8456     | the.
8230-279154-0012.wav                     | 1.1428     | famil.
8230-279154-0039.wav                     | 1.1425     | this know.
8230-279154-0038.wav                     | 1.1424     | we are.
8230-279154-0026.wav                     | 1.1434     | this:
8230-279154-0027.wav                     | 1.1428     | a.
8230-279154-0017.wav                     | 0.8425     | there.
8230-279154-0018.wav                     | 1.1424     | there.
8230-279154-0002.wav                     | 1.1425     | whether.
8230-279154-0042.wav                     | 1.1435     | thus:
8230-279154-0003.wav                     | 0.8431     | and.
8230-279154-0007.wav                     | 1.1436     | hab.
8230-279154-0020.wav                     | 1.1429     | if we.
8230-279154-0043.wav                     | 1.1424     | of.
5105-28241-0017.wav                      | 1.1442     | after.
5105-28241-0006.wav                      | 1.1442     | the lo.
5105-28241-0014.wav                      | 1.1434     | another.
5105-28241-0018.wav                      | 1.1432     | its.
5105-28241-0003.wav                      | 1.4435     | steam.
5105-28241-0012.wav                      | 1.1437     | is.
5105-28241-0001.wav                      | 1.1452     | after.
5105-28241-0019.wav                      | 1.1436     | nothing.
5105-28241-0010.wav                      | 1.1437     | oce.
5105-28241-0011.wav                      | 1.1438     | all the.
5105-28241-0007.wav                      | 0.8438     | there.
5105-28241-0002.wav                      | 1.1434     | the.
5105-28241-0000.wav                      | 1.1434     | her.
5105-28241-0008.wav                      | 1.1437     | if the ear.
5105-28241-0004.wav                      | 1.1436     | altho.
5105-28241-0005.wav                      | 1.1441     | for a.
5105-28241-0015.wav                      | 1.1452     | to the.
5105-28241-0016.wav                      | 1.1438     | you.
5105-28241-0009.wav                      | 1.1435     | and.
5105-28241-0013.wav                      | 1.4435     | would not.
5105-28233-0004.wav                      | 1.1431     | on.
5105-28233-0009.wav                      | 0.8430     | the.
5105-28233-0010.wav                      | 1.1443     | unli.
5105-28233-0006.wav                      | 1.1443     | no ca.
