nohup: ignoring input
------------------------------------------------------------
初始化并发系统 (Workers=43)...
Loading NLP Model: oliverguhr/fullstop-punctuation-multilang-large ...
Device set to use cuda:0
模型加载完成。
------------------------------------------------------------
找到 2620 个音频文件。
开始并行处理...
文件名                                      | 音频时长(s)      | 完整生成耗时(s)       | 实时率(RTF)  
7021-79730-0005.wav                      | 8.01         | 5.0843          | 0.6347    
1995-1837-0019.wav                       | 5.38         | 3.7160          | 0.6907    
7021-85628-0023.wav                      | 9.03         | 7.9037          | 0.8753    
7021-79740-0000.wav                      | 11.12        | 8.2013          | 0.7372    
1995-1837-0015.wav                       | 4.49         | 2.6240          | 0.5851    
7021-85628-0015.wav                      | 11.54        | 8.2574          | 0.7152    
1995-1837-0005.wav                       | 2.63         | 1.8246          | 0.6925    
7021-85628-0001.wav                      | 11.33        | 8.5540          | 0.7550    
1995-1837-0008.wav                       | 1.96         | 1.1966          | 0.6121    
1995-1837-0017.wav                       | 3.10         | 1.7424          | 0.5621    
1995-1837-0027.wav                       | 6.71         | 4.2110          | 0.6280    
1995-1836-0002.wav                       | 2.31         | 1.3856          | 0.5985    
7021-79740-0010.wav                      | 12.03        | 9.1765          | 0.7631    
1995-1837-0020.wav                       | 3.21         | 2.0641          | 0.6430    
1995-1837-0000.wav                       | 3.87         | 2.4353          | 0.6301    
1995-1837-0021.wav                       | 3.09         | 2.1621          | 0.6997    
7021-85628-0013.wav                      | 12.13        | 9.8613          | 0.8130    
1995-1837-0003.wav                       | 7.36         | 4.7624          | 0.6471    
1995-1837-0024.wav                       | 5.38         | 3.5920          | 0.6670    
1995-1837-0029.wav                       | 5.58         | 3.5427          | 0.6349    
7021-79730-0006.wav                      | 11.34        | 8.0524          | 0.7101    
1995-1837-0004.wav                       | 6.36         | 4.3439          | 0.6830    
1995-1837-0016.wav                       | 7.19         | 4.9702          | 0.6913    
7021-79740-0014.wav                      | 14.18        | 11.0192         | 0.7774    
7021-79730-0001.wav                      | 11.49        | 7.4713          | 0.6502    
1995-1836-0012.wav                       | 3.69         | 2.4369          | 0.6595    
1995-1836-0011.wav                       | 4.71         | 3.1016          | 0.6592    
7021-79730-0007.wav                      | 12.46        | 8.2316          | 0.6609    
7021-85628-0003.wav                      | 15.29        | 11.4142         | 0.7465    
1995-1836-0007.wav                       | 3.44         | 2.3498          | 0.6841    
7021-79730-0008.wav                      | 11.77        | 7.5788          | 0.6442    
1995-1837-0025.wav                       | 9.51         | 6.4397          | 0.6775    
1995-1826-0010.wav                       | 2.44         | 1.5885          | 0.6497    
1995-1826-0003.wav                       | 3.09         | 2.2602          | 0.7314    
7021-79759-0005.wav                      | 13.02        | 9.2394          | 0.7096    
1995-1836-0013.wav                       | 5.30         | 3.5925          | 0.6778    
1995-1837-0007.wav                       | 8.80         | 6.4558          | 0.7336    
1995-1837-0026.wav                       | 8.10         | 5.6980          | 0.7039    
7021-79730-0009.wav                      | 12.59        | 8.7927          | 0.6987    
1995-1836-0009.wav                       | 6.71         | 4.4271          | 0.6598    
7021-85628-0007.wav                      | 16.68        | 12.5581         | 0.7531    
1995-1837-0001.wav                       | 8.73         | 6.3886          | 0.7318    
1995-1826-0004.wav                       | 3.04         | 1.8426          | 0.6071    
1995-1836-0008.wav                       | 6.99         | 4.8114          | 0.6888    
7021-79740-0008.wav                      | 18.41        | 12.9852         | 0.7051    
1995-1826-0014.wav                       | 2.50         | 1.6613          | 0.6645    
1995-1837-0012.wav                       | 8.24         | 5.4868          | 0.6655    
1995-1836-0001.wav                       | 6.00         | 3.7309          | 0.6218    
1995-1826-0022.wav                       | 4.75         | 3.2585          | 0.6867    
1995-1826-0008.wav                       | 2.90         | 1.8360          | 0.6342    
1995-1836-0006.wav                       | 7.71         | 5.2035          | 0.6745    
1995-1826-0025.wav                       | 3.29         | 1.9871          | 0.6031    
1995-1826-0005.wav                       | 5.12         | 3.5708          | 0.6967    
1995-1836-0003.wav                       | 7.96         | 5.6360          | 0.7076    
1995-1826-0006.wav                       | 2.46         | 1.6133          | 0.6571    
1995-1826-0009.wav                       | 7.57         | 4.9680          | 0.6563    
1995-1826-0015.wav                       | 3.55         | 2.3558          | 0.6636    
1995-1826-0016.wav                       | 5.90         | 3.8346          | 0.6499    
7021-79730-0004.wav                      | 17.95        | 12.0002         | 0.6687    
1995-1836-0014.wav                       | 9.04         | 5.8654          | 0.6485    
1995-1826-0018.wav                       | 5.01         | 3.1397          | 0.6267    
1995-1836-0000.wav                       | 8.96         | 6.1497          | 0.6867    
3570-5696-0006.wav                       | 4.16         | 2.4818          | 0.5966    
1995-1826-0002.wav                       | 4.61         | 2.8915          | 0.6279    
1995-1836-0005.wav                       | 10.90        | 7.2279          | 0.6631    
1995-1826-0020.wav                       | 6.12         | 3.8347          | 0.6266    
1995-1826-0012.wav                       | 6.18         | 4.2320          | 0.6848    
1995-1826-0024.wav                       | 5.09         | 3.1235          | 0.6131    
1995-1837-0018.wav                       | 12.82        | 8.8089          | 0.6869    
3570-5696-0004.wav                       | 4.70         | 3.1651          | 0.6734    
3570-5694-0012.wav                       | 3.21         | 2.0490          | 0.6393    
1995-1826-0019.wav                       | 5.25         | 3.5289          | 0.6722    
1995-1826-0017.wav                       | 6.14         | 4.1010          | 0.6674    
1995-1826-0007.wav                       | 7.06         | 5.2213          | 0.7396    
1995-1837-0023.wav                       | 16.96        | 11.8375         | 0.6978    
1995-1837-0014.wav                       | 12.46        | 8.7112          | 0.6991    
1995-1826-0023.wav                       | 8.14         | 5.7082          | 0.7013    
1995-1826-0013.wav                       | 8.77         | 5.4562          | 0.6221    
3570-5694-0019.wav                       | 3.75         | 2.0848          | 0.5552    
1995-1826-0000.wav                       | 9.48         | 6.1383          | 0.6472    
1995-1826-0001.wav                       | 10.17        | 6.3579          | 0.6252    
1995-1826-0011.wav                       | 8.94         | 5.3043          | 0.5933    
3570-5696-0002.wav                       | 7.51         | 4.6513          | 0.6193    
3570-5696-0008.wav                       | 7.26         | 4.6370          | 0.6387    
3570-5694-0013.wav                       | 5.61         | 3.2554          | 0.5803    
3570-5694-0022.wav                       | 4.29         | 2.5499          | 0.5937    
3570-5696-0010.wav                       | 7.57         | 4.6263          | 0.6111    
7021-79759-0004.wav                      | 24.47        | 15.9739         | 0.6528    
3570-5696-0009.wav                       | 8.86         | 5.5145          | 0.6224    
1995-1826-0021.wav                       | 11.41        | 7.3318          | 0.6426    
3570-5694-0004.wav                       | 5.33         | 3.0239          | 0.5673    
3570-5694-0001.wav                       | 5.67         | 3.6357          | 0.6407    
3570-5695-0010.wav                       | 4.67         | 3.0168          | 0.6467    
3570-5696-0007.wav                       | 9.50         | 6.0851          | 0.6405    
3570-5694-0005.wav                       | 8.40         | 5.4347          | 0.6466    
3570-5696-0000.wav                       | 11.41        | 7.4444          | 0.6522    
3570-5695-0013.wav                       | 4.64         | 3.0732          | 0.6623    
3570-5694-0017.wav                       | 8.34         | 5.1234          | 0.6147    
3570-5694-0018.wav                       | 7.82         | 5.3402          | 0.6833    
3570-5695-0008.wav                       | 6.84         | 4.6313          | 0.6766    
5639-40744-0009.wav                      | 2.38         | 1.7624          | 0.7421    
3570-5695-0000.wav                       | 4.83         | 2.9152          | 0.6036    
3570-5695-0009.wav                       | 5.03         | 3.5179          | 0.7001    
1995-1826-0026.wav                       | 15.45        | 9.7125          | 0.6286    
3570-5696-0005.wav                       | 13.03        | 8.2031          | 0.6298    
3570-5694-0015.wav                       | 8.44         | 5.4485          | 0.6459    
3570-5695-0002.wav                       | 7.80         | 5.3362          | 0.6837    
3570-5695-0011.wav                       | 8.26         | 5.5877          | 0.6765    
3570-5694-0011.wav                       | 11.03        | 7.3045          | 0.6622    
3570-5694-0007.wav                       | 10.54        | 7.4421          | 0.7058    
3570-5695-0015.wav                       | 7.95         | 5.8994          | 0.7421    
3570-5694-0008.wav                       | 9.49         | 7.1397          | 0.7519    
3570-5695-0003.wav                       | 5.36         | 4.2641          | 0.7963    
3570-5694-0002.wav                       | 10.62        | 7.4448          | 0.7013    
3570-5694-0010.wav                       | 13.01        | 8.7431          | 0.6723    
3570-5694-0000.wav                       | 12.09        | 8.4990          | 0.7033    
3570-5694-0021.wav                       | 10.55        | 7.8490          | 0.7436    
5639-40744-0005.wav                      | 5.64         | 4.6396          | 0.8219    
3570-5694-0014.wav                       | 11.26        | 8.0183          | 0.7124    
5639-40744-0017.wav                      | 5.88         | 4.9245          | 0.8375    
3570-5694-0020.wav                       | 14.04        | 10.6886         | 0.7616    
3570-5695-0006.wav                       | 7.47         | 5.9923          | 0.8022    
3570-5696-0001.wav                       | 16.73        | 12.1646         | 0.7269    
3570-5694-0016.wav                       | 14.15        | 10.7463         | 0.7595    
3570-5694-0006.wav                       | 14.51        | 11.1706         | 0.7701    
1995-1836-0010.wav                       | 24.45        | 17.7212         | 0.7248    
3570-5695-0007.wav                       | 9.76         | 8.6692          | 0.8887    
3570-5695-0014.wav                       | 10.54        | 8.5875          | 0.8148    
3570-5694-0009.wav                       | 12.61        | 10.8547         | 0.8611    
7021-79730-0003.wav                      | 32.88        | 23.3387         | 0.7098    
5639-40744-0007.wav                      | 5.83         | 5.5776          | 0.9575    
5639-40744-0011.wav                      | 2.67         | 2.6026          | 0.9766    
3570-5695-0004.wav                       | 10.60        | 10.0680         | 0.9498    
5639-40744-0008.wav                      | 2.21         | 2.2996          | 1.0382    
3570-5694-0003.wav                       | 19.02        | 15.9339         | 0.8375    
3570-5695-0012.wav                       | 14.76        | 12.8927         | 0.8735    
5639-40744-0016.wav                      | 9.49         | 10.1492         | 1.0695    
5639-40744-0010.wav                      | 4.12         | 4.2764          | 1.0380    
3570-5695-0001.wav                       | 14.71        | 13.7741         | 0.9361    
5639-40744-0033.wav                      | 9.15         | 10.8458         | 1.1853    
5639-40744-0020.wav                      | 9.82         | 10.2759         | 1.0464    
5639-40744-0006.wav                      | 8.04         | 8.4633          | 1.0520    
5639-40744-0002.wav                      | 8.91         | 10.6738         | 1.1980    
5639-40744-0024.wav                      | 8.85         | 9.0515          | 1.0234    
7176-88083-0008.wav                      | 3.28         | 3.2559          | 0.9926    
5639-40744-0014.wav                      | 7.72         | 8.2898          | 1.0738    
5639-40744-0028.wav                      | 12.25        | 12.1214         | 0.9895    
5639-40744-0021.wav                      | 10.98        | 12.2786         | 1.1183    
7176-88083-0009.wav                      | 4.04         | 2.9753          | 0.7356    
5639-40744-0001.wav                      | 12.44        | 12.3026         | 0.9890    
5639-40744-0036.wav                      | 11.54        | 11.3098         | 0.9805    
5639-40744-0013.wav                      | 6.87         | 5.9125          | 0.8613    
5639-40744-0004.wav                      | 12.47        | 12.2800         | 0.9844    
5639-40744-0029.wav                      | 7.30         | 7.4307          | 1.0172    
5639-40744-0034.wav                      | 13.05        | 13.1501         | 1.0073    
5639-40744-0025.wav                      | 8.79         | 9.7563          | 1.1106    
5639-40744-0015.wav                      | 11.02        | 9.9547          | 0.9033    
3570-5696-0003.wav                       | 25.11        | 20.9813         | 0.8354    
1995-1836-0004.wav                       | 33.91        | 25.0512         | 0.7388    
7176-88083-0005.wav                      | 4.70         | 3.0151          | 0.6415    
5639-40744-0012.wav                      | 8.60         | 7.5100          | 0.8738    
5639-40744-0040.wav                      | 12.51        | 11.3207         | 0.9049    
7176-88083-0027.wav                      | 2.13         | 1.4062          | 0.6602    
5639-40744-0038.wav                      | 13.80        | 12.5417         | 0.9088    
7176-88083-0015.wav                      | 2.33         | 1.6036          | 0.6868    
7176-88083-0026.wav                      | 5.53         | 3.4052          | 0.6158    
7176-88083-0019.wav                      | 5.81         | 3.7742          | 0.6496    
7176-88083-0014.wav                      | 4.67         | 2.8533          | 0.6110    
5639-40744-0000.wav                      | 15.77        | 14.6292         | 0.9277    
7176-88083-0020.wav                      | 5.42         | 3.3238          | 0.6138    
3570-5695-0005.wav                       | 20.03        | 17.7034         | 0.8838    
5639-40744-0018.wav                      | 15.41        | 15.6183         | 1.0132    
7176-88083-0016.wav                      | 3.92         | 2.3153          | 0.5906    
7176-92135-0033.wav                      | 2.23         | 1.4012          | 0.6283    
5639-40744-0037.wav                      | 11.45        | 10.2347         | 0.8939    
5639-40744-0019.wav                      | 12.06        | 12.5578         | 1.0413    
7176-88083-0012.wav                      | 5.04         | 3.1489          | 0.6242    
7176-88083-0006.wav                      | 4.29         | 3.0766          | 0.7163    
7176-88083-0000.wav                      | 5.70         | 3.5438          | 0.6223    
7176-92135-0028.wav                      | 3.35         | 2.3079          | 0.6900    
7176-88083-0010.wav                      | 6.74         | 4.2837          | 0.6356    
7176-88083-0017.wav                      | 3.66         | 2.5397          | 0.6939    
5639-40744-0039.wav                      | 14.38        | 10.6858         | 0.7434    
7176-92135-0026.wav                      | 2.95         | 1.8210          | 0.6173    
7176-88083-0024.wav                      | 8.20         | 5.2216          | 0.6372    
5639-40744-0022.wav                      | 13.64        | 11.7519         | 0.8613    
7176-88083-0002.wav                      | 7.51         | 4.7026          | 0.6262    
7176-92135-0010.wav                      | 2.16         | 1.3131          | 0.6079    
5639-40744-0026.wav                      | 14.50        | 11.3051         | 0.7797    
7176-92135-0027.wav                      | 2.83         | 1.9017          | 0.6708    
7176-88083-0003.wav                      | 7.60         | 5.0252          | 0.6612    
7176-92135-0034.wav                      | 4.46         | 2.6061          | 0.5837    
7176-92135-0021.wav                      | 2.56         | 1.6490          | 0.6429    
7176-92135-0029.wav                      | 2.98         | 1.8683          | 0.6259    
7176-92135-0024.wav                      | 4.10         | 2.3648          | 0.5768    
7176-92135-0030.wav                      | 2.23         | 1.3523          | 0.6050    
7176-92135-0005.wav                      | 5.47         | 3.2642          | 0.5967    
7176-92135-0007.wav                      | 3.27         | 2.1267          | 0.6494    
7176-88083-0018.wav                      | 10.45        | 6.8657          | 0.6570    
7176-88083-0025.wav                      | 7.38         | 4.9075          | 0.6650    
5639-40744-0023.wav                      | 13.92        | 9.9327          | 0.7136    
7176-92135-0004.wav                      | 2.42         | 1.6325          | 0.6732    
7176-92135-0037.wav                      | 2.86         | 1.8558          | 0.6489    
7176-88083-0004.wav                      | 7.50         | 5.1591          | 0.6879    
7176-92135-0035.wav                      | 3.38         | 2.2138          | 0.6550    
5639-40744-0041.wav                      | 17.20        | 15.1443         | 0.8805    
7176-88083-0011.wav                      | 10.06        | 6.7478          | 0.6708    
5639-40744-0032.wav                      | 17.43        | 15.8491         | 0.9093    
7176-88083-0021.wav                      | 12.61        | 9.8776          | 0.7836    
7176-92135-0002.wav                      | 3.42         | 2.4251          | 0.7101    
7176-92135-0019.wav                      | 2.40         | 1.5372          | 0.6392    
7176-92135-0009.wav                      | 4.38         | 2.9397          | 0.6712    
7176-88083-0023.wav                      | 9.64         | 6.6920          | 0.6938    
7176-92135-0011.wav                      | 2.88         | 1.8295          | 0.6342    
7176-92135-0032.wav                      | 3.31         | 2.1213          | 0.6399    
7176-88083-0022.wav                      | 9.48         | 6.0380          | 0.6366    
7176-92135-0001.wav                      | 7.56         | 4.9321          | 0.6524    
7176-92135-0039.wav                      | 3.12         | 1.9698          | 0.6303    
7176-92135-0013.wav                      | 3.15         | 1.8646          | 0.5919    
7176-88083-0013.wav                      | 15.00        | 9.5102          | 0.6340    
5639-40744-0035.wav                      | 17.52        | 16.1991         | 0.9246    
7176-92135-0008.wav                      | 4.43         | 2.8341          | 0.6398    
7176-92135-0003.wav                      | 3.96         | 2.6328          | 0.6657    
7176-92135-0036.wav                      | 6.47         | 4.0271          | 0.6224    
7176-92135-0020.wav                      | 7.17         | 4.7535          | 0.6634    
7176-92135-0042.wav                      | 7.27         | 4.8461          | 0.6666    
7176-92135-0044.wav                      | 5.17         | 3.3024          | 0.6381    
7176-92135-0041.wav                      | 4.94         | 3.1871          | 0.6452    
7176-92135-0040.wav                      | 10.35        | 6.9477          | 0.6716    
7176-92135-0045.wav                      | 5.23         | 3.4835          | 0.6661    
7176-92135-0015.wav                      | 6.75         | 4.2832          | 0.6341    
7176-92135-0031.wav                      | 9.64         | 5.7794          | 0.5995    
7176-92135-0017.wav                      | 7.17         | 4.5071          | 0.6286    
5639-40744-0030.wav                      | 22.29        | 18.9124         | 0.8487    
7176-92135-0018.wav                      | 8.94         | 5.9945          | 0.6705    
7176-92135-0023.wav                      | 6.21         | 4.1374          | 0.6657    
7176-88083-0007.wav                      | 14.30        | 9.3372          | 0.6530    
7176-92135-0016.wav                      | 7.54         | 4.5931          | 0.6088    
5639-40744-0027.wav                      | 23.26        | 18.8194         | 0.8091    
7176-92135-0022.wav                      | 8.23         | 5.4264          | 0.6593    
7729-102255-0025.wav                     | 5.49         | 3.3096          | 0.6034    
7729-102255-0034.wav                     | 2.71         | 1.8726          | 0.6910    
7729-102255-0013.wav                     | 2.67         | 1.8089          | 0.6762    
7176-92135-0006.wav                      | 7.79         | 5.4529          | 0.6995    
7729-102255-0045.wav                     | 6.80         | 4.7695          | 0.7009    
7176-88083-0001.wav                      | 16.57        | 11.1886         | 0.6750    
5639-40744-0003.wav                      | 27.12        | 22.2218         | 0.8194    
7729-102255-0027.wav                     | 5.91         | 4.1120          | 0.6964    
7729-102255-0030.wav                     | 7.25         | 4.6243          | 0.6378    
7729-102255-0001.wav                     | 3.45         | 2.3994          | 0.6955    
7729-102255-0039.wav                     | 6.82         | 4.5679          | 0.6703    
7176-92135-0000.wav                      | 14.44        | 9.3815          | 0.6497    
7176-92135-0038.wav                      | 9.21         | 6.1849          | 0.6719    
7729-102255-0021.wav                     | 7.93         | 5.3697          | 0.6771    
7729-102255-0005.wav                     | 5.18         | 3.4738          | 0.6706    
7729-102255-0035.wav                     | 5.62         | 3.6240          | 0.6443    
7729-102255-0043.wav                     | 11.04        | 7.2659          | 0.6584    
7729-102255-0033.wav                     | 6.78         | 4.1793          | 0.6169    
7176-92135-0025.wav                      | 15.74        | 10.0884         | 0.6409    
7729-102255-0031.wav                     | 6.75         | 4.4121          | 0.6536    
7176-92135-0043.wav                      | 13.28        | 9.1246          | 0.6871    
7729-102255-0023.wav                     | 5.50         | 3.5169          | 0.6394    
7729-102255-0010.wav                     | 8.54         | 6.1242          | 0.7171    
7729-102255-0014.wav                     | 5.29         | 3.3954          | 0.6412    
7729-102255-0020.wav                     | 10.97        | 6.7352          | 0.6137    
7729-102255-0007.wav                     | 11.53        | 8.0037          | 0.6942    
5639-40744-0031.wav                      | 28.42        | 21.1425         | 0.7439    
7729-102255-0000.wav                     | 3.29         | 2.4761          | 0.7538    
7729-102255-0012.wav                     | 4.08         | 2.9921          | 0.7343    
121-121726-0013.wav                      | 2.49         | 1.6904          | 0.6789    
121-121726-0005.wav                      | 3.10         | 2.3217          | 0.7489    
7729-102255-0029.wav                     | 7.06         | 4.2337          | 0.5997    
7729-102255-0018.wav                     | 11.35        | 8.0485          | 0.7091    
7729-102255-0016.wav                     | 11.61        | 7.8871          | 0.6793    
7176-92135-0014.wav                      | 16.02        | 10.2281         | 0.6385    
7729-102255-0002.wav                     | 8.30         | 5.6672          | 0.6828    
121-121726-0014.wav                      | 3.17         | 1.9770          | 0.6247    
7729-102255-0036.wav                     | 7.71         | 4.8624          | 0.6311    
7729-102255-0038.wav                     | 7.92         | 5.5160          | 0.6965    
7729-102255-0028.wav                     | 9.60         | 6.5366          | 0.6809    
121-121726-0002.wav                      | 4.41         | 3.1069          | 0.7045    
7729-102255-0024.wav                     | 10.23        | 6.6435          | 0.6494    
7176-92135-0012.wav                      | 16.40        | 10.9266         | 0.6663    
121-121726-0004.wav                      | 4.02         | 2.8744          | 0.7150    
121-121726-0012.wav                      | 4.04         | 2.8512          | 0.7049    
121-127105-0014.wav                      | 2.25         | 1.4197          | 0.6296    
121-127105-0004.wav                      | 2.11         | 1.4514          | 0.6879    
121-127105-0009.wav                      | 2.29         | 1.3479          | 0.5886    
121-121726-0011.wav                      | 4.04         | 2.7255          | 0.6755    
7729-102255-0042.wav                     | 9.22         | 5.9464          | 0.6446    
7729-102255-0019.wav                     | 8.93         | 5.9428          | 0.6655    
121-121726-0006.wav                      | 3.90         | 2.5870          | 0.6642    
121-127105-0018.wav                      | 2.77         | 1.8868          | 0.6811    
7729-102255-0037.wav                     | 11.02        | 7.8193          | 0.7096    
121-127105-0017.wav                      | 2.69         | 2.1050          | 0.7811    
121-121726-0008.wav                      | 4.99         | 4.1402          | 0.8297    
121-127105-0032.wav                      | 3.17         | 2.4939          | 0.7867    
121-121726-0001.wav                      | 5.92         | 5.0487          | 0.8521    
7729-102255-0022.wav                     | 11.79        | 8.5724          | 0.7268    
121-127105-0006.wav                      | 4.72         | 3.8055          | 0.8054    
7729-102255-0015.wav                     | 14.99        | 11.1873         | 0.7463    
121-121726-0009.wav                      | 7.26         | 5.9983          | 0.8262    
121-121726-0003.wav                      | 6.75         | 5.4007          | 0.7995    
121-127105-0010.wav                      | 2.85         | 2.7626          | 0.9693    
7729-102255-0040.wav                     | 11.76        | 8.9717          | 0.7629    
121-127105-0015.wav                      | 2.96         | 3.8385          | 1.2968    
7729-102255-0026.wav                     | 15.06        | 11.5404         | 0.7663    
121-127105-0033.wav                      | 2.35         | 2.1729          | 0.9227    
121-121726-0000.wav                      | 8.46         | 7.6507          | 0.9043    
7729-102255-0044.wav                     | 17.11        | 14.0196         | 0.8196    
121-127105-0012.wav                      | 4.83         | 4.9148          | 1.0176    
121-127105-0030.wav                      | 2.17         | 2.2772          | 1.0470    
121-121726-0007.wav                      | 6.73         | 6.4508          | 0.9585    
121-127105-0016.wav                      | 2.03         | 2.4388          | 1.2014    
7729-102255-0041.wav                     | 12.41        | 10.1824         | 0.8202    
7729-102255-0006.wav                     | 17.00        | 13.7951         | 0.8112    
121-127105-0019.wav                      | 3.52         | 4.0349          | 1.1447    
121-127105-0021.wav                      | 2.00         | 2.7812          | 1.3906    
121-127105-0008.wav                      | 2.76         | 2.7991          | 1.0142    
121-127105-0036.wav                      | 4.15         | 4.2598          | 1.0265    
121-121726-0010.wav                      | 9.81         | 9.1717          | 0.9349    
7729-102255-0046.wav                     | 19.95        | 15.9091         | 0.7976    
121-127105-0002.wav                      | 7.50         | 6.8569          | 0.9149    
121-123852-0001.wav                      | 1.87         | 1.9065          | 1.0195    
121-127105-0028.wav                      | 6.75         | 7.2407          | 1.0727    
7729-102255-0009.wav                     | 18.56        | 14.6222         | 0.7878    
7729-102255-0017.wav                     | 15.11        | 13.3454         | 0.8832    
121-127105-0029.wav                      | 7.31         | 7.5038          | 1.0265    
121-127105-0022.wav                      | 5.08         | 5.5931          | 1.1021    
121-127105-0011.wav                      | 5.78         | 5.9333          | 1.0265    
8463-287645-0008.wav                     | 3.33         | 3.4019          | 1.0231    
7729-102255-0003.wav                     | 19.81        | 17.5378         | 0.8855    
121-127105-0005.wav                      | 5.82         | 7.8899          | 1.3557    
121-127105-0013.wav                      | 5.89         | 8.6745          | 1.4715    
121-127105-0034.wav                      | 7.41         | 7.3246          | 0.9885    
121-127105-0026.wav                      | 7.53         | 9.1714          | 1.2180    
121-127105-0001.wav                      | 5.03         | 6.8328          | 1.3598    
8463-287645-0014.wav                     | 3.02         | 3.7290          | 1.2348    
8463-287645-0009.wav                     | 3.71         | 4.6205          | 1.2454    
121-127105-0007.wav                      | 5.79         | 5.9985          | 1.0360    
7729-102255-0032.wav                     | 20.28        | 17.8686         | 0.8811    
121-127105-0003.wav                      | 7.72         | 10.0437         | 1.3002    
8463-287645-0010.wav                     | 4.33         | 4.1686          | 0.9638    
8463-294825-0014.wav                     | 2.42         | 1.6891          | 0.6994    
121-127105-0031.wav                      | 10.77        | 11.8586         | 1.1016    
7729-102255-0011.wav                     | 20.36        | 17.1080         | 0.8405    
8463-287645-0001.wav                     | 3.54         | 3.0764          | 0.8678    
8463-294825-0011.wav                     | 2.18         | 1.8205          | 0.8351    
8463-287645-0013.wav                     | 6.67         | 5.4294          | 0.8146    
8463-287645-0012.wav                     | 5.42         | 5.3096          | 0.9787    
8463-287645-0000.wav                     | 4.73         | 4.7621          | 1.0068    
7729-102255-0004.wav                     | 20.16        | 18.4780         | 0.9168    
121-127105-0023.wav                      | 10.91        | 11.4882         | 1.0530    
8463-294825-0015.wav                     | 3.25         | 2.2347          | 0.6876    
