nohup: ignoring input
------------------------------------------------------------
Sherpa-onnx 并行 RTF 测试 (并发数: 48)
加载模型: encoder-epoch-99-avg-1.int8.onnx
模型加载完成。
------------------------------------------------------------
正在扫描文件列表: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean ...
共找到 2620 个音频文件。开始并行处理...
文件名                                      | 时长(s)    | 耗时(s)    | 实时率(RTF)
7021-79740-0011.wav                      | 10.31    | 9.2444   | 0.8962  
1995-1837-0005.wav                       | 2.63     | 2.3998   | 0.9107  
1995-1836-0002.wav                       | 2.31     | 1.7669   | 0.7632  
1995-1837-0020.wav                       | 3.21     | 2.6341   | 0.8206  
1995-1837-0000.wav                       | 3.87     | 2.8349   | 0.7335  
1995-1837-0027.wav                       | 6.71     | 5.2103   | 0.7771  
7021-79740-0000.wav                      | 11.12    | 10.0615  | 0.9044  
1995-1837-0017.wav                       | 3.10     | 2.7738   | 0.8948  
1995-1837-0021.wav                       | 3.09     | 2.4558   | 0.7948  
7021-85628-0015.wav                      | 11.54    | 10.2084  | 0.8842  
7021-85628-0001.wav                      | 11.33    | 10.5062  | 0.9273  
7021-79740-0010.wav                      | 12.03    | 10.7662  | 0.8953  
1995-1837-0024.wav                       | 5.38     | 4.4408   | 0.8247  
1995-1837-0003.wav                       | 7.36     | 5.8983   | 0.8014  
7021-85628-0013.wav                      | 12.13    | 11.4244  | 0.9418  
1995-1837-0029.wav                       | 5.58     | 4.3712   | 0.7834  
1995-1837-0016.wav                       | 7.19     | 5.5705   | 0.7748  
1995-1837-0004.wav                       | 6.36     | 4.9899   | 0.7846  
1995-1826-0010.wav                       | 2.44     | 1.7182   | 0.7027  
1995-1836-0012.wav                       | 3.69     | 3.1121   | 0.8423  
1995-1836-0007.wav                       | 3.44     | 3.0910   | 0.8998  
1995-1836-0011.wav                       | 4.71     | 4.2800   | 0.9097  
1995-1826-0003.wav                       | 3.09     | 2.6269   | 0.8501  
7021-79730-0006.wav                      | 11.34    | 10.0964  | 0.8903  
7021-79730-0007.wav                      | 12.46    | 10.1693  | 0.8165  
7021-79740-0014.wav                      | 14.18    | 13.2124  | 0.9321  
1995-1837-0025.wav                       | 9.51     | 8.0943   | 0.8516  
1995-1837-0007.wav                       | 8.80     | 7.6053   | 0.8642  
7021-79730-0001.wav                      | 11.49    | 10.2638  | 0.8933  
1995-1836-0013.wav                       | 5.30     | 4.6497   | 0.8773  
7021-79759-0005.wav                      | 13.02    | 11.3904  | 0.8748  
1995-1836-0009.wav                       | 6.71     | 5.6918   | 0.8483  
1995-1826-0022.wav                       | 4.75     | 3.7989   | 0.8006  
1995-1826-0004.wav                       | 3.04     | 2.4093   | 0.7938  
7021-85628-0003.wav                      | 15.29    | 13.8840  | 0.9080  
1995-1836-0008.wav                       | 6.99     | 6.1116   | 0.8750  
7021-79730-0008.wav                      | 11.77    | 10.1206  | 0.8602  
1995-1837-0001.wav                       | 8.73     | 7.7816   | 0.8914  
1995-1837-0026.wav                       | 8.10     | 7.1953   | 0.8889  
1995-1826-0008.wav                       | 2.90     | 1.9857   | 0.6859  
1995-1826-0014.wav                       | 2.50     | 2.2523   | 0.9009  
1995-1826-0005.wav                       | 5.12     | 4.1213   | 0.8042  
7021-79730-0009.wav                      | 12.59    | 10.4590  | 0.8311  
1995-1837-0012.wav                       | 8.24     | 7.2821   | 0.8832  
1995-1836-0006.wav                       | 7.71     | 6.8535   | 0.8883  
1995-1836-0001.wav                       | 6.00     | 5.2040   | 0.8673  
1995-1826-0025.wav                       | 3.29     | 2.9577   | 0.8976  
1995-1836-0003.wav                       | 7.96     | 6.7388   | 0.8461  
7021-85628-0007.wav                      | 16.68    | 15.2844  | 0.9166  
1995-1826-0006.wav                       | 2.46     | 2.0344   | 0.8287  
1995-1826-0015.wav                       | 3.55     | 2.9471   | 0.8302  
1995-1826-0016.wav                       | 5.90     | 5.1271   | 0.8690  
1995-1826-0018.wav                       | 5.01     | 3.9805   | 0.7945  
1995-1826-0009.wav                       | 7.57     | 7.1849   | 0.9491  
7021-79740-0008.wav                      | 18.41    | 17.3293  | 0.9410  
1995-1826-0007.wav                       | 7.06     | 6.8279   | 0.9671  
1995-1837-0014.wav                       | 12.46    | 10.5303  | 0.8451  
1995-1826-0012.wav                       | 6.18     | 6.5807   | 1.0648  
1995-1836-0000.wav                       | 8.96     | 8.7518   | 0.9773  
3570-5696-0006.wav                       | 4.16     | 4.5982   | 1.1053  
3570-5694-0012.wav                       | 3.21     | 3.3826   | 1.0554  
1995-1826-0020.wav                       | 6.12     | 6.1405   | 1.0033  
3570-5694-0019.wav                       | 3.75     | 3.5834   | 0.9543  
1995-1826-0002.wav                       | 4.61     | 5.3624   | 1.1645  
7021-79730-0004.wav                      | 17.95    | 16.2558  | 0.9059  
1995-1836-0014.wav                       | 9.04     | 9.1658   | 1.0134  
3570-5696-0004.wav                       | 4.70     | 5.3748   | 1.1436  
1995-1826-0024.wav                       | 5.09     | 5.4485   | 1.0694  
1995-1836-0005.wav                       | 10.90    | 11.0797  | 1.0165  
1995-1826-0023.wav                       | 8.14     | 8.8991   | 1.0933  
1995-1826-0017.wav                       | 6.14     | 6.7635   | 1.1007  
1995-1837-0018.wav                       | 12.82    | 13.0451  | 1.0172  
1995-1837-0023.wav                       | 16.96    | 16.1519  | 0.9521  
1995-1826-0019.wav                       | 5.25     | 6.8927   | 1.3129  
1995-1826-0013.wav                       | 8.77     | 10.1432  | 1.1566  
1995-1826-0000.wav                       | 9.48     | 9.8148   | 1.0348  
1995-1826-0001.wav                       | 10.17    | 10.7597  | 1.0580  
3570-5696-0008.wav                       | 7.26     | 8.7651   | 1.2073  
3570-5694-0013.wav                       | 5.61     | 7.8151   | 1.3931  
1995-1826-0011.wav                       | 8.94     | 9.7288   | 1.0882  
3570-5696-0010.wav                       | 7.57     | 8.9430   | 1.1814  
3570-5696-0002.wav                       | 7.51     | 9.4930   | 1.2641  
1995-1826-0021.wav                       | 11.41    | 10.9312  | 0.9580  
3570-5694-0022.wav                       | 4.29     | 6.8357   | 1.5916  
3570-5694-0001.wav                       | 5.67     | 6.6946   | 1.1797  
7021-79759-0004.wav                      | 24.47    | 25.0139  | 1.0222  
3570-5695-0010.wav                       | 4.67     | 6.1734   | 1.3234  
3570-5694-0004.wav                       | 5.33     | 7.1853   | 1.3481  
3570-5694-0005.wav                       | 8.40     | 10.4394  | 1.2420  
3570-5696-0009.wav                       | 8.86     | 11.9114  | 1.3444  
5639-40744-0009.wav                      | 2.38     | 2.6054   | 1.0970  
3570-5696-0000.wav                       | 11.41    | 13.0639  | 1.1445  
3570-5695-0008.wav                       | 6.84     | 7.7870   | 1.1376  
3570-5696-0007.wav                       | 9.50     | 12.8613  | 1.3538  
3570-5695-0013.wav                       | 4.64     | 6.9980   | 1.5082  
3570-5695-0009.wav                       | 5.03     | 6.3554   | 1.2647  
3570-5694-0018.wav                       | 7.82     | 9.8243   | 1.2571  
3570-5694-0017.wav                       | 8.34     | 9.7830   | 1.1737  
3570-5695-0000.wav                       | 4.83     | 5.2769   | 1.0925  
3570-5695-0003.wav                       | 5.36     | 4.8408   | 0.9040  
3570-5694-0015.wav                       | 8.44     | 9.4090   | 1.1155  
1995-1826-0026.wav                       | 15.45    | 16.0787  | 1.0407  
3570-5695-0011.wav                       | 8.26     | 9.5405   | 1.1550  
3570-5695-0015.wav                       | 7.95     | 8.7568   | 1.1015  
3570-5695-0002.wav                       | 7.80     | 9.6120   | 1.2315  
3570-5694-0008.wav                       | 9.49     | 10.1382  | 1.0677  
5639-40744-0005.wav                      | 5.64     | 5.2793   | 0.9352  
3570-5696-0005.wav                       | 13.03    | 15.2299  | 1.1693  
3570-5694-0014.wav                       | 11.26    | 10.4437  | 0.9279  
3570-5694-0011.wav                       | 11.03    | 12.8285  | 1.1631  
3570-5694-0007.wav                       | 10.54    | 11.2765  | 1.0694  
3570-5694-0021.wav                       | 10.55    | 11.3104  | 1.0716  
5639-40744-0017.wav                      | 5.88     | 5.0268   | 0.8549  
3570-5694-0000.wav                       | 12.09    | 12.8050  | 1.0596  
3570-5695-0006.wav                       | 7.47     | 6.9177   | 0.9261  
3570-5694-0002.wav                       | 10.62    | 11.1889  | 1.0541  
3570-5694-0009.wav                       | 12.61    | 11.9102  | 0.9449  
3570-5696-0001.wav                       | 16.73    | 16.6369  | 0.9941  
3570-5695-0007.wav                       | 9.76     | 10.1722  | 1.0428  
3570-5694-0020.wav                       | 14.04    | 16.1028  | 1.1473  
3570-5694-0016.wav                       | 14.15    | 14.2582  | 1.0076  
3570-5694-0006.wav                       | 14.51    | 15.5280  | 1.0705  
3570-5694-0010.wav                       | 13.01    | 16.3797  | 1.2595  
5639-40744-0007.wav                      | 5.83     | 4.8532   | 0.8332  
5639-40744-0011.wav                      | 2.67     | 2.5806   | 0.9683  
3570-5695-0014.wav                       | 10.54    | 11.0957  | 1.0527  
3570-5695-0004.wav                       | 10.60    | 9.7148   | 0.9165  
5639-40744-0008.wav                      | 2.21     | 1.6595   | 0.7492  
5639-40744-0033.wav                      | 9.15     | 7.3181   | 0.7998  
3570-5694-0003.wav                       | 19.02    | 18.4861  | 0.9717  
3570-5695-0012.wav                       | 14.76    | 13.6465  | 0.9246  
1995-1836-0010.wav                       | 24.45    | 24.8854  | 1.0178  
5639-40744-0002.wav                      | 8.91     | 6.7258   | 0.7549  
7021-79730-0003.wav                      | 32.88    | 31.8418  | 0.9684  
5639-40744-0010.wav                      | 4.12     | 3.4315   | 0.8329  
5639-40744-0016.wav                      | 9.49     | 8.1042   | 0.8540  
5639-40744-0021.wav                      | 10.98    | 9.2949   | 0.8465  
7176-88083-0008.wav                      | 3.28     | 3.0071   | 0.9168  
3570-5695-0001.wav                       | 14.71    | 14.1461  | 0.9613  
5639-40744-0020.wav                      | 9.82     | 8.2070   | 0.8357  
5639-40744-0014.wav                      | 7.72     | 6.2032   | 0.8035  
5639-40744-0034.wav                      | 13.05    | 10.7814  | 0.8258  
5639-40744-0006.wav                      | 8.04     | 6.9322   | 0.8617  
5639-40744-0025.wav                      | 8.79     | 6.5372   | 0.7441  
5639-40744-0028.wav                      | 12.25    | 10.6105  | 0.8662  
7176-88083-0009.wav                      | 4.04     | 3.5129   | 0.8684  
5639-40744-0024.wav                      | 8.85     | 7.5149   | 0.8496  
5639-40744-0029.wav                      | 7.30     | 6.2964   | 0.8619  
7176-88083-0005.wav                      | 4.70     | 3.3911   | 0.7215  
5639-40744-0036.wav                      | 11.54    | 8.8593   | 0.7680  
5639-40744-0001.wav                      | 12.44    | 10.2224  | 0.8217  
7176-88083-0027.wav                      | 2.13     | 1.5550   | 0.7301  
5639-40744-0004.wav                      | 12.47    | 10.6013  | 0.8498  
5639-40744-0013.wav                      | 6.87     | 6.3106   | 0.9192  
5639-40744-0012.wav                      | 8.60     | 7.0919   | 0.8251  
7176-88083-0015.wav                      | 2.33     | 1.8475   | 0.7912  
7176-88083-0019.wav                      | 5.81     | 4.8056   | 0.8271  
5639-40744-0015.wav                      | 11.02    | 9.2954   | 0.8435  
7176-88083-0026.wav                      | 5.53     | 4.3102   | 0.7794  
7176-88083-0014.wav                      | 4.67     | 3.8688   | 0.8284  
5639-40744-0018.wav                      | 15.41    | 13.0189  | 0.8446  
3570-5696-0003.wav                       | 25.11    | 25.4812  | 1.0146  
5639-40744-0019.wav                      | 12.06    | 9.9120   | 0.8219  
5639-40744-0040.wav                      | 12.51    | 10.8471  | 0.8671  
7176-92135-0033.wav                      | 2.23     | 1.7421   | 0.7812  
5639-40744-0038.wav                      | 13.80    | 11.4808  | 0.8319  
7176-88083-0012.wav                      | 5.04     | 3.9928   | 0.7914  
5639-40744-0022.wav                      | 13.64    | 9.9853   | 0.7318  
7176-88083-0006.wav                      | 4.29     | 3.6718   | 0.8549  
7176-88083-0024.wav                      | 8.20     | 6.4725   | 0.7898  
5639-40744-0000.wav                      | 15.77    | 14.1313  | 0.8961  
7176-88083-0020.wav                      | 5.42     | 4.9157   | 0.9078  
7176-88083-0016.wav                      | 3.92     | 3.4438   | 0.8785  
5639-40744-0037.wav                      | 11.45    | 10.0994  | 0.8820  
7176-92135-0028.wav                      | 3.35     | 2.7603   | 0.8252  
7176-88083-0017.wav                      | 3.66     | 2.8825   | 0.7876  
7176-88083-0000.wav                      | 5.70     | 4.5522   | 0.7993  
7176-92135-0026.wav                      | 2.95     | 2.3220   | 0.7871  
7176-88083-0010.wav                      | 6.74     | 5.1905   | 0.7701  
7176-92135-0027.wav                      | 2.83     | 1.9453   | 0.6862  
7176-92135-0010.wav                      | 2.16     | 1.5340   | 0.7102  
3570-5695-0005.wav                       | 20.03    | 18.2847  | 0.9129  
1995-1836-0004.wav                       | 33.91    | 32.3897  | 0.9552  
7176-88083-0003.wav                      | 7.60     | 5.9723   | 0.7858  
7176-92135-0029.wav                      | 2.98     | 2.2877   | 0.7664  
7176-92135-0021.wav                      | 2.56     | 1.8288   | 0.7130  
7176-88083-0018.wav                      | 10.45    | 8.3888   | 0.8028  
7176-88083-0002.wav                      | 7.51     | 6.7648   | 0.9008  
5639-40744-0032.wav                      | 17.43    | 13.6289  | 0.7819  
7176-92135-0030.wav                      | 2.23     | 1.6531   | 0.7396  
7176-88083-0025.wav                      | 7.38     | 5.5319   | 0.7496  
7176-92135-0004.wav                      | 2.42     | 1.7029   | 0.7022  
7176-92135-0024.wav                      | 4.10     | 3.2272   | 0.7871  
7176-92135-0007.wav                      | 3.27     | 2.6751   | 0.8168  
7176-92135-0034.wav                      | 4.46     | 3.3023   | 0.7396  
5639-40744-0039.wav                      | 14.38    | 11.8923  | 0.8273  
7176-92135-0037.wav                      | 2.86     | 2.2407   | 0.7835  
7176-88083-0004.wav                      | 7.50     | 6.5344   | 0.8713  
7176-92135-0035.wav                      | 3.38     | 2.7044   | 0.8001  
7176-92135-0005.wav                      | 5.47     | 4.5764   | 0.8366  
7176-88083-0011.wav                      | 10.06    | 8.2471   | 0.8198  
7176-92135-0002.wav                      | 3.42     | 2.7420   | 0.8029  
7176-88083-0021.wav                      | 12.61    | 10.6977  | 0.8487  
5639-40744-0026.wav                      | 14.50    | 13.0108  | 0.8973  
7176-92135-0019.wav                      | 2.40     | 2.0785   | 0.8642  
7176-92135-0011.wav                      | 2.88     | 2.1582   | 0.7481  
7176-92135-0001.wav                      | 7.56     | 5.6834   | 0.7518  
7176-92135-0032.wav                      | 3.31     | 2.6770   | 0.8075  
7176-88083-0023.wav                      | 9.64     | 8.2621   | 0.8566  
7176-92135-0009.wav                      | 4.38     | 3.7161   | 0.8484  
5639-40744-0041.wav                      | 17.20    | 14.8650  | 0.8642  
7176-92135-0039.wav                      | 3.12     | 2.1276   | 0.6808  
5639-40744-0035.wav                      | 17.52    | 14.4628  | 0.8255  
5639-40744-0023.wav                      | 13.92    | 12.5835  | 0.9040  
7176-92135-0013.wav                      | 3.15     | 2.5653   | 0.8144  
7176-88083-0022.wav                      | 9.48     | 7.8180   | 0.8242  
7176-92135-0003.wav                      | 3.96     | 3.2318   | 0.8172  
7176-92135-0008.wav                      | 4.43     | 3.6201   | 0.8172  
7176-88083-0013.wav                      | 15.00    | 12.0318  | 0.8021  
7176-92135-0036.wav                      | 6.47     | 5.1309   | 0.7930  
7176-92135-0020.wav                      | 7.17     | 5.7011   | 0.7957  
7176-92135-0042.wav                      | 7.27     | 5.8818   | 0.8090  
7176-92135-0044.wav                      | 5.17     | 4.2353   | 0.8184  
7176-92135-0041.wav                      | 4.94     | 4.0229   | 0.8143  
7176-92135-0015.wav                      | 6.75     | 5.2618   | 0.7789  
7176-92135-0045.wav                      | 5.23     | 4.3832   | 0.8381  
7729-102255-0034.wav                     | 2.71     | 1.9731   | 0.7281  
7176-92135-0040.wav                      | 10.35    | 8.4675   | 0.8185  
7176-92135-0023.wav                      | 6.21     | 5.0636   | 0.8147  
7729-102255-0013.wav                     | 2.67     | 2.2113   | 0.8266  
7176-92135-0018.wav                      | 8.94     | 7.3592   | 0.8232  
7176-88083-0007.wav                      | 14.30    | 11.2287  | 0.7852  
7729-102255-0001.wav                     | 3.45     | 2.4760   | 0.7177  
7176-92135-0017.wav                      | 7.17     | 6.2043   | 0.8653  
7176-92135-0006.wav                      | 7.79     | 6.4542   | 0.8280  
7729-102255-0025.wav                     | 5.49     | 4.5683   | 0.8329  
7176-92135-0022.wav                      | 8.23     | 7.1551   | 0.8694  
5639-40744-0030.wav                      | 22.29    | 19.0372  | 0.8543  
7176-92135-0016.wav                      | 7.54     | 6.4969   | 0.8611  
7729-102255-0027.wav                     | 5.91     | 4.6286   | 0.7839  
7729-102255-0045.wav                     | 6.80     | 5.8843   | 0.8647  
7176-92135-0031.wav                      | 9.64     | 8.7128   | 0.9038  
7176-88083-0001.wav                      | 16.57    | 14.1867  | 0.8559  
7729-102255-0030.wav                     | 7.25     | 6.7443   | 0.9302  
5639-40744-0027.wav                      | 23.26    | 20.3646  | 0.8755  
7729-102255-0039.wav                     | 6.82     | 6.6917   | 0.9819  
7729-102255-0005.wav                     | 5.18     | 5.0717   | 0.9791  
7176-92135-0038.wav                      | 9.21     | 9.4634   | 1.0281  
7729-102255-0043.wav                     | 11.04    | 9.1069   | 0.8253  
7729-102255-0021.wav                     | 7.93     | 8.2807   | 1.0442  
7729-102255-0035.wav                     | 5.62     | 5.9647   | 1.0604  
7176-92135-0000.wav                      | 14.44    | 14.3675  | 0.9950  
7729-102255-0031.wav                     | 6.75     | 7.0237   | 1.0405  
7729-102255-0033.wav                     | 6.78     | 7.5085   | 1.1083  
5639-40744-0003.wav                      | 27.12    | 25.6250  | 0.9449  
7729-102255-0023.wav                     | 5.50     | 6.5848   | 1.1972  
7729-102255-0010.wav                     | 8.54     | 10.1105  | 1.1839  
7729-102255-0007.wav                     | 11.53    | 11.2723  | 0.9777  
121-121726-0005.wav                      | 3.10     | 4.3750   | 1.4113  
7729-102255-0000.wav                     | 3.29     | 4.4241   | 1.3468  
7729-102255-0012.wav                     | 4.08     | 5.1548   | 1.2650  
7729-102255-0014.wav                     | 5.29     | 7.3622   | 1.3904  
7176-92135-0043.wav                      | 13.28    | 14.7118  | 1.1078  
121-121726-0013.wav                      | 2.49     | 3.3554   | 1.3476  
7729-102255-0020.wav                     | 10.97    | 11.5274  | 1.0503  
7176-92135-0025.wav                      | 15.74    | 15.9135  | 1.0110  
121-121726-0014.wav                      | 3.17     | 3.3730   | 1.0657  
7729-102255-0018.wav                     | 11.35    | 12.6238  | 1.1122  
121-121726-0002.wav                      | 4.41     | 5.6910   | 1.2905  
7729-102255-0016.wav                     | 11.61    | 13.1767  | 1.1349  
7729-102255-0002.wav                     | 8.30     | 10.3706  | 1.2495  
121-127105-0009.wav                      | 2.29     | 2.0448   | 0.8929  
121-127105-0014.wav                      | 2.25     | 2.3643   | 1.0485  
7729-102255-0038.wav                     | 7.92     | 9.6417   | 1.2174  
121-121726-0004.wav                      | 4.02     | 5.0939   | 1.2671  
121-127105-0004.wav                      | 2.11     | 2.7921   | 1.3233  
5639-40744-0031.wav                      | 28.42    | 27.6329  | 0.9723  
121-121726-0012.wav                      | 4.04     | 4.7550   | 1.1755  
7729-102255-0029.wav                     | 7.06     | 10.0076  | 1.4175  
121-121726-0009.wav                      | 7.26     | 6.7447   | 0.9290  
121-121726-0011.wav                      | 4.04     | 4.4537   | 1.1038  
121-121726-0001.wav                      | 5.92     | 6.0968   | 1.0290  
7176-92135-0014.wav                      | 16.02    | 16.7737  | 1.0470  
7729-102255-0036.wav                     | 7.71     | 10.4143  | 1.3516  
121-121726-0006.wav                      | 3.90     | 4.6842   | 1.2026  
121-127105-0018.wav                      | 2.77     | 2.5315   | 0.9139  
121-121726-0008.wav                      | 4.99     | 4.8560   | 0.9731  
7729-102255-0019.wav                     | 8.93     | 10.6142  | 1.1886  
121-127105-0006.wav                      | 4.72     | 4.1300   | 0.8741  
7729-102255-0024.wav                     | 10.23    | 12.6134  | 1.2330  
7729-102255-0022.wav                     | 11.79    | 11.8546  | 1.0050  
7176-92135-0012.wav                      | 16.40    | 17.4103  | 1.0616  
121-127105-0017.wav                      | 2.69     | 2.0744   | 0.7697  
7729-102255-0042.wav                     | 9.22     | 11.4107  | 1.2369  
121-127105-0032.wav                      | 3.17     | 2.6272   | 0.8288  
7729-102255-0028.wav                     | 9.60     | 12.9768  | 1.3517  
121-127105-0010.wav                      | 2.85     | 1.7902   | 0.6281  
121-121726-0003.wav                      | 6.75     | 6.1070   | 0.9041  
7729-102255-0037.wav                     | 11.02    | 13.5152  | 1.2264  
7729-102255-0026.wav                     | 15.06    | 14.5391  | 0.9654  
121-127105-0015.wav                      | 2.96     | 2.6341   | 0.8899  
121-127105-0030.wav                      | 2.17     | 1.8552   | 0.8530  
121-127105-0033.wav                      | 2.35     | 1.9791   | 0.8404  
121-127105-0016.wav                      | 2.03     | 1.7941   | 0.8838  
7729-102255-0044.wav                     | 17.11    | 17.5638  | 1.0268  
7729-102255-0015.wav                     | 14.99    | 16.4524  | 1.0976  
121-121726-0007.wav                      | 6.73     | 7.0218   | 1.0434  
121-127105-0012.wav                      | 4.83     | 4.1715   | 0.8637  
121-127105-0021.wav                      | 2.00     | 1.9810   | 0.9905  
7729-102255-0006.wav                     | 17.00    | 17.5580  | 1.0325  
121-121726-0000.wav                      | 8.46     | 10.0953  | 1.1933  
121-127105-0019.wav                      | 3.52     | 2.8242   | 0.8012  
121-127105-0008.wav                      | 2.76     | 2.1365   | 0.7741  
121-127105-0036.wav                      | 4.15     | 2.9177   | 0.7031  
7729-102255-0040.wav                     | 11.76    | 13.4796  | 1.1462  
7729-102255-0046.wav                     | 19.95    | 18.7601  | 0.9406  
121-123852-0001.wav                      | 1.87     | 1.3483   | 0.7210  
121-121726-0010.wav                      | 9.81     | 10.2272  | 1.0425  
7729-102255-0041.wav                     | 12.41    | 14.3433  | 1.1553  
121-127105-0013.wav                      | 5.89     | 4.7733   | 0.8097  
121-127105-0005.wav                      | 5.82     | 4.7437   | 0.8151  
121-127105-0022.wav                      | 5.08     | 4.2452   | 0.8365  
121-127105-0028.wav                      | 6.75     | 5.8539   | 0.8672  
7729-102255-0017.wav                     | 15.11    | 15.5847  | 1.0314  
121-127105-0001.wav                      | 5.03     | 4.1491   | 0.8257  
121-127105-0007.wav                      | 5.79     | 3.7862   | 0.6539  
121-127105-0011.wav                      | 5.78     | 4.5097   | 0.7802  
121-127105-0026.wav                      | 7.53     | 5.5079   | 0.7315  
121-127105-0002.wav                      | 7.50     | 6.5637   | 0.8757  
8463-287645-0008.wav                     | 3.33     | 2.7794   | 0.8359  
8463-287645-0014.wav                     | 3.02     | 2.4429   | 0.8089  
121-127105-0029.wav                      | 7.31     | 5.9292   | 0.8111  
121-127105-0034.wav                      | 7.41     | 5.6515   | 0.7627  
8463-287645-0009.wav                     | 3.71     | 3.1118   | 0.8388  
7729-102255-0003.wav                     | 19.81    | 20.4706  | 1.0336  
8463-287645-0010.wav                     | 4.33     | 3.1766   | 0.7345  
121-127105-0003.wav                      | 7.72     | 6.7383   | 0.8723  
8463-294825-0011.wav                     | 2.18     | 1.3587   | 0.6233  
8463-294825-0014.wav                     | 2.42     | 1.7523   | 0.7256  
8463-287645-0001.wav                     | 3.54     | 2.8620   | 0.8073  
121-127105-0031.wav                      | 10.77    | 10.2241  | 0.9498  
7729-102255-0009.wav                     | 18.56    | 19.3343  | 1.0417  
8463-287645-0000.wav                     | 4.73     | 3.8786   | 0.8200  
8463-294825-0015.wav                     | 3.25     | 2.3522   | 0.7237  
7729-102255-0032.wav                     | 20.28    | 21.1470  | 1.0427  
8463-287645-0012.wav                     | 5.42     | 4.8444   | 0.8930  
8463-294825-0018.wav                     | 2.94     | 2.0424   | 0.6959  
8463-287645-0013.wav                     | 6.67     | 5.4529   | 0.8181  
7729-102255-0004.wav                     | 20.16    | 20.3912  | 1.0117  
8463-294825-0008.wav                     | 3.98     | 3.3443   | 0.8403  
