nohup: ignoring input
--------------------------------------------------
正在初始化 Sherpa-onnx (RTF 性能测试)...
加载模型:
  Enc: encoder-epoch-99-avg-1.int8.onnx
  Dec: decoder-epoch-99-avg-1.onnx
  Join: joiner-epoch-99-avg-1.onnx
模型加载完成。
--------------------------------------------------
开始遍历数据集: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean
文件名                                      | 音频时长(s)    | 推理耗时(s)    | 实时率(RTF)  
7021-85628-0007.wav                      | 16.68      | 1.5716     | 0.0942    
7021-85628-0011.wav                      | 8.99       | 0.8445     | 0.0939    
7021-85628-0021.wav                      | 5.37       | 0.4915     | 0.0916    
7021-85628-0010.wav                      | 8.02       | 0.7454     | 0.0930    
7021-85628-0020.wav                      | 6.45       | 0.5901     | 0.0915    
7021-85628-0014.wav                      | 2.29       | 0.1877     | 0.0818    
7021-85628-0018.wav                      | 8.22       | 0.7726     | 0.0940    
7021-85628-0012.wav                      | 5.33       | 0.4816     | 0.0904    
7021-85628-0023.wav                      | 9.03       | 0.8231     | 0.0912    
7021-85628-0025.wav                      | 2.77       | 0.2405     | 0.0867    
7021-79759-0001.wav                      | 2.48       | 0.2113     | 0.0852    
7021-79759-0002.wav                      | 5.25       | 0.4864     | 0.0926    
7021-79759-0004.wav                      | 24.47      | 2.3389     | 0.0956    
7021-79759-0000.wav                      | 4.78       | 0.4233     | 0.0887    
7021-79759-0003.wav                      | 4.62       | 0.4332     | 0.0938    
7021-79759-0005.wav                      | 13.02      | 1.1992     | 0.0921    
7021-79730-0006.wav                      | 11.34      | 1.0562     | 0.0931    
7021-79730-0004.wav                      | 17.95      | 1.7074     | 0.0951    
7021-79730-0005.wav                      | 8.01       | 0.7395     | 0.0923    
7021-79730-0007.wav                      | 12.46      | 1.2262     | 0.0984    
7021-79730-0002.wav                      | 2.69       | 0.2451     | 0.0911    
7021-79730-0003.wav                      | 32.88      | 3.2454     | 0.0987    
7021-79730-0001.wav                      | 11.49      | 1.0811     | 0.0941    
7021-79730-0000.wav                      | 2.44       | 0.2187     | 0.0896    
7021-79730-0009.wav                      | 12.59      | 1.2561     | 0.0998    
7021-79730-0008.wav                      | 11.77      | 1.1239     | 0.0955    
1995-1837-0009.wav                       | 3.76       | 0.3443     | 0.0916    
1995-1837-0019.wav                       | 5.38       | 0.5378     | 0.1000    
1995-1837-0023.wav                       | 16.96      | 1.6322     | 0.0962    
1995-1837-0022.wav                       | 3.42       | 0.3097     | 0.0907    
1995-1837-0010.wav                       | 3.48       | 0.3122     | 0.0897    
1995-1837-0027.wav                       | 6.71       | 0.6503     | 0.0970    
1995-1837-0006.wav                       | 2.96       | 0.2919     | 0.0988    
1995-1837-0011.wav                       | 3.38       | 0.3128     | 0.0927    
1995-1837-0025.wav                       | 9.51       | 0.9532     | 0.1003    
1995-1837-0003.wav                       | 7.36       | 0.7029     | 0.0955    
1995-1837-0028.wav                       | 2.34       | 0.2283     | 0.0976    
1995-1837-0013.wav                       | 3.19       | 0.2872     | 0.0899    
1995-1837-0015.wav                       | 4.49       | 0.4066     | 0.0907    
1995-1837-0002.wav                       | 2.79       | 0.2459     | 0.0882    
1995-1837-0007.wav                       | 8.80       | 0.8473     | 0.0963    
1995-1837-0016.wav                       | 7.19       | 0.7001     | 0.0974    
1995-1837-0001.wav                       | 8.73       | 0.8391     | 0.0961    
1995-1837-0024.wav                       | 5.38       | 0.4869     | 0.0904    
1995-1837-0004.wav                       | 6.36       | 0.5801     | 0.0912    
1995-1837-0005.wav                       | 2.63       | 0.2561     | 0.0972    
1995-1837-0026.wav                       | 8.10       | 0.7626     | 0.0942    
1995-1837-0029.wav                       | 5.58       | 0.5285     | 0.0947    
1995-1837-0000.wav                       | 3.87       | 0.3445     | 0.0891    
1995-1837-0018.wav                       | 12.82      | 1.2591     | 0.0982    
1995-1837-0017.wav                       | 3.10       | 0.2811     | 0.0907    
1995-1837-0020.wav                       | 3.21       | 0.2723     | 0.0848    
1995-1837-0008.wav                       | 1.96       | 0.1518     | 0.0776    
1995-1837-0014.wav                       | 12.46      | 1.1751     | 0.0943    
1995-1837-0012.wav                       | 8.24       | 0.7885     | 0.0956    
1995-1837-0021.wav                       | 3.09       | 0.2833     | 0.0917    
1995-1836-0002.wav                       | 2.31       | 0.2237     | 0.0966    
1995-1836-0008.wav                       | 6.99       | 0.6656     | 0.0953    
1995-1836-0006.wav                       | 7.71       | 0.6951     | 0.0901    
1995-1836-0009.wav                       | 6.71       | 0.6053     | 0.0902    
1995-1836-0005.wav                       | 10.90      | 1.0065     | 0.0923    
1995-1836-0011.wav                       | 4.71       | 0.4276     | 0.0909    
1995-1836-0003.wav                       | 7.96       | 0.7443     | 0.0934    
1995-1836-0010.wav                       | 24.45      | 2.3306     | 0.0953    
1995-1836-0013.wav                       | 5.30       | 0.4896     | 0.0924    
1995-1836-0012.wav                       | 3.69       | 0.3301     | 0.0893    
1995-1836-0004.wav                       | 33.91      | 3.3113     | 0.0977    
1995-1836-0007.wav                       | 3.44       | 0.3099     | 0.0902    
1995-1836-0000.wav                       | 8.96       | 0.8482     | 0.0947    
1995-1836-0014.wav                       | 9.04       | 0.8897     | 0.0984    
1995-1836-0001.wav                       | 6.00       | 0.5518     | 0.0920    
1995-1826-0009.wav                       | 7.57       | 0.7072     | 0.0934    
1995-1826-0003.wav                       | 3.09       | 0.2793     | 0.0904    
1995-1826-0022.wav                       | 4.75       | 0.4361     | 0.0919    
1995-1826-0005.wav                       | 5.12       | 0.4672     | 0.0912    
1995-1826-0010.wav                       | 2.44       | 0.2174     | 0.0889    
1995-1826-0023.wav                       | 8.14       | 0.7951     | 0.0977    
1995-1826-0001.wav                       | 10.17      | 0.9624     | 0.0946    
1995-1826-0013.wav                       | 8.77       | 0.8220     | 0.0937    
1995-1826-0007.wav                       | 7.06       | 0.6436     | 0.0912    
1995-1826-0004.wav                       | 3.04       | 0.2730     | 0.0900    
1995-1826-0000.wav                       | 9.48       | 0.9233     | 0.0973    
1995-1826-0016.wav                       | 5.90       | 0.5717     | 0.0969    
1995-1826-0012.wav                       | 6.18       | 0.5951     | 0.0963    
1995-1826-0014.wav                       | 2.50       | 0.2112     | 0.0845    
1995-1826-0008.wav                       | 2.90       | 0.2452     | 0.0847    
1995-1826-0025.wav                       | 3.29       | 0.3051     | 0.0926    
1995-1826-0021.wav                       | 11.41      | 1.0818     | 0.0948    
1995-1826-0026.wav                       | 15.45      | 1.4727     | 0.0953    
1995-1826-0020.wav                       | 6.12       | 0.5525     | 0.0903    
1995-1826-0017.wav                       | 6.14       | 0.5491     | 0.0894    
1995-1826-0018.wav                       | 5.01       | 0.4908     | 0.0980    
1995-1826-0015.wav                       | 3.55       | 0.3049     | 0.0859    
1995-1826-0011.wav                       | 8.94       | 0.8320     | 0.0931    
1995-1826-0006.wav                       | 2.46       | 0.2237     | 0.0911    
1995-1826-0002.wav                       | 4.61       | 0.4348     | 0.0944    
1995-1826-0019.wav                       | 5.25       | 0.4985     | 0.0949    
1995-1826-0024.wav                       | 5.09       | 0.4600     | 0.0903    
3570-5696-0003.wav                       | 25.11      | 2.4969     | 0.0994    
3570-5696-0004.wav                       | 4.70       | 0.4390     | 0.0934    
3570-5696-0006.wav                       | 4.16       | 0.3742     | 0.0900    
3570-5696-0000.wav                       | 11.41      | 1.0999     | 0.0964    
3570-5696-0002.wav                       | 7.51       | 0.7194     | 0.0958    
3570-5696-0008.wav                       | 7.26       | 0.7078     | 0.0975    
3570-5696-0001.wav                       | 16.73      | 1.6018     | 0.0957    
3570-5696-0009.wav                       | 8.86       | 0.8406     | 0.0949    
3570-5696-0007.wav                       | 9.50       | 0.9048     | 0.0952    
3570-5696-0005.wav                       | 13.03      | 1.2656     | 0.0972    
3570-5696-0010.wav                       | 7.57       | 0.7119     | 0.0940    
3570-5694-0003.wav                       | 19.02      | 1.8444     | 0.0969    
3570-5694-0020.wav                       | 14.04      | 1.3489     | 0.0961    
3570-5694-0012.wav                       | 3.21       | 0.2911     | 0.0908    
3570-5694-0013.wav                       | 5.61       | 0.5258     | 0.0937    
3570-5694-0019.wav                       | 3.75       | 0.3377     | 0.0899    
3570-5694-0010.wav                       | 13.01      | 1.2581     | 0.0967    
3570-5694-0005.wav                       | 8.40       | 0.8160     | 0.0971    
3570-5694-0006.wav                       | 14.51      | 1.3981     | 0.0964    
3570-5694-0011.wav                       | 11.03      | 1.0387     | 0.0942    
3570-5694-0000.wav                       | 12.09      | 1.1705     | 0.0969    
3570-5694-0016.wav                       | 14.15      | 1.3639     | 0.0964    
3570-5694-0022.wav                       | 4.29       | 0.3999     | 0.0931    
3570-5694-0018.wav                       | 7.82       | 0.7550     | 0.0966    
3570-5694-0001.wav                       | 5.67       | 0.5444     | 0.0959    
3570-5694-0017.wav                       | 8.34       | 0.7684     | 0.0922    
3570-5694-0007.wav                       | 10.54      | 1.0073     | 0.0955    
3570-5694-0021.wav                       | 10.55      | 0.9733     | 0.0922    
3570-5694-0009.wav                       | 12.61      | 1.2218     | 0.0969    
3570-5694-0004.wav                       | 5.33       | 0.4883     | 0.0916    
3570-5694-0015.wav                       | 8.44       | 0.8032     | 0.0952    
3570-5694-0014.wav                       | 11.26      | 1.0566     | 0.0939    
3570-5694-0002.wav                       | 10.62      | 1.0547     | 0.0994    
3570-5694-0008.wav                       | 9.49       | 0.9382     | 0.0988    
3570-5695-0008.wav                       | 6.84       | 0.6574     | 0.0960    
3570-5695-0010.wav                       | 4.67       | 0.4363     | 0.0935    
3570-5695-0011.wav                       | 8.26       | 0.7645     | 0.0926    
3570-5695-0002.wav                       | 7.80       | 0.7471     | 0.0957    
3570-5695-0012.wav                       | 14.76      | 1.4144     | 0.0958    
3570-5695-0015.wav                       | 7.95       | 0.7611     | 0.0957    
3570-5695-0013.wav                       | 4.64       | 0.4331     | 0.0933    
3570-5695-0007.wav                       | 9.76       | 0.9442     | 0.0968    
3570-5695-0009.wav                       | 5.03       | 0.4809     | 0.0957    
3570-5695-0001.wav                       | 14.71      | 1.3707     | 0.0932    
3570-5695-0014.wav                       | 10.54      | 0.9714     | 0.0922    
3570-5695-0000.wav                       | 4.83       | 0.4221     | 0.0874    
3570-5695-0005.wav                       | 20.03      | 1.8820     | 0.0940    
3570-5695-0004.wav                       | 10.60      | 0.9672     | 0.0912    
3570-5695-0006.wav                       | 7.47       | 0.7306     | 0.0978    
3570-5695-0003.wav                       | 5.36       | 0.4900     | 0.0915    
5639-40744-0009.wav                      | 2.38       | 0.2124     | 0.0894    
5639-40744-0005.wav                      | 5.64       | 0.5215     | 0.0924    
5639-40744-0017.wav                      | 5.88       | 0.5455     | 0.0928    
5639-40744-0034.wav                      | 13.05      | 1.2187     | 0.0934    
5639-40744-0028.wav                      | 12.25      | 1.1604     | 0.0947    
5639-40744-0018.wav                      | 15.41      | 1.4552     | 0.0944    
5639-40744-0021.wav                      | 10.98      | 1.0415     | 0.0949    
5639-40744-0033.wav                      | 9.15       | 0.8450     | 0.0923    
5639-40744-0000.wav                      | 15.77      | 1.4811     | 0.0939    
5639-40744-0001.wav                      | 12.44      | 1.1512     | 0.0925    
5639-40744-0016.wav                      | 9.49       | 0.8757     | 0.0923    
5639-40744-0004.wav                      | 12.47      | 1.1508     | 0.0922    
5639-40744-0007.wav                      | 5.83       | 0.5106     | 0.0877    
5639-40744-0020.wav                      | 9.82       | 0.9172     | 0.0934    
5639-40744-0002.wav                      | 8.91       | 0.8509     | 0.0955    
5639-40744-0036.wav                      | 11.54      | 1.1524     | 0.0999    
5639-40744-0003.wav                      | 27.12      | 2.6225     | 0.0967    
5639-40744-0038.wav                      | 13.80      | 1.3190     | 0.0956    
5639-40744-0032.wav                      | 17.43      | 1.6426     | 0.0942    
5639-40744-0040.wav                      | 12.51      | 1.1508     | 0.0920    
5639-40744-0024.wav                      | 8.85       | 0.8468     | 0.0957    
5639-40744-0006.wav                      | 8.04       | 0.7306     | 0.0908    
5639-40744-0015.wav                      | 11.02      | 1.0575     | 0.0960    
5639-40744-0041.wav                      | 17.20      | 1.7095     | 0.0994    
5639-40744-0030.wav                      | 22.29      | 2.1584     | 0.0969    
5639-40744-0025.wav                      | 8.79       | 0.8511     | 0.0969    
5639-40744-0019.wav                      | 12.06      | 1.1343     | 0.0941    
5639-40744-0014.wav                      | 7.72       | 0.7119     | 0.0922    
5639-40744-0027.wav                      | 23.26      | 2.2911     | 0.0985    
5639-40744-0035.wav                      | 17.52      | 1.6720     | 0.0954    
5639-40744-0011.wav                      | 2.67       | 0.2524     | 0.0947    
5639-40744-0022.wav                      | 13.64      | 1.2778     | 0.0936    
5639-40744-0029.wav                      | 7.30       | 0.6680     | 0.0914    
5639-40744-0037.wav                      | 11.45      | 1.0666     | 0.0932    
5639-40744-0039.wav                      | 14.38      | 1.3500     | 0.0939    
5639-40744-0031.wav                      | 28.42      | 2.7099     | 0.0954    
5639-40744-0026.wav                      | 14.50      | 1.3788     | 0.0951    
5639-40744-0012.wav                      | 8.60       | 0.7984     | 0.0929    
5639-40744-0008.wav                      | 2.21       | 0.1947     | 0.0879    
5639-40744-0010.wav                      | 4.12       | 0.4033     | 0.0979    
5639-40744-0013.wav                      | 6.87       | 0.6645     | 0.0968    
5639-40744-0023.wav                      | 13.92      | 1.3415     | 0.0964    
7176-88083-0008.wav                      | 3.28       | 0.3167     | 0.0966    
7176-88083-0021.wav                      | 12.61      | 1.2165     | 0.0965    
7176-88083-0009.wav                      | 4.04       | 0.3914     | 0.0968    
7176-88083-0005.wav                      | 4.70       | 0.4363     | 0.0928    
7176-88083-0013.wav                      | 15.00      | 1.4342     | 0.0956    
7176-88083-0019.wav                      | 5.81       | 0.5299     | 0.0912    
7176-88083-0018.wav                      | 10.45      | 0.9916     | 0.0949    
7176-88083-0024.wav                      | 8.20       | 0.8029     | 0.0980    
7176-88083-0026.wav                      | 5.53       | 0.5223     | 0.0944    
7176-88083-0011.wav                      | 10.06      | 0.9690     | 0.0963    
7176-88083-0002.wav                      | 7.51       | 0.7064     | 0.0941    
7176-88083-0014.wav                      | 4.67       | 0.4535     | 0.0971    
7176-88083-0020.wav                      | 5.42       | 0.4921     | 0.0909    
7176-88083-0010.wav                      | 6.74       | 0.6316     | 0.0937    
7176-88083-0001.wav                      | 16.57      | 1.6080     | 0.0970    
7176-88083-0003.wav                      | 7.60       | 0.7057     | 0.0928    
7176-88083-0023.wav                      | 9.64       | 0.9002     | 0.0933    
7176-88083-0000.wav                      | 5.70       | 0.5307     | 0.0932    
7176-88083-0012.wav                      | 5.04       | 0.4532     | 0.0898    
7176-88083-0027.wav                      | 2.13       | 0.1798     | 0.0844    
7176-88083-0004.wav                      | 7.50       | 0.7419     | 0.0989    
7176-88083-0015.wav                      | 2.33       | 0.2158     | 0.0924    
7176-88083-0006.wav                      | 4.29       | 0.3934     | 0.0916    
7176-88083-0007.wav                      | 14.30      | 1.4109     | 0.0987    
7176-88083-0025.wav                      | 7.38       | 0.6987     | 0.0947    
7176-88083-0016.wav                      | 3.92       | 0.3830     | 0.0977    
7176-88083-0022.wav                      | 9.48       | 0.9049     | 0.0954    
7176-88083-0017.wav                      | 3.66       | 0.3415     | 0.0933    
7176-92135-0028.wav                      | 3.35       | 0.3124     | 0.0934    
7176-92135-0033.wav                      | 2.23       | 0.1892     | 0.0848    
7176-92135-0005.wav                      | 5.47       | 0.5069     | 0.0927    
7176-92135-0026.wav                      | 2.95       | 0.2497     | 0.0847    
7176-92135-0001.wav                      | 7.56       | 0.7247     | 0.0959    
7176-92135-0000.wav                      | 14.44      | 1.3710     | 0.0949    
7176-92135-0040.wav                      | 10.35      | 0.9850     | 0.0952    
7176-92135-0034.wav                      | 4.46       | 0.4019     | 0.0900    
7176-92135-0024.wav                      | 4.10       | 0.3724     | 0.0908    
7176-92135-0027.wav                      | 2.83       | 0.2496     | 0.0880    
7176-92135-0029.wav                      | 2.98       | 0.2823     | 0.0946    
7176-92135-0007.wav                      | 3.27       | 0.3150     | 0.0962    
7176-92135-0010.wav                      | 2.16       | 0.1871     | 0.0866    
7176-92135-0025.wav                      | 15.74      | 1.4721     | 0.0935    
7176-92135-0021.wav                      | 2.56       | 0.2132     | 0.0831    
7176-92135-0035.wav                      | 3.38       | 0.3111     | 0.0920    
7176-92135-0031.wav                      | 9.64       | 0.8910     | 0.0924    
7176-92135-0018.wav                      | 8.94       | 0.8309     | 0.0929    
7176-92135-0020.wav                      | 7.17       | 0.6871     | 0.0959    
7176-92135-0037.wav                      | 2.86       | 0.2532     | 0.0885    
7176-92135-0030.wav                      | 2.23       | 0.1917     | 0.0858    
7176-92135-0009.wav                      | 4.38       | 0.4095     | 0.0935    
7176-92135-0002.wav                      | 3.42       | 0.3162     | 0.0926    
7176-92135-0042.wav                      | 7.27       | 0.6839     | 0.0941    
7176-92135-0004.wav                      | 2.42       | 0.2216     | 0.0914    
7176-92135-0036.wav                      | 6.47       | 0.5884     | 0.0909    
7176-92135-0043.wav                      | 13.28      | 1.2752     | 0.0960    
7176-92135-0022.wav                      | 8.23       | 0.7713     | 0.0937    
7176-92135-0032.wav                      | 3.31       | 0.3551     | 0.1071    
7176-92135-0015.wav                      | 6.75       | 0.6151     | 0.0911    
7176-92135-0017.wav                      | 7.17       | 0.6838     | 0.0954    
7176-92135-0011.wav                      | 2.88       | 0.2573     | 0.0892    
7176-92135-0008.wav                      | 4.43       | 0.4064     | 0.0917    
7176-92135-0019.wav                      | 2.40       | 0.2251     | 0.0936    
7176-92135-0006.wav                      | 7.79       | 0.7478     | 0.0959    
7176-92135-0003.wav                      | 3.96       | 0.3812     | 0.0964    
7176-92135-0014.wav                      | 16.02      | 1.5151     | 0.0946    
7176-92135-0016.wav                      | 7.54       | 0.7275     | 0.0964    
7176-92135-0039.wav                      | 3.12       | 0.2744     | 0.0878    
7176-92135-0023.wav                      | 6.21       | 0.5792     | 0.0932    
7176-92135-0012.wav                      | 16.40      | 1.6314     | 0.0995    
7176-92135-0038.wav                      | 9.21       | 0.8633     | 0.0938    
7176-92135-0044.wav                      | 5.17       | 0.4860     | 0.0939    
7176-92135-0013.wav                      | 3.15       | 0.3099     | 0.0984    
7176-92135-0045.wav                      | 5.23       | 0.4294     | 0.0821    
7176-92135-0041.wav                      | 4.94       | 0.3976     | 0.0805    
7729-102255-0043.wav                     | 11.04      | 0.9041     | 0.0819    
7729-102255-0045.wav                     | 6.80       | 0.5601     | 0.0823    
7729-102255-0007.wav                     | 11.53      | 0.9156     | 0.0794    
7729-102255-0030.wav                     | 7.25       | 0.5904     | 0.0814    
7729-102255-0039.wav                     | 6.82       | 0.5498     | 0.0807    
7729-102255-0021.wav                     | 7.93       | 0.6452     | 0.0814    
7729-102255-0044.wav                     | 17.11      | 1.4023     | 0.0820    
7729-102255-0025.wav                     | 5.49       | 0.4219     | 0.0769    
7729-102255-0046.wav                     | 19.95      | 1.6107     | 0.0808    
7729-102255-0027.wav                     | 5.91       | 0.4666     | 0.0790    
7729-102255-0018.wav                     | 11.35      | 0.9049     | 0.0797    
7729-102255-0020.wav                     | 10.97      | 0.8846     | 0.0806    
7729-102255-0016.wav                     | 11.61      | 0.9433     | 0.0813    
7729-102255-0010.wav                     | 8.54       | 0.6892     | 0.0807    
7729-102255-0006.wav                     | 17.00      | 1.4294     | 0.0841    
7729-102255-0003.wav                     | 19.81      | 1.9088     | 0.0964    
7729-102255-0015.wav                     | 14.99      | 1.4392     | 0.0960    
7729-102255-0034.wav                     | 2.71       | 0.2727     | 0.1006    
7729-102255-0013.wav                     | 2.67       | 0.2543     | 0.0951    
7729-102255-0001.wav                     | 3.45       | 0.3623     | 0.1050    
7729-102255-0032.wav                     | 20.28      | 2.0581     | 0.1015    
7729-102255-0033.wav                     | 6.78       | 0.6730     | 0.0993    
7729-102255-0031.wav                     | 6.75       | 0.6722     | 0.0996    
7729-102255-0026.wav                     | 15.06      | 1.4631     | 0.0972    
7729-102255-0005.wav                     | 5.18       | 0.4691     | 0.0906    
7729-102255-0035.wav                     | 5.62       | 0.5329     | 0.0947    
7729-102255-0009.wav                     | 18.56      | 1.8185     | 0.0980    
7729-102255-0024.wav                     | 10.23      | 0.9842     | 0.0962    
7729-102255-0028.wav                     | 9.60       | 0.9119     | 0.0950    
7729-102255-0004.wav                     | 20.16      | 2.0415     | 0.1013    
7729-102255-0037.wav                     | 11.02      | 1.1085     | 0.1006    
7729-102255-0002.wav                     | 8.30       | 0.7927     | 0.0955    
7729-102255-0023.wav                     | 5.50       | 0.4980     | 0.0906    
7729-102255-0011.wav                     | 20.36      | 2.0070     | 0.0986    
7729-102255-0022.wav                     | 11.79      | 1.1127     | 0.0943    
7729-102255-0014.wav                     | 5.29       | 0.4984     | 0.0941    
7729-102255-0038.wav                     | 7.92       | 0.7335     | 0.0926    
7729-102255-0017.wav                     | 15.11      | 1.4401     | 0.0953    
7729-102255-0042.wav                     | 9.22       | 0.8682     | 0.0941    
7729-102255-0036.wav                     | 7.71       | 0.7163     | 0.0930    
7729-102255-0029.wav                     | 7.06       | 0.6532     | 0.0925    
7729-102255-0019.wav                     | 8.93       | 0.8299     | 0.0929    
7729-102255-0041.wav                     | 12.41      | 1.1710     | 0.0943    
7729-102255-0040.wav                     | 11.76      | 1.1143     | 0.0948    
7729-102255-0008.wav                     | 19.07      | 1.8135     | 0.0951    
7729-102255-0012.wav                     | 4.08       | 0.3808     | 0.0934    
7729-102255-0000.wav                     | 3.29       | 0.3043     | 0.0926    
121-121726-0005.wav                      | 3.10       | 0.2716     | 0.0876    
121-121726-0002.wav                      | 4.41       | 0.4089     | 0.0927    
121-121726-0000.wav                      | 8.46       | 0.7885     | 0.0932    
121-121726-0009.wav                      | 7.26       | 0.6788     | 0.0935    
121-121726-0013.wav                      | 2.49       | 0.2125     | 0.0854    
121-121726-0001.wav                      | 5.92       | 0.5954     | 0.1005    
121-121726-0010.wav                      | 9.81       | 0.9289     | 0.0947    
121-121726-0004.wav                      | 4.02       | 0.3888     | 0.0967    
121-121726-0014.wav                      | 3.17       | 0.2750     | 0.0869    
121-121726-0012.wav                      | 4.04       | 0.3783     | 0.0935    
121-121726-0011.wav                      | 4.04       | 0.3674     | 0.0911    
121-121726-0003.wav                      | 6.75       | 0.6069     | 0.0898    
121-121726-0008.wav                      | 4.99       | 0.4652     | 0.0932    
121-121726-0006.wav                      | 3.90       | 0.3323     | 0.0853    
121-121726-0007.wav                      | 6.73       | 0.6096     | 0.0906    
121-127105-0024.wav                      | 14.45      | 1.3907     | 0.0962    
121-127105-0006.wav                      | 4.72       | 0.4262     | 0.0902    
121-127105-0004.wav                      | 2.11       | 0.1878     | 0.0890    
121-127105-0014.wav                      | 2.25       | 0.1817     | 0.0806    
121-127105-0031.wav                      | 10.77      | 1.0051     | 0.0934    
121-127105-0009.wav                      | 2.29       | 0.1830     | 0.0799    
121-127105-0035.wav                      | 14.15      | 1.3324     | 0.0942    
121-127105-0018.wav                      | 2.77       | 0.2510     | 0.0906    
121-127105-0012.wav                      | 4.83       | 0.4450     | 0.0921    
121-127105-0032.wav                      | 3.17       | 0.2755     | 0.0869    
121-127105-0002.wav                      | 7.50       | 0.7149     | 0.0954    
121-127105-0017.wav                      | 2.69       | 0.2646     | 0.0982    
121-127105-0020.wav                      | 14.36      | 1.3769     | 0.0959    
121-127105-0027.wav                      | 13.87      | 1.3228     | 0.0954    
121-127105-0025.wav                      | 16.07      | 1.5065     | 0.0938    
121-127105-0028.wav                      | 6.75       | 0.6018     | 0.0892    
121-127105-0023.wav                      | 10.91      | 1.0050     | 0.0921    
121-127105-0013.wav                      | 5.89       | 0.5607     | 0.0951    
121-127105-0015.wav                      | 2.96       | 0.2741     | 0.0926    
121-127105-0010.wav                      | 2.85       | 0.2442     | 0.0857    
121-127105-0029.wav                      | 7.31       | 0.6931     | 0.0948    
121-127105-0003.wav                      | 7.72       | 0.7071     | 0.0915    
121-127105-0026.wav                      | 7.53       | 0.7054     | 0.0937    
121-127105-0005.wav                      | 5.82       | 0.5271     | 0.0906    
121-127105-0019.wav                      | 3.52       | 0.3048     | 0.0865    
121-127105-0034.wav                      | 7.41       | 0.6808     | 0.0919    
121-127105-0036.wav                      | 4.15       | 0.3623     | 0.0873    
121-127105-0033.wav                      | 2.35       | 0.2118     | 0.0900    
121-127105-0030.wav                      | 2.17       | 0.1820     | 0.0837    
121-127105-0016.wav                      | 2.03       | 0.1927     | 0.0949    
121-127105-0011.wav                      | 5.78       | 0.5162     | 0.0893    
121-127105-0022.wav                      | 5.08       | 0.4575     | 0.0901    
121-127105-0021.wav                      | 2.00       | 0.1883     | 0.0942    
121-127105-0001.wav                      | 5.03       | 0.4546     | 0.0905    
121-127105-0008.wav                      | 2.76       | 0.2401     | 0.0870    
121-127105-0000.wav                      | 9.88       | 0.9372     | 0.0949    
121-127105-0007.wav                      | 5.79       | 0.5165     | 0.0892    
121-123859-0000.wav                      | 17.39      | 1.6305     | 0.0938    
121-123859-0003.wav                      | 10.82      | 0.9938     | 0.0918    
121-123859-0001.wav                      | 25.39      | 2.4048     | 0.0947    
