nohup: ignoring input
-----------------------------------------------------------------
模式: 并行处理 (Threads=9)
正在加载模型 medium.en ...
模型加载完成。
-----------------------------------------------------------------
File ID                   | ProcTime(s)  | Audio(s)   | RTF     
1995-1826-0016            | 5.2247       | 5.90       | 0.8855  
1995-1826-0013            | 8.9531       | 8.77       | 1.0209  
1995-1826-0017            | 5.1895       | 6.14       | 0.8445  
1995-1826-0018            | 4.3342       | 5.01       | 0.8651  
1995-1826-0019            | 4.3322       | 5.25       | 0.8252  
1995-1836-0010            | 23.7515      | 24.45      | 0.9714  
1995-1826-0020            | 5.1529       | 6.12       | 0.8420  
1995-1826-0025            | 2.5628       | 3.29       | 0.7778  
1995-1826-0022            | 4.2982       | 4.75       | 0.9058  
1995-1826-0024            | 4.2761       | 5.09       | 0.8393  
1995-1836-0004            | 31.5979      | 33.91      | 0.9318  
1995-1826-0023            | 7.1145       | 8.14       | 0.8740  
3570-5696-0004            | 4.5449       | 4.70       | 0.9670  
1995-1826-0021            | 10.5692      | 11.41      | 0.9263  
3570-5696-0006            | 3.4814       | 4.16       | 0.8369  
3570-5696-0002            | 7.3496       | 7.51       | 0.9786  
3570-5696-0000            | 10.3673      | 11.41      | 0.9082  
1995-1826-0026            | 15.3190      | 15.45      | 0.9915  
3570-5696-0008            | 7.6042       | 7.26       | 1.0474  
3570-5696-0005            | 12.8553      | 13.03      | 0.9870  
3570-5696-0007            | 9.1564       | 9.50       | 0.9638  
3570-5696-0001            | 16.3230      | 16.73      | 0.9754  
3570-5696-0010            | 8.5088       | 7.57       | 1.1240  
3570-5696-0009            | 9.1672       | 8.86       | 1.0347  
3570-5694-0001            | 7.5172       | 5.67       | 1.3246  
3570-5694-0004            | 6.6426       | 5.33       | 1.2463  
3570-5694-0000            | 14.0828      | 12.09      | 1.1653  
3570-5694-0002            | 10.8938      | 10.62      | 1.0263  
3570-5694-0005            | 9.3337       | 8.40       | 1.1105  
3570-5696-0003            | 25.4714      | 25.11      | 1.0142  
3570-5694-0007            | 11.0714      | 10.54      | 1.0499  
3570-5694-0012            | 2.6536       | 3.21       | 0.8279  
3570-5694-0008            | 9.0143       | 9.49       | 0.9494  
3570-5694-0006            | 14.7629      | 14.51      | 1.0178  
3570-5694-0013            | 5.4406       | 5.61       | 0.9698  
3570-5694-0009            | 11.4519      | 12.61      | 0.9085  
3570-5694-0003            | 19.1722      | 19.02      | 1.0077  
3570-5694-0010            | 11.6417      | 13.01      | 0.8952  
3570-5694-0011            | 10.2302      | 11.03      | 0.9275  
3570-5694-0015            | 8.0296       | 8.44       | 0.9519  
3570-5694-0019            | 3.4648       | 3.75       | 0.9227  
3570-5694-0014            | 9.7638       | 11.26      | 0.8675  
3570-5694-0017            | 6.5903       | 8.34       | 0.7907  
3570-5694-0022            | 3.5812       | 4.29       | 0.8338  
3570-5694-0018            | 7.0475       | 7.82       | 0.9018  
3570-5695-0000            | 4.4964       | 4.83       | 0.9309  
3570-5695-0003            | 4.7543       | 5.36       | 0.8878  
3570-5694-0016            | 12.6370      | 14.15      | 0.8931  
3570-5694-0021            | 9.8319       | 10.55      | 0.9315  
3570-5695-0002            | 7.4374       | 7.80       | 0.9529  
3570-5694-0020            | 13.0544      | 14.04      | 0.9301  
3570-5695-0006            | 7.3483       | 7.47       | 0.9837  
3570-5695-0004            | 9.8343       | 10.60      | 0.9278  
3570-5695-0009            | 4.4438       | 5.03       | 0.8843  
3570-5695-0008            | 6.2290       | 6.84       | 0.9100  
3570-5695-0010            | 4.4350       | 4.67       | 0.9507  
3570-5695-0001            | 13.4584      | 14.71      | 0.9146  
3570-5695-0007            | 9.1007       | 9.76       | 0.9329  
3570-5695-0013            | 4.4408       | 4.64       | 0.9571  
3570-5695-0011            | 8.1701       | 8.26       | 0.9891  
3570-5695-0015            | 8.1886       | 7.95       | 1.0300  
3570-5695-0005            | 20.5183      | 20.03      | 1.0244  
5639-40744-0002           | 10.0312      | 8.91       | 1.1258  
3570-5695-0014            | 12.6964      | 10.54      | 1.2046  
5639-40744-0008           | 1.7476       | 2.21       | 0.7890  
5639-40744-0005           | 6.4665       | 5.64       | 1.1455  
5639-40744-0001           | 13.7371      | 12.44      | 1.1043  
3570-5695-0012            | 16.7621      | 14.76      | 1.1356  
5639-40744-0009           | 1.7636       | 2.38       | 0.7426  
5639-40744-0011           | 1.7857       | 2.67       | 0.6701  
5639-40744-0000           | 17.3270      | 15.77      | 1.0987  
5639-40744-0007           | 5.4586       | 5.83       | 0.9371  
5639-40744-0010           | 3.5274       | 4.12       | 0.8562  
5639-40744-0006           | 8.0598       | 8.04       | 1.0018  
5639-40744-0004           | 12.2762      | 12.47      | 0.9841  
5639-40744-0013           | 6.3835       | 6.87       | 0.9299  
5639-40744-0017           | 4.6733       | 5.88       | 0.7948  
5639-40744-0012           | 7.5464       | 8.60       | 0.8780  
5639-40744-0014           | 7.2420       | 7.72       | 0.9381  
5639-40744-0016           | 8.6392       | 9.49       | 0.9103  
5639-40744-0015           | 10.9651      | 11.02      | 0.9950  
5639-40744-0019           | 11.3097      | 12.06      | 0.9378  
5639-40744-0003           | 28.0435      | 27.12      | 1.0341  
5639-40744-0020           | 10.7799      | 9.82       | 1.0977  
5639-40744-0018           | 16.3372      | 15.41      | 1.0598  
5639-40744-0021           | 12.5514      | 10.98      | 1.1431  
5639-40744-0024           | 13.0492      | 8.85       | 1.4753  
5639-40744-0022           | 17.2162      | 13.64      | 1.2617  
5639-40744-0025           | 12.1544      | 8.79       | 1.3835  
5639-40744-0023           | 17.2338      | 13.92      | 1.2381  
5639-40744-0029           | 7.4513       | 7.30       | 1.0200  
5639-40744-0026           | 16.3335      | 14.50      | 1.1264  
5639-40744-0028           | 12.9222      | 12.25      | 1.0549  
5639-40744-0033           | 11.1724      | 9.15       | 1.2210  
5639-40744-0034           | 16.3615      | 13.05      | 1.2533  
5639-40744-0030           | 23.8637      | 22.29      | 1.0708  
5639-40744-0036           | 13.6180      | 11.54      | 1.1806  
5639-40744-0037           | 13.8529      | 11.45      | 1.2099  
5639-40744-0032           | 20.0854      | 17.43      | 1.1523  
5639-40744-0027           | 28.5357      | 23.26      | 1.2268  
5639-40744-0035           | 21.0464      | 17.52      | 1.2013  
7176-88083-0000           | 6.3554       | 5.70       | 1.1160  
5639-40744-0038           | 15.0888      | 13.80      | 1.0934  
7176-88083-0002           | 7.9612       | 7.51       | 1.0601  
5639-40744-0031           | 30.5393      | 28.42      | 1.0746  
7176-88083-0003           | 6.8925       | 7.60       | 0.9069  
5639-40744-0039           | 12.4248      | 14.38      | 0.8643  
5639-40744-0040           | 11.5121      | 12.51      | 0.9202  
7176-88083-0005           | 4.2889       | 4.70       | 0.9125  
7176-88083-0006           | 3.6027       | 4.29       | 0.8388  
7176-88083-0004           | 7.1124       | 7.50       | 0.9483  
7176-88083-0008           | 3.7535       | 3.28       | 1.1444  
7176-88083-0009           | 3.7209       | 4.04       | 0.9199  
5639-40744-0041           | 15.9058      | 17.20      | 0.9248  
7176-88083-0010           | 5.4646       | 6.74       | 0.8108  
7176-88083-0001           | 16.0943      | 16.57      | 0.9710  
7176-88083-0012           | 4.5055       | 5.04       | 0.8931  
7176-88083-0015           | 2.6126       | 2.33       | 1.1189  
7176-88083-0014           | 4.3913       | 4.67       | 0.9403  
7176-88083-0016           | 3.5535       | 3.92       | 0.9065  
7176-88083-0017           | 3.5285       | 3.66       | 0.9641  
7176-88083-0011           | 8.9828       | 10.06      | 0.8929  
7176-88083-0019           | 6.3646       | 5.81       | 1.0955  
7176-88083-0020           | 6.3642       | 5.42       | 1.1753  
7176-88083-0007           | 13.5770      | 14.30      | 0.9494  
7176-88083-0027           | 2.6243       | 2.13       | 1.2321  
7176-88083-0018           | 10.7018      | 10.45      | 1.0241  
7176-88083-0013           | 14.4330      | 15.00      | 0.9622  
7176-88083-0024           | 8.0805       | 8.20       | 0.9860  
7176-88083-0026           | 5.2365       | 5.53       | 0.9469  
7176-88083-0022           | 9.7843       | 9.48       | 1.0316  
7176-88083-0023           | 9.8182       | 9.64       | 1.0180  
7176-88083-0021           | 11.5447      | 12.61      | 0.9159  
7176-88083-0025           | 6.9434       | 7.38       | 0.9408  
7176-92135-0004           | 1.7161       | 2.42       | 0.7077  
7176-92135-0002           | 3.5559       | 3.42       | 1.0413  
7176-92135-0003           | 3.5344       | 3.96       | 0.8937  
7176-92135-0010           | 1.7618       | 2.16       | 0.8157  
7176-92135-0007           | 3.5584       | 3.27       | 1.0865  
7176-92135-0011           | 2.8075       | 2.88       | 0.9731  
7176-92135-0001           | 7.2198       | 7.56       | 0.9550  
7176-92135-0005           | 5.4686       | 5.47       | 0.9997  
7176-92135-0008           | 4.5992       | 4.43       | 1.0382  
7176-92135-0009           | 4.6199       | 4.38       | 1.0548  
7176-92135-0013           | 3.9653       | 3.15       | 1.2588  
7176-92135-0006           | 8.6338       | 7.79       | 1.1076  
7176-92135-0019           | 4.8198       | 2.40       | 2.0041  
7176-92135-0000           | 17.6133      | 14.44      | 1.2198  
7176-92135-0015           | 11.7098      | 6.75       | 1.7335  
7176-92135-0017           | 11.8860      | 7.17       | 1.6577  
7176-92135-0021           | 5.7662       | 2.56       | 2.2480  
7176-92135-0016           | 13.7423      | 7.54       | 1.8214  
7176-92135-0018           | 16.2647      | 8.94       | 1.8193  
7176-92135-0020           | 13.0034      | 7.17       | 1.8148  
7176-92135-0026           | 5.7792       | 2.95       | 1.9591  
7176-92135-0024           | 7.7998       | 4.10       | 1.9024  
7176-92135-0027           | 5.4371       | 2.83       | 1.9179  
7176-92135-0023           | 11.0812      | 6.21       | 1.7830  
7176-92135-0030           | 3.4546       | 2.23       | 1.5457  
7176-92135-0028           | 7.2801       | 3.35       | 2.1764  
7176-92135-0022           | 15.1332      | 8.23       | 1.8388  
7176-92135-0029           | 5.3242       | 2.98       | 1.7837  
7176-92135-0014           | 28.2528      | 16.02      | 1.7636  
7176-92135-0012           | 29.4775      | 16.40      | 1.7974  
7176-92135-0032           | 5.9057       | 3.31       | 1.7815  
7176-92135-0033           | 5.8082       | 2.23       | 2.6046  
7176-92135-0035           | 5.8367       | 3.38       | 1.7268  
7176-92135-0034           | 9.7510       | 4.46       | 2.1839  
7176-92135-0037           | 5.7486       | 2.86       | 2.0100  
7176-92135-0039           | 5.5944       | 3.12       | 1.7902  
7176-92135-0036           | 11.0877      | 6.47       | 1.7137  
7176-92135-0041           | 6.6131       | 4.94       | 1.3387  
7176-92135-0031           | 15.4657      | 9.64       | 1.6043  
7176-92135-0025           | 25.1428      | 15.74      | 1.5974  
7176-92135-0044           | 4.3704       | 5.17       | 0.8445  
7176-92135-0038           | 10.8701      | 9.21       | 1.1809  
7729-102255-0000          | 2.7918       | 3.29       | 0.8499  
7176-92135-0045           | 4.3012       | 5.23       | 0.8224  
7729-102255-0001          | 3.6103       | 3.45       | 1.0465  
7176-92135-0042           | 7.3442       | 7.27       | 1.0102  
7176-92135-0040           | 13.2541      | 10.35      | 1.2812  
7729-102255-0005          | 6.7631       | 5.18       | 1.3056  
7176-92135-0043           | 13.8181      | 13.28      | 1.0405  
7729-102255-0002          | 9.3457       | 8.30       | 1.1260  
7729-102255-0012          | 3.4147       | 4.08       | 0.8380  
7729-102255-0007          | 13.6934      | 11.53      | 1.1876  
7729-102255-0013          | 3.7017       | 2.67       | 1.3838  
7729-102255-0010          | 8.6093       | 8.54       | 1.0081  
7729-102255-0006          | 17.9683      | 17.00      | 1.0566  
7729-102255-0003          | 21.7607      | 19.81      | 1.0987  
7729-102255-0014          | 6.2313       | 5.29       | 1.1768  
7729-102255-0004          | 22.0039      | 20.16      | 1.0917  
7729-102255-0008          | 20.9663      | 19.07      | 1.0997  
7729-102255-0009          | 19.9904      | 18.56      | 1.0771  
7729-102255-0016          | 13.4910      | 11.61      | 1.1620  
7729-102255-0011          | 21.5129      | 20.36      | 1.0569  
7729-102255-0019          | 10.3590      | 8.93       | 1.1600  
7729-102255-0021          | 9.5209       | 7.93       | 1.2006  
7729-102255-0015          | 16.5931      | 14.99      | 1.1069  
7729-102255-0020          | 11.8964      | 10.97      | 1.0840  
7729-102255-0018          | 13.0335      | 11.35      | 1.1483  
7729-102255-0023          | 5.6791       | 5.50       | 1.0326  
7729-102255-0017          | 16.3406      | 15.11      | 1.0814  
7729-102255-0022          | 12.9222      | 11.79      | 1.0956  
7729-102255-0025          | 4.8760       | 5.49       | 0.8890  
7729-102255-0027          | 5.2511       | 5.91       | 0.8893  
7729-102255-0024          | 9.0175       | 10.23      | 0.8815  
7729-102255-0029          | 5.9438       | 7.06       | 0.8419  
7729-102255-0034          | 2.5940       | 2.71       | 0.9572  
7729-102255-0030          | 5.9316       | 7.25       | 0.8181  
7729-102255-0031          | 5.9289       | 6.75       | 0.8783  
7729-102255-0028          | 7.8194       | 9.60       | 0.8145  
7729-102255-0033          | 5.9424       | 6.78       | 0.8771  
7729-102255-0035          | 5.0998       | 5.62       | 0.9066  
7729-102255-0026          | 12.9708      | 15.06      | 0.8613  
7729-102255-0036          | 6.8644       | 7.71       | 0.8909  
7729-102255-0039          | 6.0884       | 6.82       | 0.8934  
7729-102255-0038          | 6.7163       | 7.92       | 0.8480  
7729-102255-0037          | 9.4416       | 11.02      | 0.8568  
7729-102255-0040          | 10.3906      | 11.76      | 0.8836  
7729-102255-0042          | 8.6996       | 9.22       | 0.9430  
7729-102255-0032          | 17.2311      | 20.28      | 0.8497  
7729-102255-0045          | 6.0745       | 6.80       | 0.8927  
7729-102255-0041          | 11.4460      | 12.41      | 0.9220  
7729-102255-0043          | 10.4815      | 11.04      | 0.9498  
121-121726-0002           | 4.0744       | 4.41       | 0.9239  
121-121726-0000           | 8.4483       | 8.46       | 0.9986  
121-121726-0004           | 4.7213       | 4.02       | 1.1744  
121-121726-0005           | 3.9129       | 3.10       | 1.2622  
121-121726-0001           | 6.4453       | 5.92       | 1.0878  
121-121726-0006           | 4.7679       | 3.90       | 1.2241  
121-121726-0003           | 8.2160       | 6.75       | 1.2163  
121-121726-0011           | 4.1347       | 4.04       | 1.0247  
121-121726-0008           | 5.0041       | 4.99       | 1.0028  
121-121726-0013           | 1.7316       | 2.49       | 0.6954  
121-121726-0007           | 6.5017       | 6.73       | 0.9661  
7729-102255-0044          | 16.8804      | 17.11      | 0.9869  
121-121726-0012           | 3.3740       | 4.04       | 0.8341  
121-121726-0009           | 6.7459       | 7.26       | 0.9292  
121-121726-0014           | 2.8260       | 3.17       | 0.8929  
121-127105-0004           | 1.7204       | 2.11       | 0.8154  
7729-102255-0046          | 20.4930      | 19.95      | 1.0275  
121-127105-0001           | 5.3321       | 5.03       | 1.0611  
121-121726-0010           | 10.5655      | 9.81       | 1.0770  
121-127105-0009           | 1.9425       | 2.29       | 0.8482  
121-127105-0006           | 5.3657       | 4.72       | 1.1356  
121-127105-0008           | 2.6139       | 2.76       | 0.9471  
121-127105-0005           | 6.4297       | 5.82       | 1.1048  
121-127105-0010           | 2.6141       | 2.85       | 0.9172  
121-127105-0002           | 7.9366       | 7.50       | 1.0589  
121-127105-0003           | 7.9887       | 7.72       | 1.0341  
121-127105-0007           | 6.2731       | 5.79       | 1.0834  
121-127105-0000           | 9.5817       | 9.88       | 0.9703  
121-127105-0016           | 1.8648       | 2.03       | 0.9186  
121-127105-0014           | 2.0214       | 2.25       | 0.8964  
121-127105-0015           | 3.8325       | 2.96       | 1.2948  
121-127105-0017           | 3.8392       | 2.69       | 1.4245  
121-127105-0018           | 3.8553       | 2.77       | 1.3918  
121-127105-0021           | 2.7306       | 2.00       | 1.3653  
121-127105-0012           | 5.3893       | 4.83       | 1.1158  
121-127105-0019           | 4.0132       | 3.52       | 1.1385  
121-127105-0011           | 6.3349       | 5.78       | 1.0960  
121-127105-0013           | 6.5261       | 5.89       | 1.1071  
121-127105-0022           | 4.4254       | 5.08       | 0.8720  
121-127105-0030           | 1.7280       | 2.17       | 0.7945  
121-127105-0028           | 6.2806       | 6.75       | 0.9305  
121-127105-0026           | 6.9790       | 7.53       | 0.9268  
121-127105-0029           | 6.8856       | 7.31       | 0.9419  
121-127105-0033           | 3.0043       | 2.35       | 1.2757  
121-127105-0023           | 10.6148      | 10.91      | 0.9729  
121-127105-0032           | 3.6318       | 3.17       | 1.1457  
121-127105-0020           | 15.9563      | 14.36      | 1.1116  
121-127105-0027           | 13.7134      | 13.87      | 0.9887  
121-127105-0036           | 4.1797       | 4.15       | 1.0071  
121-127105-0024           | 14.7973      | 14.45      | 1.0240  
121-127105-0025           | 15.4436      | 16.07      | 0.9613  
121-127105-0031           | 11.2553      | 10.77      | 1.0455  
121-127105-0034           | 8.6794       | 7.41       | 1.1713  
121-123852-0001           | 2.4711       | 1.87       | 1.3215  
121-123859-0004           | 8.6153       | 9.51       | 0.9064  
121-127105-0035           | 13.6368      | 14.15      | 0.9637  
121-123859-0003           | 9.4353       | 10.82      | 0.8716  
8463-287645-0001          | 3.5605       | 3.54       | 1.0044  
121-123859-0000           | 16.9643      | 17.39      | 0.9755  
8463-287645-0000          | 5.2651       | 4.73       | 1.1131  
121-123852-0000           | 16.6872      | 17.70      | 0.9430  
121-123852-0002           | 16.4750      | 17.29      | 0.9531  
8463-287645-0004          | 5.1329       | 6.10       | 0.8415  
8463-287645-0003          | 6.8479       | 7.91       | 0.8663  
121-123859-0001           | 21.7612      | 25.39      | 0.8569  
8463-287645-0008          | 2.7474       | 3.33       | 0.8263  
121-123852-0004           | 14.6198      | 16.29      | 0.8975  
8463-287645-0009          | 3.4603       | 3.71       | 0.9327  
8463-287645-0002          | 11.1285      | 12.92      | 0.8613  
121-123852-0003           | 19.9534      | 23.50      | 0.8489  
8463-287645-0006          | 6.7780       | 7.71       | 0.8791  
8463-287645-0010          | 3.3989       | 4.33       | 0.7859  
121-123859-0002           | 26.6733      | 30.04      | 0.8879  
8463-287645-0014          | 2.5570       | 3.02       | 0.8467  
8463-287645-0012          | 4.2782       | 5.42       | 0.7886  
8463-294825-0000          | 2.5879       | 2.69       | 0.9603  
8463-287645-0011          | 5.9837       | 6.38       | 0.9379  
8463-287645-0013          | 5.8148       | 6.67       | 0.8724  
8463-287645-0005          | 12.5665      | 15.97      | 0.7866  
8463-294825-0004          | 3.4287       | 3.68       | 0.9317  
8463-294825-0001          | 7.6833       | 7.80       | 0.9844  
8463-294825-0008          | 4.2029       | 3.98       | 1.0560  
8463-294825-0005          | 7.4062       | 7.70       | 0.9618  
8463-294825-0011          | 1.6854       | 2.18       | 0.7731  
8463-294825-0003          | 9.2924       | 9.94       | 0.9353  
8463-294825-0002          | 10.5474      | 10.56      | 0.9988  
8463-294825-0010          | 4.1645       | 4.58       | 0.9093  
8463-294825-0014          | 1.6630       | 2.42       | 0.6886  
8463-287645-0007          | 19.4621      | 21.50      | 0.9052  
8463-294825-0006          | 10.1026      | 11.13      | 0.9073  
8463-294825-0015          | 2.4823       | 3.25       | 0.7638  
8463-294825-0017          | 1.6716       | 2.35       | 0.7113  
8463-294825-0012          | 5.3775       | 5.97       | 0.9015  
8463-294825-0016          | 3.3167       | 4.47       | 0.7412  
8463-294825-0018          | 2.4982       | 2.94       | 0.8512  
8463-294825-0019          | 2.3204       | 3.39       | 0.6845  
8463-294828-0000          | 2.1150       | 3.62       | 0.5851  
8463-294828-0004          | 1.7171       | 2.34       | 0.7338  
8463-294828-0005          | 2.1572       | 2.44       | 0.8841  
8463-294828-0002          | 5.1119       | 6.19       | 0.8258  
8463-294828-0008          | 2.7827       | 2.65       | 1.0501  
8463-294828-0001          | 7.2698       | 9.19       | 0.7911  
8463-294828-0006          | 6.2152       | 7.32       | 0.8491  
8463-294825-0007          | 18.0634      | 21.05      | 0.8581  
8463-294828-0003          | 7.7475       | 9.34       | 0.8295  
8463-294825-0009          | 17.9164      | 20.00      | 0.8956  
8463-294828-0009          | 3.4676       | 4.17       | 0.8315  
8463-294828-0011          | 3.4762       | 3.91       | 0.8890  
8463-294825-0013          | 15.2809      | 17.64      | 0.8663  
8463-294828-0016          | 2.5727       | 3.29       | 0.7808  
8463-294828-0012          | 4.2717       | 4.91       | 0.8709  
8463-294828-0010          | 6.6643       | 8.34       | 0.7991  
8463-294828-0015          | 4.2771       | 4.88       | 0.8765  
8463-294828-0018          | 2.5673       | 2.94       | 0.8717  
8463-294828-0013          | 6.0246       | 7.20       | 0.8367  
8463-294828-0014          | 5.3360       | 5.72       | 0.9321  
8463-294828-0007          | 11.1745      | 12.96      | 0.8622  
