nohup: ignoring input
------------------------------------------------------------------------------------------
ASR 首字延迟(TTFT) 纯净测试
并发数: 49 | 分片: 0.1s | 排除 BERT 干扰
7729-102255-0035.wav           | 1.2922     | THE
7729-102255-0006.wav           | 1.5934     | COM
7729-102255-0018.wav           | 1.7601     | LITTLE BY
7729-102255-0044.wav           | 1.7674     | HERE
7729-102255-0039.wav           | 1.8226     | THE INM
7176-92135-0030.wav            | 2.5029     | ENTER LO
7729-102255-0015.wav           | 1.5674     | ONE OF
7729-102255-0022.wav           | 1.2218     | FROM
7729-102255-0041.wav           | 1.1228     | THE
7729-102255-0024.wav           | 1.4907     | THE
7729-102255-0011.wav           | 1.3134     | THE
7729-102255-0027.wav           | 1.9417     | FOOTN
7729-102255-0036.wav           | 1.2054     | HE
7729-102255-0046.wav           | 2.0088     | IN THE
7729-102255-0004.wav           | 1.4518     | THE
7729-102255-0014.wav           | 1.4425     | THE
7729-102255-0033.wav           | 1.8465     | AS HE
7729-102255-0001.wav           | 1.9247     | THIS
7729-102255-0000.wav           | 1.2908     | THE
7729-102255-0026.wav           | 1.8038     | IN THE
121-121726-0002.wav            | 1.3672     | ANGER
7729-102255-0002.wav           | 1.6810     | THAT
7729-102255-0037.wav           | 1.8368     | HALF AN
7729-102255-0009.wav           | 1.9615     | ALL
7729-102255-0008.wav           | 1.5959     | ALL
7729-102255-0040.wav           | 1.7959     | IN THIS
7729-102255-0012.wav           | 1.6110     | SEVER
7729-102255-0023.wav           | 2.0072     | THEIR
7729-102255-0025.wav           | 2.5666     | THEIR
121-127105-0002.wav            | 1.0935     | CRIED
121-127105-0006.wav            | 1.3929     | THE
7729-102255-0042.wav           | 1.8998     | RE
7729-102255-0038.wav           | 1.9949     | ATCHIS
7729-102255-0029.wav           | 1.8526     | TEN
7729-102255-0017.wav           | 1.9784     | SHERIFF
121-121726-0014.wav            | 1.6423     | HYPO
121-127105-0017.wav            | 1.3435     | IT WAS
121-121726-0000.wav            | 1.8020     | ALSO
121-127105-0031.wav            | 1.4855     | SHE
121-127105-0010.wav            | 1.2915     | SHE
7729-102255-0028.wav           | 2.2641     | PRI
121-127105-0009.wav            | 1.5054     | SHE
121-121726-0010.wav            | 2.0337     | HOUSE
121-121726-0013.wav            | 1.8817     | TID
121-121726-0012.wav            | 1.7627     | HUS
121-127105-0024.wav            | 1.7554     | POOR DOU
7729-102255-0019.wav           | 2.1659     | TO EMB
121-127105-0015.wav            | 1.3024     | HE
121-127105-0003.wav            | 1.2455     | THERE
121-127105-0027.wav            | 1.5941     | HE
121-127105-0026.wav            | 1.2290     | THE
121-127105-0011.wav            | 1.0724     | SHE
121-127105-0035.wav            | 1.8715     | SHE
121-127105-0012.wav            | 1.7513     | TWAS
121-127105-0018.wav            | 1.8600     | CRIED
121-127105-0023.wav            | 1.5664     | LET ME
121-127105-0013.wav            | 1.5813     | YOU
121-121726-0004.wav            | 2.1900     | HEAVEN
121-123859-0004.wav            | 1.3262     | SO
121-127105-0025.wav            | 1.7926     | THE
121-127105-0008.wav            | 1.3433     | HE
121-127105-0016.wav            | 1.2940     | PROBA
121-127105-0034.wav            | 1.3932     | IT
121-127105-0004.wav            | 2.2049     | THE
121-127105-0029.wav            | 1.7064     | THERE WERE PLENT
121-121726-0008.wav            | 2.3160     | HOSE
121-127105-0020.wav            | 2.0434     | WHO WAS
121-127105-0007.wav            | 1.2594     | TO
121-121726-0003.wav            | 2.3522     | HEY
121-127105-0036.wav            | 1.6937     | BUT
121-127105-0014.wav            | 2.3824     | YOU
121-127105-0019.wav            | 1.6943     | MRS
121-127105-0001.wav            | 1.4837     | SOMEONE
121-121726-0006.wav            | 2.5605     | HEREDITY
121-127105-0032.wav            | 2.2705     | YES
8463-287645-0009.wav           | 1.1911     | I
121-121726-0009.wav            | 2.7202     | HOTEL
121-127105-0022.wav            | 1.6784     | WELL
121-127105-0028.wav            | 2.1153     | THE AWK
121-123859-0003.wav            | 1.5832     | LOVE
121-121726-0005.wav            | 2.9106     | HED
8463-287645-0012.wav           | 1.2042     | SU
121-127105-0000.wav            | 1.6930     | IT WAS
121-127105-0021.wav            | 1.7634     | WON'T
121-127105-0005.wav            | 2.0009     | I
8463-287645-0010.wav           | 1.2671     | HE
121-121726-0007.wav            | 2.8052     | HORSE
8463-287645-0001.wav           | 1.2357     | IT IS
121-123852-0004.wav            | 1.7675     | MY
8463-287645-0000.wav           | 1.3590     | THIS
8463-287645-0005.wav           | 1.4434     | A FEW
8463-287645-0006.wav           | 1.3617     | THE DOC
121-121726-0001.wav            | 3.0379     | HUR
121-127105-0030.wav            | 2.0849     | I
8463-287645-0011.wav           | 1.2904     | SHE
8463-287645-0004.wav           | 1.3937     | JO
8463-294825-0015.wav           | 1.4724     | GRA
121-123859-0002.wav            | 1.9754     | BUT RE
121-127105-0033.wav            | 2.2194     | IT WAS
121-123852-0003.wav            | 1.8932     | THOUGHT
8463-287645-0013.wav           | 1.6776     | AS
121-123852-0001.wav            | 1.8505     | I
8463-294825-0010.wav           | 1.3552     | AND
8463-287645-0014.wav           | 1.6238     | OF STAR
8463-287645-0008.wav           | 1.8137     | AS US
121-121726-0011.wav            | 3.1757     | HUSB
8463-294825-0002.wav           | 1.4156     | FIRST
8463-294825-0012.wav           | 1.1235     | THE
8463-287645-0002.wav           | 1.6276     | FROM THE
121-123859-0000.wav            | 2.1168     | YOU
121-123859-0001.wav            | 2.0984     | O
8463-287645-0007.wav           | 1.5895     | ANOTHER
8463-294825-0006.wav           | 1.4773     | HIS SPE
8463-294825-0004.wav           | 1.3327     | IN ALL
8463-294828-0036.wav           | 1.2260     | THE
8463-294825-0018.wav           | 1.3560     | METER
8463-294825-0014.wav           | 1.5348     | FA
8463-294828-0007.wav           | 1.0784     | CLA
8463-294825-0005.wav           | 1.3742     | OTHER
8463-294825-0003.wav           | 1.4315     | NEMO
8463-287645-0003.wav           | 1.7003     | OF
8463-294828-0028.wav           | 1.1146     | I
8463-294825-0013.wav           | 1.3231     | FOR
8463-294825-0008.wav           | 1.4683     | BUT
8463-294828-0010.wav           | 1.0785     | NEVER
8463-294828-0000.wav           | 1.0069     | CHA
121-123852-0000.wav            | 2.0930     | THOSE
8463-294828-0026.wav           | 1.1261     | WE HAVE
8463-294825-0019.wav           | 1.3756     | MILLIM
8463-294825-0007.wav           | 1.6597     | EVEN
8463-294828-0027.wav           | 0.9813     | I
8463-294828-0030.wav           | 1.1620     | I
8463-294825-0016.wav           | 1.4499     | MILLIG
8463-294825-0000.wav           | 1.3530     | IT'S
8463-294828-0004.wav           | 1.0669     | BUT
8463-294828-0008.wav           | 0.9925     | AND
121-123852-0002.wav            | 2.3252     | NO
8463-294825-0001.wav           | 1.5228     | THIS RE
8463-294825-0017.wav           | 1.4373     | LEAD
8463-294828-0032.wav           | 1.3086     | IN
8463-294828-0013.wav           | 1.0224     | HE
8463-294828-0029.wav           | 1.3363     | OUR
8463-294828-0033.wav           | 1.0563     | I
8463-294828-0011.wav           | 1.1120     | HE
8463-294825-0009.wav           | 1.6822     | THIS COMPUL
8463-294828-0020.wav           | 1.3296     | YE
8463-294828-0017.wav           | 1.2659     | PACK AS
8463-294825-0011.wav           | 1.9511     | HE'S SWI
8463-294828-0035.wav           | 1.2714     | AND SO
8463-294828-0021.wav           | 1.4079     | A RO
8230-279154-0033.wav           | 0.9743     | IT
8463-294828-0002.wav           | 1.3954     | EVEN SO
8463-294828-0025.wav           | 1.1158     | BUT
8463-294828-0024.wav           | 1.1577     | WE
8463-294828-0009.wav           | 1.3434     | NOT
8463-294828-0001.wav           | 1.7210     | THREE SEC
8463-294828-0003.wav           | 1.2082     | I
8463-294828-0014.wav           | 1.3592     | THERE WAS
8230-279154-0000.wav           | 1.1395     | THE
8463-294828-0018.wav           | 1.4623     | WE'LL DE
8463-294828-0019.wav           | 1.4190     | ANYHOW
8230-279154-0031.wav           | 1.0592     | THEY
8230-279154-0010.wav           | 1.0804     | WE
8230-279154-0025.wav           | 1.1598     | WE
8463-294828-0037.wav           | 1.4086     | DEPARTING
8463-294828-0031.wav           | 1.3748     | ONE OF THE
8463-294828-0038.wav           | 1.5222     | THOUSAND
8230-279154-0023.wav           | 1.0464     | IN
8230-279154-0004.wav           | 1.3135     | THERE
8463-294828-0016.wav           | 1.3872     | DEAD
8463-294828-0034.wav           | 1.8014     | WILL BE
8230-279154-0032.wav           | 1.0772     | IT
8230-279154-0028.wav           | 1.1275     | I
8463-294828-0006.wav           | 1.5293     | FROM
8463-294828-0012.wav           | 1.3303     | PLEASE
8230-279154-0034.wav           | 1.2589     | WHEN
8463-294828-0023.wav           | 1.3969     | YOU
8463-294828-0022.wav           | 1.3998     | WE'RE LEAV
8230-279154-0008.wav           | 1.1691     | BUT
8463-294828-0015.wav           | 1.7363     | CONSE
8230-279154-0021.wav           | 1.0237     | REME
8230-279154-0037.wav           | 1.3467     | REC
8230-279154-0041.wav           | 1.3370     | THE
8463-294828-0005.wav           | 1.5151     | CONSE
8230-279154-0015.wav           | 1.1459     | THEY
8230-279154-0005.wav           | 1.0894     | ALL
8230-279154-0029.wav           | 1.0550     | THE
8230-279154-0016.wav           | 1.6728     | IN ACT
8230-279154-0006.wav           | 1.1918     | THE BE
8230-279154-0011.wav           | 1.3643     | SOME
8230-279154-0001.wav           | 1.3551     | WHAT IS
8230-279154-0019.wav           | 1.1877     | IT
8230-279154-0009.wav           | 1.6232     | OUR
8230-279154-0017.wav           | 1.0472     | THERE
8230-279154-0022.wav           | 1.6447     | SOME
8230-279154-0003.wav           | 1.0035     | AND
8230-279154-0036.wav           | 1.3789     | A
8230-279154-0024.wav           | 1.6134     | THE
8230-279154-0030.wav           | 1.6205     | SMOND
8230-279154-0038.wav           | 1.3930     | WE ARE
8230-279154-0013.wav           | 1.4017     | IN AN I
8230-279154-0043.wav           | 1.3347     | OF
8230-279154-0026.wav           | 1.3266     | THIS
8230-279154-0042.wav           | 1.3072     | THUS
8230-279154-0002.wav           | 1.3118     | WHETHER
5105-28241-0007.wav            | 1.1306     | THERE
8230-279154-0014.wav           | 1.4293     | I
8230-279154-0018.wav           | 1.3894     | THERE
8230-279154-0012.wav           | 1.4208     | FAMIL
8230-279154-0027.wav           | 1.3221     | A
8230-279154-0020.wav           | 1.3538     | IF WE
5105-28233-0009.wav            | 1.0642     | THE
5105-28241-0006.wav            | 1.3674     | THE LO
5105-28241-0018.wav            | 1.2849     | ITS
8230-279154-0039.wav           | 1.4230     | THIS KNOW
8230-279154-0040.wav           | 1.7268     | THERE
8230-279154-0007.wav           | 1.3329     | HAB
5105-28241-0014.wav            | 1.3256     | ANOTHER
5105-28241-0000.wav            | 1.3183     | HER
8230-279154-0035.wav           | 1.6462     | THUS
5105-28241-0019.wav            | 1.3614     | NOTHING
5105-28241-0001.wav            | 1.3555     | AFTER
5105-28241-0011.wav            | 1.3823     | ALL THE
5105-28241-0015.wav            | 1.3623     | TO THE
5105-28241-0012.wav            | 1.4585     | IS
5105-28241-0016.wav            | 1.2821     | YOU
5105-28241-0004.wav            | 1.3649     | ALTHO
5105-28241-0017.wav            | 1.4790     | AFTER
5105-28241-0005.wav            | 1.3667     | FOR A
5105-28241-0002.wav            | 1.4641     | THE
5105-28241-0010.wav            | 1.4626     | OCE
5105-28233-0002.wav            | 1.1065     | IT
5105-28241-0008.wav            | 1.4275     | IF THE EAR
5105-28233-0003.wav            | 1.1061     | WE
5105-28233-0004.wav            | 1.3640     | ON
5105-28233-0008.wav            | 1.4078     | WHEN
5105-28240-0002.wav            | 1.0818     | EXCLA
5105-28240-0003.wav            | 1.1272     | SHE
5105-28241-0009.wav            | 1.4870     | AND
5105-28233-0001.wav            | 1.4662     | HE
5105-28241-0003.wav            | 1.7835     | STEAM
5105-28233-0006.wav            | 1.4730     | NO CA
5105-28233-0005.wav            | 1.4129     | SOME
5105-28233-0010.wav            | 1.5150     | UNLI
5105-28233-0000.wav            | 1.4571     | LENGTH
5105-28240-0018.wav            | 1.1401     | YOU
5105-28240-0004.wav            | 1.2480     | IF
5105-28240-0001.wav            | 1.1443     | IT
5105-28240-0014.wav            | 1.3847     | ARE YOU
5105-28240-0023.wav            | 1.1838     | A
