nohup: ignoring input
------------------------------------------------------------
正在计算 RTF (模型: medium.en, Device: cuda)...
模型加载完成，开始遍历数据集...
------------------------------------------------------------
Filename                       | Audio(s) | Cost(s)  | RTF   
1995-1837-0005.wav             | 2.63     | 0.4579   | 0.1738
1995-1837-0026.wav             | 8.10     | 6.6361   | 0.8198
1995-1837-0029.wav             | 5.58     | 0.9405   | 0.1685
1995-1837-0000.wav             | 3.87     | 0.6049   | 0.1565
1995-1837-0018.wav             | 12.82    | 1.9028   | 0.1484
1995-1837-0017.wav             | 3.10     | 0.5808   | 0.1873
1995-1837-0020.wav             | 3.21     | 0.5743   | 0.1789
1995-1837-0008.wav             | 1.96     | 0.3412   | 0.1745
1995-1837-0014.wav             | 12.46    | 1.7569   | 0.1410
1995-1837-0012.wav             | 8.24     | 1.2557   | 0.1523
1995-1837-0021.wav             | 3.09     | 0.6408   | 0.2074
1995-1836-0002.wav             | 2.31     | 0.5481   | 0.2368
1995-1836-0008.wav             | 6.99     | 1.1046   | 0.1581
1995-1836-0006.wav             | 7.71     | 1.2361   | 0.1602
1995-1836-0009.wav             | 6.71     | 1.6418   | 0.2447
1995-1836-0005.wav             | 10.90    | 1.5081   | 0.1384
1995-1836-0011.wav             | 4.71     | 0.7157   | 0.1521
1995-1836-0003.wav             | 7.96     | 1.0828   | 0.1359
1995-1836-0010.wav             | 24.45    | 3.3454   | 0.1368
1995-1836-0013.wav             | 5.30     | 0.8170   | 0.1542
1995-1836-0012.wav             | 3.69     | 0.5863   | 0.1587
1995-1836-0004.wav             | 33.91    | 4.3551   | 0.1284
1995-1836-0007.wav             | 3.44     | 0.5749   | 0.1674
1995-1836-0000.wav             | 8.96     | 1.2137   | 0.1355
1995-1836-0014.wav             | 9.04     | 1.4162   | 0.1566
1995-1836-0001.wav             | 6.00     | 0.8632   | 0.1439
1995-1826-0009.wav             | 7.57     | 3.1305   | 0.4135
1995-1826-0003.wav             | 3.09     | 5.5202   | 1.7865
1995-1826-0022.wav             | 4.75     | 0.7054   | 0.1487
1995-1826-0005.wav             | 5.12     | 0.8015   | 0.1564
1995-1826-0010.wav             | 2.44     | 0.4499   | 0.1840
1995-1826-0023.wav             | 8.14     | 1.4451   | 0.1775
1995-1826-0001.wav             | 10.17    | 1.4071   | 0.1384
1995-1826-0013.wav             | 8.77     | 1.2276   | 0.1400
1995-1826-0007.wav             | 7.06     | 1.0723   | 0.1519
1995-1826-0004.wav             | 3.04     | 0.5664   | 0.1866
1995-1826-0000.wav             | 9.48     | 1.3355   | 0.1408
1995-1826-0016.wav             | 5.90     | 0.8536   | 0.1447
1995-1826-0012.wav             | 6.18     | 0.9753   | 0.1578
1995-1826-0014.wav             | 2.50     | 0.4514   | 0.1805
1995-1826-0008.wav             | 2.90     | 0.5653   | 0.1953
1995-1826-0025.wav             | 3.29     | 0.6702   | 0.2034
1995-1826-0021.wav             | 11.41    | 1.7155   | 0.1504
1995-1826-0026.wav             | 15.45    | 2.1060   | 0.1363
1995-1826-0020.wav             | 6.12     | 2.9987   | 0.4900
1995-1826-0017.wav             | 6.14     | 0.9492   | 0.1545
1995-1826-0018.wav             | 5.01     | 0.9185   | 0.1833
1995-1826-0015.wav             | 3.55     | 0.9550   | 0.2690
1995-1826-0011.wav             | 8.94     | 1.3982   | 0.1564
1995-1826-0006.wav             | 2.46     | 0.4495   | 0.1831
1995-1826-0002.wav             | 4.61     | 0.7094   | 0.1540
1995-1826-0019.wav             | 5.25     | 0.8261   | 0.1574
1995-1826-0024.wav             | 5.09     | 2.0420   | 0.4008
3570-5696-0003.wav             | 25.11    | 4.5550   | 0.1814
3570-5696-0004.wav             | 4.70     | 0.7049   | 0.1500
3570-5696-0006.wav             | 4.16     | 1.0728   | 0.2579
3570-5696-0000.wav             | 11.41    | 1.6128   | 0.1413
3570-5696-0002.wav             | 7.51     | 1.0869   | 0.1447
3570-5696-0008.wav             | 7.26     | 1.1136   | 0.1534
3570-5696-0001.wav             | 16.73    | 2.3597   | 0.1410
3570-5696-0009.wav             | 8.86     | 1.2717   | 0.1435
3570-5696-0007.wav             | 9.50     | 1.3956   | 0.1469
3570-5696-0005.wav             | 13.03    | 1.8267   | 0.1402
3570-5696-0010.wav             | 7.57     | 1.0994   | 0.1452
3570-5694-0003.wav             | 19.02    | 2.5670   | 0.1349
3570-5694-0020.wav             | 14.04    | 2.0840   | 0.1485
3570-5694-0012.wav             | 3.21     | 0.5861   | 0.1829
3570-5694-0013.wav             | 5.61     | 0.8558   | 0.1526
3570-5694-0019.wav             | 3.75     | 0.5983   | 0.1593
3570-5694-0010.wav             | 13.01    | 1.8072   | 0.1390
3570-5694-0005.wav             | 8.40     | 1.2208   | 0.1452
3570-5694-0006.wav             | 14.51    | 2.0221   | 0.1394
3570-5694-0011.wav             | 11.03    | 1.6395   | 0.1486
3570-5694-0000.wav             | 12.09    | 4.1653   | 0.3447
3570-5694-0016.wav             | 14.15    | 2.4045   | 0.1699
3570-5694-0022.wav             | 4.29     | 0.7341   | 0.1709
3570-5694-0018.wav             | 7.82     | 1.1388   | 0.1457
3570-5694-0001.wav             | 5.67     | 2.1689   | 0.3822
3570-5694-0017.wav             | 8.34     | 1.2313   | 0.1477
3570-5694-0007.wav             | 10.54    | 1.4861   | 0.1409
3570-5694-0021.wav             | 10.55    | 1.5012   | 0.1422
3570-5694-0009.wav             | 12.61    | 1.6871   | 0.1338
3570-5694-0004.wav             | 5.33     | 1.0506   | 0.1971
3570-5694-0015.wav             | 8.44     | 1.3907   | 0.1649
3570-5694-0014.wav             | 11.26    | 1.7557   | 0.1560
3570-5694-0002.wav             | 10.62    | 1.4579   | 0.1373
3570-5694-0008.wav             | 9.49     | 1.3164   | 0.1386
3570-5695-0008.wav             | 6.84     | 0.9531   | 0.1392
3570-5695-0010.wav             | 4.67     | 0.6945   | 0.1489
3570-5695-0011.wav             | 8.26     | 1.2242   | 0.1482
3570-5695-0002.wav             | 7.80     | 3.7411   | 0.4793
3570-5695-0012.wav             | 14.76    | 2.0346   | 0.1378
3570-5695-0015.wav             | 7.95     | 1.1035   | 0.1388
3570-5695-0013.wav             | 4.64     | 0.7182   | 0.1548
3570-5695-0007.wav             | 9.76     | 1.3121   | 0.1345
3570-5695-0009.wav             | 5.03     | 0.8077   | 0.1607
3570-5695-0001.wav             | 14.71    | 1.9632   | 0.1334
3570-5695-0014.wav             | 10.54    | 1.4779   | 0.1402
3570-5695-0000.wav             | 4.83     | 0.7141   | 0.1479
3570-5695-0005.wav             | 20.03    | 9.6415   | 0.4814
3570-5695-0004.wav             | 10.60    | 1.4974   | 0.1413
3570-5695-0006.wav             | 7.47     | 1.1351   | 0.1520
3570-5695-0003.wav             | 5.36     | 0.8390   | 0.1567
5639-40744-0009.wav            | 2.38     | 0.3656   | 0.1539
5639-40744-0005.wav            | 5.64     | 0.8807   | 0.1560
5639-40744-0017.wav            | 5.88     | 0.7693   | 0.1308
5639-40744-0034.wav            | 13.05    | 1.5885   | 0.1217
5639-40744-0028.wav            | 12.25    | 1.7230   | 0.1407
5639-40744-0018.wav            | 15.41    | 5.9039   | 0.3830
5639-40744-0021.wav            | 10.98    | 1.4210   | 0.1294
5639-40744-0033.wav            | 9.15     | 3.7701   | 0.4120
5639-40744-0000.wav            | 15.77    | 3.2526   | 0.2063
5639-40744-0001.wav            | 12.44    | 1.7545   | 0.1410
5639-40744-0016.wav            | 9.49     | 5.0881   | 0.5362
5639-40744-0004.wav            | 12.47    | 4.3167   | 0.3460
5639-40744-0007.wav            | 5.83     | 0.8334   | 0.1431
5639-40744-0020.wav            | 9.82     | 1.3163   | 0.1340
5639-40744-0002.wav            | 8.91     | 1.2343   | 0.1385
5639-40744-0036.wav            | 11.54    | 1.5845   | 0.1374
5639-40744-0003.wav            | 27.12    | 7.3826   | 0.2722
5639-40744-0038.wav            | 13.80    | 2.8909   | 0.2095
5639-40744-0032.wav            | 17.43    | 2.3558   | 0.1352
5639-40744-0040.wav            | 12.51    | 2.1221   | 0.1696
5639-40744-0024.wav            | 8.85     | 1.2763   | 0.1443
5639-40744-0006.wav            | 8.04     | 2.0552   | 0.2555
5639-40744-0015.wav            | 11.02    | 3.4638   | 0.3143
5639-40744-0041.wav            | 17.20    | 2.3768   | 0.1382
5639-40744-0030.wav            | 22.29    | 3.3442   | 0.1501
5639-40744-0025.wav            | 8.79     | 1.2495   | 0.1422
5639-40744-0019.wav            | 12.06    | 1.7185   | 0.1425
5639-40744-0014.wav            | 7.72     | 3.7352   | 0.4838
5639-40744-0027.wav            | 23.26    | 4.8524   | 0.2086
5639-40744-0035.wav            | 17.52    | 5.7290   | 0.3270
5639-40744-0011.wav            | 2.67     | 0.4625   | 0.1735
5639-40744-0022.wav            | 13.64    | 5.1348   | 0.3763
5639-40744-0029.wav            | 7.30     | 1.0708   | 0.1466
5639-40744-0037.wav            | 11.45    | 6.1213   | 0.5346
5639-40744-0039.wav            | 14.38    | 2.0262   | 0.1410
5639-40744-0031.wav            | 28.42    | 4.0694   | 0.1432
5639-40744-0026.wav            | 14.50    | 1.9689   | 0.1358
5639-40744-0012.wav            | 8.60     | 1.2427   | 0.1446
5639-40744-0008.wav            | 2.21     | 0.3466   | 0.1565
5639-40744-0010.wav            | 4.12     | 0.7105   | 0.1725
5639-40744-0013.wav            | 6.87     | 0.9716   | 0.1415
5639-40744-0023.wav            | 13.92    | 2.0479   | 0.1471
7176-88083-0008.wav            | 3.28     | 0.5848   | 0.1783
7176-88083-0021.wav            | 12.61    | 1.7956   | 0.1425
7176-88083-0009.wav            | 4.04     | 0.7101   | 0.1756
7176-88083-0005.wav            | 4.70     | 0.7595   | 0.1616
7176-88083-0013.wav            | 15.00    | 2.7448   | 0.1830
7176-88083-0019.wav            | 5.81     | 0.8562   | 0.1474
7176-88083-0018.wav            | 10.45    | 1.4884   | 0.1424
7176-88083-0024.wav            | 8.20     | 1.2221   | 0.1491
7176-88083-0026.wav            | 5.53     | 0.8395   | 0.1518
7176-88083-0011.wav            | 10.06    | 1.4838   | 0.1475
7176-88083-0002.wav            | 7.51     | 1.1008   | 0.1466
7176-88083-0014.wav            | 4.67     | 1.0132   | 0.2170
7176-88083-0020.wav            | 5.42     | 0.8319   | 0.1536
7176-88083-0010.wav            | 6.74     | 0.7870   | 0.1168
7176-88083-0001.wav            | 16.57    | 6.6801   | 0.4030
7176-88083-0003.wav            | 7.60     | 1.1336   | 0.1492
7176-88083-0023.wav            | 9.64     | 1.3928   | 0.1444
7176-88083-0000.wav            | 5.70     | 0.8442   | 0.1482
7176-88083-0012.wav            | 5.04     | 0.8447   | 0.1674
7176-88083-0027.wav            | 2.13     | 0.3541   | 0.1662
7176-88083-0004.wav            | 7.50     | 1.1828   | 0.1577
7176-88083-0015.wav            | 2.33     | 0.3459   | 0.1482
7176-88083-0006.wav            | 4.29     | 0.7268   | 0.1692
7176-88083-0007.wav            | 14.30    | 1.9495   | 0.1363
7176-88083-0025.wav            | 7.38     | 1.0671   | 0.1446
7176-88083-0016.wav            | 3.92     | 0.6117   | 0.1560
7176-88083-0022.wav            | 9.48     | 1.4924   | 0.1573
7176-88083-0017.wav            | 3.66     | 0.6190   | 0.1691
7176-92135-0028.wav            | 3.35     | 0.5922   | 0.1770
7176-92135-0033.wav            | 2.23     | 0.3679   | 0.1650
7176-92135-0005.wav            | 5.47     | 0.8699   | 0.1590
7176-92135-0026.wav            | 2.95     | 0.4545   | 0.1541
7176-92135-0001.wav            | 7.56     | 1.0690   | 0.1414
7176-92135-0000.wav            | 14.44    | 2.4978   | 0.1730
7176-92135-0040.wav            | 10.35    | 1.6700   | 0.1614
7176-92135-0034.wav            | 4.46     | 0.7266   | 0.1627
7176-92135-0024.wav            | 4.10     | 0.5211   | 0.1271
7176-92135-0027.wav            | 2.83     | 0.5116   | 0.1804
7176-92135-0029.wav            | 2.98     | 0.4850   | 0.1625
7176-92135-0007.wav            | 3.27     | 0.6035   | 0.1843
7176-92135-0010.wav            | 2.16     | 0.2615   | 0.1210
7176-92135-0025.wav            | 15.74    | 2.1561   | 0.1370
7176-92135-0021.wav            | 2.56     | 0.4555   | 0.1776
7176-92135-0035.wav            | 3.38     | 0.5908   | 0.1748
7176-92135-0031.wav            | 9.64     | 1.3170   | 0.1366
7176-92135-0018.wav            | 8.94     | 1.2507   | 0.1399
7176-92135-0020.wav            | 7.17     | 1.1027   | 0.1539
7176-92135-0037.wav            | 2.86     | 0.4958   | 0.1733
7176-92135-0030.wav            | 2.23     | 0.4888   | 0.2187
7176-92135-0009.wav            | 4.38     | 0.7565   | 0.1727
7176-92135-0002.wav            | 3.42     | 0.5768   | 0.1689
7176-92135-0042.wav            | 7.27     | 0.9751   | 0.1341
7176-92135-0004.wav            | 2.42     | 0.4560   | 0.1880
7176-92135-0036.wav            | 6.47     | 0.9921   | 0.1533
7176-92135-0043.wav            | 13.28    | 1.9077   | 0.1437
7176-92135-0022.wav            | 8.23     | 1.2069   | 0.1466
7176-92135-0032.wav            | 3.31     | 0.5712   | 0.1723
7176-92135-0015.wav            | 6.75     | 0.9897   | 0.1465
7176-92135-0017.wav            | 7.17     | 1.0803   | 0.1507
7176-92135-0011.wav            | 2.88     | 0.4982   | 0.1727
7176-92135-0008.wav            | 4.43     | 0.7178   | 0.1620
7176-92135-0019.wav            | 2.40     | 0.4579   | 0.1904
7176-92135-0006.wav            | 7.79     | 1.1015   | 0.1413
7176-92135-0003.wav            | 3.96     | 0.5839   | 0.1476
7176-92135-0014.wav            | 16.02    | 2.2396   | 0.1398
7176-92135-0016.wav            | 7.54     | 1.1440   | 0.1516
7176-92135-0039.wav            | 3.12     | 0.6487   | 0.2076
7176-92135-0023.wav            | 6.21     | 0.9910   | 0.1594
7176-92135-0012.wav            | 16.40    | 2.6214   | 0.1598
7176-92135-0038.wav            | 9.21     | 1.3755   | 0.1494
7176-92135-0044.wav            | 5.17     | 0.8495   | 0.1642
7176-92135-0013.wav            | 3.15     | 0.4698   | 0.1491
7176-92135-0045.wav            | 5.23     | 0.8202   | 0.1568
7176-92135-0041.wav            | 4.94     | 0.8150   | 0.1650
7729-102255-0043.wav           | 11.04    | 1.6140   | 0.1463
7729-102255-0045.wav           | 6.80     | 1.5840   | 0.2328
7729-102255-0007.wav           | 11.53    | 1.6055   | 0.1392
7729-102255-0030.wav           | 7.25     | 1.0796   | 0.1489
7729-102255-0039.wav           | 6.82     | 1.0448   | 0.1533
7729-102255-0021.wav           | 7.93     | 1.0949   | 0.1381
7729-102255-0044.wav           | 17.11    | 2.4390   | 0.1426
7729-102255-0025.wav           | 5.49     | 0.8237   | 0.1502
7729-102255-0046.wav           | 19.95    | 4.4922   | 0.2252
7729-102255-0027.wav           | 5.91     | 0.8381   | 0.1419
7729-102255-0018.wav           | 11.35    | 2.1018   | 0.1852
7729-102255-0020.wav           | 10.97    | 1.6282   | 0.1484
7729-102255-0016.wav           | 11.61    | 1.5242   | 0.1313
7729-102255-0010.wav           | 8.54     | 1.4737   | 0.1726
7729-102255-0006.wav           | 17.00    | 3.0829   | 0.1813
7729-102255-0003.wav           | 19.81    | 2.5360   | 0.1280
7729-102255-0015.wav           | 14.99    | 8.9697   | 0.5984
7729-102255-0034.wav           | 2.71     | 0.4639   | 0.1712
7729-102255-0013.wav           | 2.67     | 0.4727   | 0.1767
7729-102255-0001.wav           | 3.45     | 0.5901   | 0.1711
7729-102255-0032.wav           | 20.28    | 4.5420   | 0.2240
7729-102255-0033.wav           | 6.78     | 0.9302   | 0.1373
7729-102255-0031.wav           | 6.75     | 0.9297   | 0.1377
7729-102255-0026.wav           | 15.06    | 2.0841   | 0.1384
7729-102255-0005.wav           | 5.18     | 0.8429   | 0.1627
7729-102255-0035.wav           | 5.62     | 4.8198   | 0.8568
7729-102255-0009.wav           | 18.56    | 2.5247   | 0.1360
7729-102255-0024.wav           | 10.23    | 1.4916   | 0.1458
7729-102255-0028.wav           | 9.60     | 1.3007   | 0.1355
7729-102255-0004.wav           | 20.16    | 7.3445   | 0.3644
7729-102255-0037.wav           | 11.02    | 6.9562   | 0.6312
7729-102255-0002.wav           | 8.30     | 1.2741   | 0.1535
7729-102255-0023.wav           | 5.50     | 0.8211   | 0.1493
7729-102255-0011.wav           | 20.36    | 2.6022   | 0.1278
7729-102255-0022.wav           | 11.79    | 5.0386   | 0.4272
7729-102255-0014.wav           | 5.29     | 1.5311   | 0.2892
7729-102255-0038.wav           | 7.92     | 1.1152   | 0.1408
7729-102255-0017.wav           | 15.11    | 2.5349   | 0.1678
7729-102255-0042.wav           | 9.22     | 2.6802   | 0.2905
7729-102255-0036.wav           | 7.71     | 2.5075   | 0.3254
7729-102255-0029.wav           | 7.06     | 1.2523   | 0.1774
7729-102255-0019.wav           | 8.93     | 1.2043   | 0.1349
7729-102255-0041.wav           | 12.41    | 1.6769   | 0.1351
7729-102255-0040.wav           | 11.76    | 2.8134   | 0.2392
7729-102255-0008.wav           | 19.07    | 5.8138   | 0.3049
7729-102255-0012.wav           | 4.08     | 0.6923   | 0.1699
7729-102255-0000.wav           | 3.29     | 0.5665   | 0.1725
121-121726-0005.wav            | 3.10     | 1.5596   | 0.5031
121-121726-0002.wav            | 4.41     | 0.7223   | 0.1638
121-121726-0000.wav            | 8.46     | 4.5613   | 0.5392
121-121726-0009.wav            | 7.26     | 1.0637   | 0.1465
121-121726-0013.wav            | 2.49     | 0.4572   | 0.1836
121-121726-0001.wav            | 5.92     | 0.8888   | 0.1500
121-121726-0010.wav            | 9.81     | 1.4338   | 0.1462
121-121726-0004.wav            | 4.02     | 0.8583   | 0.2135
121-121726-0014.wav            | 3.17     | 0.5860   | 0.1851
121-121726-0012.wav            | 4.04     | 0.6989   | 0.1728
121-121726-0011.wav            | 4.04     | 0.6991   | 0.1733
121-121726-0003.wav            | 6.75     | 0.9836   | 0.1456
121-121726-0008.wav            | 4.99     | 0.7071   | 0.1417
121-121726-0006.wav            | 3.90     | 4.2086   | 1.0805
121-121726-0007.wav            | 6.73     | 0.9547   | 0.1419
121-127105-0024.wav            | 14.45    | 1.9976   | 0.1382
121-127105-0006.wav            | 4.72     | 0.7259   | 0.1536
121-127105-0004.wav            | 2.11     | 0.4292   | 0.2034
121-127105-0014.wav            | 2.25     | 0.4454   | 0.1975
121-127105-0031.wav            | 10.77    | 1.4353   | 0.1333
121-127105-0009.wav            | 2.29     | 0.4592   | 0.2005
121-127105-0035.wav            | 14.15    | 2.0114   | 0.1421
121-127105-0018.wav            | 2.77     | 0.4538   | 0.1638
121-127105-0012.wav            | 4.83     | 0.7513   | 0.1556
121-127105-0032.wav            | 3.17     | 0.5841   | 0.1843
121-127105-0002.wav            | 7.50     | 1.1685   | 0.1559
121-127105-0017.wav            | 2.69     | 0.4750   | 0.1762
121-127105-0020.wav            | 14.36    | 1.9144   | 0.1334
121-127105-0027.wav            | 13.87    | 4.4412   | 0.3202
121-127105-0025.wav            | 16.07    | 2.3429   | 0.1458
121-127105-0028.wav            | 6.75     | 1.0941   | 0.1621
121-127105-0023.wav            | 10.91    | 1.4587   | 0.1337
121-127105-0013.wav            | 5.89     | 0.8520   | 0.1445
121-127105-0015.wav            | 2.96     | 0.4841   | 0.1636
121-127105-0010.wav            | 2.85     | 0.4779   | 0.1677
121-127105-0029.wav            | 7.31     | 1.1055   | 0.1512
121-127105-0003.wav            | 7.72     | 1.1275   | 0.1459
121-127105-0026.wav            | 7.53     | 1.0954   | 0.1455
121-127105-0005.wav            | 5.82     | 1.0486   | 0.1802
121-127105-0019.wav            | 3.52     | 0.5941   | 0.1685
121-127105-0034.wav            | 7.41     | 3.9296   | 0.5303
121-127105-0036.wav            | 4.15     | 0.7100   | 0.1711
121-127105-0033.wav            | 2.35     | 0.3380   | 0.1435
121-127105-0030.wav            | 2.17     | 0.4504   | 0.2071
121-127105-0016.wav            | 2.03     | 0.4521   | 0.2227
121-127105-0011.wav            | 5.78     | 4.6128   | 0.7981
121-127105-0022.wav            | 5.08     | 0.8553   | 0.1685
121-127105-0021.wav            | 2.00     | 0.3662   | 0.1831
121-127105-0001.wav            | 5.03     | 0.8417   | 0.1675
121-127105-0008.wav            | 2.76     | 3.5430   | 1.2837
121-127105-0000.wav            | 9.88     | 1.5239   | 0.1543
121-127105-0007.wav            | 5.79     | 0.8174   | 0.1412
121-123859-0000.wav            | 17.39    | 2.3116   | 0.1329
121-123859-0003.wav            | 10.82    | 1.4393   | 0.1330
121-123859-0001.wav            | 25.39    | 3.9933   | 0.1572
121-123859-0002.wav            | 30.04    | 4.0969   | 0.1364
121-123859-0004.wav            | 9.51     | 1.3313   | 0.1401
121-123852-0004.wav            | 16.29    | 2.1828   | 0.1340
121-123852-0003.wav            | 23.50    | 5.2709   | 0.2242
121-123852-0002.wav            | 17.29    | 2.7066   | 0.1566
121-123852-0001.wav            | 1.87     | 0.3452   | 0.1846
121-123852-0000.wav            | 17.70    | 2.2773   | 0.1287
8463-287645-0008.wav           | 3.33     | 0.5817   | 0.1750
8463-287645-0009.wav           | 3.71     | 0.5718   | 0.1541
8463-287645-0013.wav           | 6.67     | 1.3012   | 0.1952
8463-287645-0005.wav           | 15.97    | 2.1374   | 0.1338
8463-287645-0012.wav           | 5.42     | 0.8469   | 0.1561
8463-287645-0014.wav           | 3.02     | 0.4442   | 0.1471
8463-287645-0010.wav           | 4.33     | 0.6993   | 0.1617
8463-287645-0000.wav           | 4.73     | 0.6968   | 0.1473
8463-287645-0002.wav           | 12.92    | 5.3458   | 0.4138
8463-287645-0004.wav           | 6.10     | 0.9134   | 0.1497
8463-287645-0001.wav           | 3.54     | 0.7005   | 0.1976
8463-287645-0006.wav           | 7.71     | 1.0846   | 0.1407
8463-287645-0007.wav           | 21.50    | 2.8319   | 0.1317
8463-287645-0003.wav           | 7.91     | 1.0866   | 0.1375
8463-287645-0011.wav           | 6.38     | 0.9492   | 0.1488
8463-294825-0002.wav           | 10.56    | 1.4361   | 0.1360
8463-294825-0010.wav           | 4.58     | 0.7015   | 0.1532
8463-294825-0014.wav           | 2.42     | 0.4596   | 0.1903
8463-294825-0011.wav           | 2.18     | 0.4398   | 0.2017
8463-294825-0015.wav           | 3.25     | 0.5888   | 0.1812
8463-294825-0007.wav           | 21.05    | 2.9905   | 0.1421
8463-294825-0006.wav           | 11.13    | 1.5677   | 0.1408
8463-294825-0008.wav           | 3.98     | 0.6109   | 0.1535
8463-294825-0003.wav           | 9.94     | 1.3139   | 0.1323
8463-294825-0005.wav           | 7.70     | 1.0470   | 0.1360
8463-294825-0018.wav           | 2.94     | 0.4506   | 0.1535
