nohup: ignoring input
-----------------------------------------------------------------
模式: 并行处理 (Threads=5)
正在加载模型 medium.en ...
模型加载完成。
-----------------------------------------------------------------
File ID                   | ProcTime(s)  | Audio(s)   | RTF     
1995-1826-0011            | 4.4475       | 8.94       | 0.4975  
1995-1826-0013            | 4.4846       | 8.77       | 0.5114  
1995-1826-0015            | 1.9961       | 3.55       | 0.5623  
1995-1826-0016            | 2.9801       | 5.90       | 0.5051  
1995-1826-0017            | 2.9514       | 6.14       | 0.4803  
1995-1826-0018            | 2.4374       | 5.01       | 0.4865  
1995-1826-0019            | 2.4810       | 5.25       | 0.4726  
1995-1826-0020            | 2.9787       | 6.12       | 0.4867  
1995-1826-0022            | 2.5038       | 4.75       | 0.5277  
1995-1826-0025            | 1.4834       | 3.29       | 0.4502  
1995-1826-0024            | 2.4654       | 5.09       | 0.4839  
1995-1826-0023            | 4.2261       | 8.14       | 0.5192  
1995-1826-0021            | 6.1793       | 11.41      | 0.5416  
3570-5696-0002            | 3.9440       | 7.51       | 0.5252  
3570-5696-0000            | 6.1952       | 11.41      | 0.5427  
1995-1826-0026            | 8.3136       | 15.45      | 0.5381  
3570-5696-0004            | 2.6372       | 4.70       | 0.5611  
3570-5696-0001            | 9.9104       | 16.73      | 0.5922  
3570-5696-0006            | 3.1153       | 4.16       | 0.7489  
3570-5696-0007            | 5.6859       | 9.50       | 0.5985  
3570-5696-0008            | 3.5671       | 7.26       | 0.4913  
3570-5696-0005            | 7.7711       | 13.03      | 0.5966  
3570-5696-0009            | 4.6007       | 8.86       | 0.5193  
3570-5696-0003            | 13.9459      | 25.11      | 0.5553  
3570-5694-0001            | 3.1365       | 5.67       | 0.5527  
3570-5696-0010            | 4.1630       | 7.57       | 0.5499  
3570-5694-0004            | 5.0054       | 5.33       | 0.9391  
3570-5694-0000            | 8.5906       | 12.09      | 0.7108  
3570-5694-0002            | 7.5399       | 10.62      | 0.7103  
3570-5694-0005            | 6.4628       | 8.40       | 0.7689  
3570-5694-0007            | 5.0383       | 10.54      | 0.4778  
3570-5694-0008            | 4.9990       | 9.49       | 0.5265  
3570-5694-0003            | 11.9778      | 19.02      | 0.6296  
3570-5694-0006            | 6.9883       | 14.51      | 0.4818  
3570-5694-0012            | 1.5104       | 3.21       | 0.4713  
3570-5694-0009            | 6.4796       | 12.61      | 0.5140  
3570-5694-0013            | 3.0448       | 5.61       | 0.5427  
3570-5694-0011            | 5.5552       | 11.03      | 0.5036  
3570-5694-0010            | 6.5361       | 13.01      | 0.5026  
3570-5694-0015            | 4.5524       | 8.44       | 0.5397  
3570-5694-0014            | 5.5333       | 11.26      | 0.4916  
3570-5694-0019            | 2.0066       | 3.75       | 0.5344  
3570-5694-0017            | 4.0689       | 8.34       | 0.4882  
3570-5694-0018            | 4.0170       | 7.82       | 0.5140  
3570-5694-0016            | 7.2002       | 14.15      | 0.5088  
3570-5694-0022            | 2.1755       | 4.29       | 0.5065  
3570-5695-0000            | 2.7671       | 4.83       | 0.5729  
3570-5694-0021            | 5.8142       | 10.55      | 0.5508  
3570-5694-0020            | 7.2975       | 14.04      | 0.5199  
3570-5695-0003            | 2.5210       | 5.36       | 0.4708  
3570-5695-0002            | 4.0752       | 7.80       | 0.5221  
3570-5695-0001            | 7.6872       | 14.71      | 0.5224  
3570-5695-0006            | 4.0724       | 7.47       | 0.5452  
3570-5695-0004            | 5.5903       | 10.60      | 0.5274  
3570-5695-0007            | 5.1132       | 9.76       | 0.5242  
3570-5695-0009            | 2.5171       | 5.03       | 0.5009  
3570-5695-0008            | 3.5289       | 6.84       | 0.5155  
3570-5695-0010            | 2.4997       | 4.67       | 0.5358  
3570-5695-0013            | 2.5865       | 4.64       | 0.5574  
3570-5695-0011            | 4.0931       | 8.26       | 0.4955  
3570-5695-0005            | 10.2015      | 20.03      | 0.5093  
3570-5695-0014            | 6.8734       | 10.54      | 0.6521  
3570-5695-0015            | 5.2859       | 7.95       | 0.6649  
3570-5695-0012            | 9.9701       | 14.76      | 0.6755  
5639-40744-0001           | 9.4336       | 12.44      | 0.7583  
5639-40744-0002           | 6.1623       | 8.91       | 0.6916  
5639-40744-0000           | 11.4504      | 15.77      | 0.7261  
5639-40744-0005           | 2.5019       | 5.64       | 0.4432  
5639-40744-0008           | 0.9972       | 2.21       | 0.4502  
5639-40744-0004           | 7.0807       | 12.47      | 0.5676  
5639-40744-0009           | 1.0273       | 2.38       | 0.4325  
5639-40744-0007           | 3.0062       | 5.83       | 0.5161  
5639-40744-0006           | 4.0000       | 8.04       | 0.4972  
5639-40744-0011           | 0.9825       | 2.67       | 0.3687  
5639-40744-0010           | 2.0065       | 4.12       | 0.4870  
5639-40744-0012           | 3.9838       | 8.60       | 0.4635  
5639-40744-0013           | 3.4858       | 6.87       | 0.5078  
5639-40744-0014           | 4.0445       | 7.72       | 0.5239  
5639-40744-0003           | 15.2018      | 27.12      | 0.5605  
5639-40744-0017           | 2.7388       | 5.88       | 0.4658  
5639-40744-0015           | 5.7169       | 11.02      | 0.5188  
5639-40744-0016           | 5.1832       | 9.49       | 0.5462  
5639-40744-0020           | 5.5747       | 9.82       | 0.5677  
5639-40744-0019           | 6.7809       | 12.06      | 0.5623  
5639-40744-0018           | 8.7955       | 15.41      | 0.5706  
5639-40744-0021           | 6.6180       | 10.98      | 0.6027  
5639-40744-0024           | 7.4193       | 8.85       | 0.8388  
5639-40744-0022           | 11.0544      | 13.64      | 0.8101  
5639-40744-0025           | 7.4293       | 8.79       | 0.8457  
5639-40744-0023           | 11.0684      | 13.92      | 0.7951  
5639-40744-0026           | 10.5150      | 14.50      | 0.7252  
5639-40744-0029           | 4.0750       | 7.30       | 0.5578  
5639-40744-0028           | 6.5726       | 12.25      | 0.5365  
5639-40744-0033           | 7.6822       | 9.15       | 0.8396  
5639-40744-0027           | 16.2685      | 23.26      | 0.6994  
5639-40744-0030           | 13.1575      | 22.29      | 0.5904  
5639-40744-0032           | 12.1631      | 17.43      | 0.6978  
5639-40744-0034           | 8.2097       | 13.05      | 0.6289  
5639-40744-0031           | 18.8474      | 28.42      | 0.6632  
5639-40744-0036           | 6.6784       | 11.54      | 0.5790  
5639-40744-0037           | 6.6943       | 11.45      | 0.5847  
5639-40744-0035           | 10.8474      | 17.52      | 0.6191  
7176-88083-0000           | 2.9469       | 5.70       | 0.5174  
5639-40744-0040           | 7.1038       | 12.51      | 0.5679  
5639-40744-0039           | 7.6129       | 14.38      | 0.5296  
5639-40744-0038           | 8.1086       | 13.80      | 0.5876  
5639-40744-0041           | 9.5634       | 17.20      | 0.5560  
7176-88083-0002           | 3.9190       | 7.51       | 0.5218  
7176-88083-0003           | 3.9109       | 7.60       | 0.5146  
7176-88083-0004           | 3.9022       | 7.50       | 0.5203  
7176-88083-0005           | 2.4191       | 4.70       | 0.5147  
7176-88083-0006           | 1.9902       | 4.29       | 0.4634  
7176-88083-0008           | 2.2104       | 3.28       | 0.6739  
7176-88083-0009           | 2.2294       | 4.04       | 0.5511  
7176-88083-0001           | 8.6110       | 16.57      | 0.5195  
7176-88083-0010           | 3.2120       | 6.74       | 0.4766  
7176-88083-0012           | 2.4791       | 5.04       | 0.4914  
7176-88083-0007           | 7.2144       | 14.30      | 0.5045  
7176-88083-0011           | 5.0121       | 10.06      | 0.4982  
7176-88083-0014           | 2.4918       | 4.67       | 0.5336  
7176-88083-0015           | 1.5091       | 2.33       | 0.6463  
7176-88083-0016           | 1.9747       | 3.92       | 0.5038  
7176-88083-0017           | 1.9621       | 3.66       | 0.5361  
7176-88083-0019           | 2.9869       | 5.81       | 0.5141  
7176-88083-0013           | 7.5279       | 15.00      | 0.5019  
7176-88083-0020           | 3.0505       | 5.42       | 0.5633  
7176-88083-0018           | 5.5520       | 10.45      | 0.5313  
7176-88083-0021           | 7.1680       | 12.61      | 0.5687  
7176-88083-0022           | 6.1663       | 9.48       | 0.6501  
7176-88083-0024           | 5.0751       | 8.20       | 0.6193  
7176-88083-0023           | 6.1042       | 9.64       | 0.6329  
7176-88083-0025           | 5.0664       | 7.38       | 0.6865  
7176-88083-0027           | 1.4595       | 2.13       | 0.6852  
7176-88083-0026           | 2.9585       | 5.53       | 0.5350  
7176-92135-0002           | 1.9802       | 3.42       | 0.5798  
7176-92135-0003           | 1.9898       | 3.96       | 0.5031  
7176-92135-0004           | 0.9848       | 2.42       | 0.4061  
7176-92135-0001           | 3.9584       | 7.56       | 0.5236  
7176-92135-0007           | 3.0814       | 3.27       | 0.9409  
7176-92135-0005           | 4.0570       | 5.47       | 0.7417  
7176-92135-0010           | 1.0373       | 2.16       | 0.4802  
7176-92135-0006           | 5.1008       | 7.79       | 0.6544  
7176-92135-0008           | 3.5978       | 4.43       | 0.8121  
7176-92135-0000           | 8.7430       | 14.44      | 0.6055  
7176-92135-0009           | 2.7148       | 4.38       | 0.6198  
7176-92135-0011           | 1.6941       | 2.88       | 0.5872  
7176-92135-0013           | 1.7075       | 3.15       | 0.5421  
7176-92135-0015           | 3.5499       | 6.75       | 0.5255  
7176-92135-0017           | 3.5636       | 7.17       | 0.4970  
7176-92135-0016           | 4.0585       | 7.54       | 0.5379  
7176-92135-0019           | 1.4813       | 2.40       | 0.6159  
7176-92135-0021           | 1.5797       | 2.56       | 0.6159  
7176-92135-0012           | 8.8285       | 16.40      | 0.5383  
7176-92135-0014           | 8.1618       | 16.02      | 0.5095  
7176-92135-0018           | 4.5810       | 8.94       | 0.5124  
7176-92135-0020           | 3.5661       | 7.17       | 0.4977  
7176-92135-0026           | 1.5241       | 2.95       | 0.5166  
7176-92135-0024           | 1.9960       | 4.10       | 0.4868  
7176-92135-0023           | 2.9883       | 6.21       | 0.4808  
7176-92135-0027           | 1.4746       | 2.83       | 0.5201  
7176-92135-0022           | 3.9960       | 8.23       | 0.4855  
7176-92135-0028           | 1.9849       | 3.35       | 0.5934  
7176-92135-0030           | 1.0151       | 2.23       | 0.4542  
7176-92135-0029           | 1.5071       | 2.98       | 0.5049  
7176-92135-0032           | 1.5289       | 3.31       | 0.4612  
7176-92135-0033           | 1.5112       | 2.23       | 0.6777  
7176-92135-0034           | 2.5148       | 4.46       | 0.5632  
7176-92135-0035           | 1.4962       | 3.38       | 0.4427  
7176-92135-0025           | 8.0324       | 15.74      | 0.5103  
7176-92135-0037           | 1.5058       | 2.86       | 0.5265  
7176-92135-0031           | 5.0554       | 9.64       | 0.5244  
7176-92135-0036           | 3.5185       | 6.47       | 0.5438  
7176-92135-0039           | 1.5352       | 3.12       | 0.4913  
7176-92135-0041           | 2.5257       | 4.94       | 0.5113  
7176-92135-0038           | 4.5702       | 9.21       | 0.4965  
7176-92135-0042           | 4.0421       | 7.27       | 0.5560  
7176-92135-0044           | 2.5018       | 5.17       | 0.4834  
7176-92135-0040           | 6.3077       | 10.35      | 0.6097  
7176-92135-0045           | 3.2523       | 5.23       | 0.6218  
7729-102255-0000          | 2.2365       | 3.29       | 0.6808  
7729-102255-0001          | 2.8636       | 3.45       | 0.8300  
7176-92135-0043           | 7.3998       | 13.28      | 0.5572  
7729-102255-0002          | 5.6905       | 8.30       | 0.6856  
7729-102255-0005          | 4.0693       | 5.18       | 0.7856  
7729-102255-0007          | 6.8363       | 11.53      | 0.5929  
7729-102255-0003          | 12.5098      | 19.81      | 0.6316  
7729-102255-0006          | 10.8581      | 17.00      | 0.6385  
7729-102255-0004          | 12.5014      | 20.16      | 0.6203  
7729-102255-0012          | 1.9564       | 4.08       | 0.4801  
7729-102255-0008          | 10.3158      | 19.07      | 0.5411  
7729-102255-0013          | 1.5618       | 2.67       | 0.5839  
7729-102255-0010          | 4.4787       | 8.54       | 0.5244  
7729-102255-0014          | 4.0532       | 5.29       | 0.7655  
7729-102255-0009          | 11.5221      | 18.56      | 0.6208  
7729-102255-0016          | 8.0002       | 11.61      | 0.6891  
7729-102255-0011          | 12.0057      | 20.36      | 0.5898  
7729-102255-0015          | 9.4905       | 14.99      | 0.6331  
7729-102255-0017          | 9.5066       | 15.11      | 0.6292  
7729-102255-0019          | 6.0738       | 8.93       | 0.6802  
7729-102255-0018          | 7.5062       | 11.35      | 0.6613  
7729-102255-0021          | 5.5322       | 7.93       | 0.6976  
7729-102255-0020          | 6.9986       | 10.97      | 0.6377  
7729-102255-0023          | 2.9391       | 5.50       | 0.5344  
7729-102255-0025          | 2.9441       | 5.49       | 0.5368  
7729-102255-0022          | 6.3474       | 11.79      | 0.5381  
7729-102255-0024          | 4.8593       | 10.23      | 0.4750  
7729-102255-0027          | 2.8604       | 5.91       | 0.4844  
7729-102255-0028          | 4.3080       | 9.60       | 0.4487  
7729-102255-0029          | 3.3662       | 7.06       | 0.4768  
7729-102255-0026          | 7.2755       | 15.06      | 0.4831  
7729-102255-0030          | 3.3500       | 7.25       | 0.4621  
7729-102255-0031          | 3.3683       | 6.75       | 0.4990  
7729-102255-0034          | 1.4444       | 2.71       | 0.5330  
7729-102255-0035          | 2.8758       | 5.62       | 0.5113  
7729-102255-0033          | 3.3602       | 6.78       | 0.4960  
7729-102255-0036          | 3.8294       | 7.71       | 0.4970  
7729-102255-0039          | 3.4114       | 6.82       | 0.5006  
7729-102255-0037          | 5.3158       | 11.02      | 0.4824  
7729-102255-0038          | 3.8848       | 7.92       | 0.4905  
7729-102255-0032          | 9.7121       | 20.28      | 0.4789  
7729-102255-0040          | 5.8951       | 11.76      | 0.5013  
7729-102255-0042          | 4.9086       | 9.22       | 0.5321  
7729-102255-0043          | 5.4477       | 11.04      | 0.4937  
7729-102255-0041          | 6.4311       | 12.41      | 0.5180  
7729-102255-0045          | 3.4299       | 6.80       | 0.5040  
121-121726-0002           | 2.9765       | 4.41       | 0.6749  
121-121726-0001           | 3.8803       | 5.92       | 0.6549  
121-121726-0000           | 4.8629       | 8.46       | 0.5748  
7729-102255-0044          | 10.1252      | 17.11      | 0.5919  
121-121726-0005           | 2.2834       | 3.10       | 0.7366  
121-121726-0004           | 2.7466       | 4.02       | 0.6832  
121-121726-0003           | 4.8804       | 6.75       | 0.7225  
121-121726-0006           | 2.6092       | 3.90       | 0.6699  
121-121726-0008           | 3.0566       | 4.99       | 0.6125  
121-121726-0007           | 3.5235       | 6.73       | 0.5235  
7729-102255-0046          | 12.1652      | 19.95      | 0.6099  
121-121726-0011           | 1.9207       | 4.04       | 0.4760  
121-121726-0013           | 0.9718       | 2.49       | 0.3903  
121-121726-0012           | 1.9192       | 4.04       | 0.4745  
121-121726-0009           | 3.3006       | 7.26       | 0.4546  
121-121726-0014           | 1.4568       | 3.17       | 0.4603  
121-121726-0010           | 5.8996       | 9.81       | 0.6014  
121-127105-0001           | 3.5772       | 5.03       | 0.7119  
121-127105-0004           | 1.0119       | 2.11       | 0.4796  
121-127105-0002           | 5.0763       | 7.50       | 0.6773  
121-127105-0000           | 6.0417       | 9.88       | 0.6118  
121-127105-0003           | 5.1542       | 7.72       | 0.6672  
121-127105-0006           | 2.5343       | 4.72       | 0.5364  
121-127105-0005           | 3.0308       | 5.82       | 0.5208  
121-127105-0009           | 1.0078       | 2.29       | 0.4401  
121-127105-0008           | 1.5842       | 2.76       | 0.5740  
121-127105-0010           | 1.5399       | 2.85       | 0.5403  
121-127105-0007           | 3.0926       | 5.79       | 0.5341  
121-127105-0014           | 2.1258       | 2.25       | 0.9427  
121-127105-0011           | 4.1525       | 5.78       | 0.7184  
121-127105-0015           | 2.5943       | 2.96       | 0.8765  
121-127105-0012           | 3.6097       | 4.83       | 0.7473  
121-127105-0016           | 0.9830       | 2.03       | 0.4842  
121-127105-0013           | 4.1201       | 5.89       | 0.6989  
121-127105-0017           | 1.5101       | 2.69       | 0.5603  
121-127105-0018           | 1.5223       | 2.77       | 0.5496  
121-127105-0019           | 1.5325       | 3.52       | 0.4347  
121-127105-0021           | 1.0096       | 2.00       | 0.5048  
121-127105-0022           | 2.4517       | 5.08       | 0.4831  
121-127105-0023           | 5.4294       | 10.91      | 0.4977  
121-127105-0020           | 7.4874       | 14.36      | 0.5216  
121-127105-0026           | 4.0167       | 7.53       | 0.5334  
121-127105-0024           | 7.4460       | 14.45      | 0.5153  
121-127105-0025           | 7.9783       | 16.07      | 0.4966  
121-127105-0030           | 1.0357       | 2.17       | 0.4762  
121-127105-0028           | 3.4777       | 6.75       | 0.5152  
121-127105-0032           | 1.4462       | 3.17       | 0.4562  
121-127105-0029           | 5.0813       | 7.31       | 0.6951  
121-127105-0033           | 2.0925       | 2.35       | 0.8885  
121-127105-0027           | 8.8918       | 13.87      | 0.6411  
121-127105-0036           | 2.7758       | 4.15       | 0.6689  
121-127105-0031           | 7.3178       | 10.77      | 0.6798  
121-127105-0034           | 5.8306       | 7.41       | 0.7869  
121-127105-0035           | 8.6925       | 14.15      | 0.6143  
121-123859-0003           | 5.9203       | 10.82      | 0.5469  
121-123859-0000           | 9.3103       | 17.39      | 0.5354  
121-123859-0004           | 4.3310       | 9.51       | 0.4557  
121-123852-0001           | 0.9267       | 1.87       | 0.4956  
121-123859-0001           | 12.1343      | 25.39      | 0.4778  
121-123852-0000           | 9.0433       | 17.70      | 0.5111  
121-123859-0002           | 15.9309      | 30.04      | 0.5303  
8463-287645-0001          | 1.5561       | 3.54       | 0.4389  
8463-287645-0000          | 2.5287       | 4.73       | 0.5346  
121-123852-0002           | 9.1791       | 17.29      | 0.5310  
121-123852-0004           | 8.8259       | 16.29      | 0.5418  
121-123852-0003           | 11.6813      | 23.50      | 0.4970  
8463-287645-0004          | 2.9813       | 6.10       | 0.4887  
8463-287645-0003          | 3.9534       | 7.91       | 0.5001  
8463-287645-0008          | 1.4715       | 3.33       | 0.4426  
8463-287645-0002          | 6.4218       | 12.92      | 0.4970  
8463-287645-0006          | 3.9105       | 7.71       | 0.5072  
8463-287645-0009          | 1.9396       | 3.71       | 0.5228  
8463-287645-0010          | 1.9252       | 4.33       | 0.4451  
8463-287645-0005          | 7.3255       | 15.97      | 0.4586  
8463-287645-0012          | 2.4679       | 5.42       | 0.4549  
8463-287645-0011          | 3.4260       | 6.38       | 0.5370  
8463-287645-0014          | 1.4206       | 3.02       | 0.4704  
8463-294825-0000          | 1.4224       | 2.69       | 0.5278  
8463-287645-0013          | 3.4106       | 6.67       | 0.5117  
8463-294825-0004          | 1.8798       | 3.68       | 0.5108  
8463-287645-0007          | 11.4611      | 21.50      | 0.5331  
8463-294825-0001          | 4.6006       | 7.80       | 0.5894  
8463-294825-0003          | 5.5633       | 9.94       | 0.5600  
8463-294825-0002          | 6.0465       | 10.56      | 0.5726  
8463-294825-0005          | 4.6091       | 7.70       | 0.5986  
8463-294825-0008          | 1.9074       | 3.98       | 0.4793  
8463-294825-0011          | 0.9496       | 2.18       | 0.4356  
8463-294825-0006          | 5.2136       | 11.13      | 0.4682  
8463-294825-0010          | 2.3660       | 4.58       | 0.5166  
8463-294825-0014          | 0.9766       | 2.42       | 0.4044  
8463-294825-0012          | 2.8493       | 5.97       | 0.4777  
8463-294825-0015          | 1.4106       | 3.25       | 0.4340  
8463-294825-0017          | 0.9466       | 2.35       | 0.4028  
8463-294825-0007          | 9.4678       | 21.05      | 0.4498  
8463-294825-0016          | 1.8544       | 4.47       | 0.4144  
8463-294825-0018          | 1.3642       | 2.94       | 0.4648  
8463-294825-0019          | 1.3895       | 3.39       | 0.4099  
8463-294828-0000          | 1.3817       | 3.62       | 0.3822  
8463-294825-0009          | 9.4309       | 20.00      | 0.4714  
8463-294828-0004          | 0.9782       | 2.34       | 0.4181  
8463-294825-0013          | 8.5223       | 17.64      | 0.4831  
8463-294828-0002          | 2.8869       | 6.19       | 0.4664  
8463-294828-0005          | 1.4265       | 2.44       | 0.5846  
8463-294828-0001          | 4.2770       | 9.19       | 0.4654  
8463-294828-0003          | 4.3266       | 9.34       | 0.4632  
8463-294828-0008          | 1.4266       | 2.65       | 0.5383  
8463-294828-0009          | 1.9371       | 4.17       | 0.4645  
8463-294828-0006          | 3.3911       | 7.32       | 0.4633  
8463-294828-0011          | 1.9571       | 3.91       | 0.5005  
8463-294828-0012          | 2.4441       | 4.91       | 0.4983  
8463-294828-0010          | 3.9043       | 8.34       | 0.4681  
8463-294828-0007          | 6.3024       | 12.96      | 0.4863  
8463-294828-0014          | 2.8888       | 5.72       | 0.5046  
8463-294828-0013          | 3.3693       | 7.20       | 0.4680  
8463-294828-0016          | 1.4309       | 3.29       | 0.4343  
8463-294828-0015          | 2.3997       | 4.88       | 0.4917  
8463-294828-0018          | 1.4853       | 2.94       | 0.5044  
