nohup: ignoring input
----------------------------------------------------------------------
Sherpa-onnx 并行 TTFT 测试
并发数 (Threads): 49
计算公式: TTFT = (Chunks * 0.1s) + Parse_Time
模型加载完成。
----------------------------------------------------------------------
正在扫描文件列表: /opt/Audio_Datasets/LibriSpeech_WAV/test-clean ...
共找到 2620 个音频文件。开始并行处理...
文件名                                      | 分片数    | 计算耗时(s)      | TTFT(s)   
7021-79759-0002.wav                      | 11     | 0.2436       | 1.3436    
7021-79759-0004.wav                      | 11     | 0.3451       | 1.4451    
3570-5694-0000.wav                       | 11     | 0.3751       | 1.4751    
5639-40744-0028.wav                      | 8      | 0.2555       | 1.0555    
3570-5694-0001.wav                       | 11     | 0.3297       | 1.4297    
3570-5695-0014.wav                       | 8      | 0.2999       | 1.0999    
3570-5695-0004.wav                       | 8      | 0.3592       | 1.1592    
3570-5694-0008.wav                       | 11     | 0.2803       | 1.3803    
5639-40744-0036.wav                      | 8      | 0.2155       | 1.0155    
3570-5694-0002.wav                       | 11     | 0.2492       | 1.3492    
3570-5695-0005.wav                       | 11     | 0.3169       | 1.4169    
7021-85628-0019.wav                      | 11     | 0.3680       | 1.4680    
3570-5694-0004.wav                       | 11     | 0.3223       | 1.4223    
3570-5695-0003.wav                       | 8      | 0.4481       | 1.2481    
5639-40744-0018.wav                      | 11     | 0.3394       | 1.4394    
7021-85628-0003.wav                      | 14     | 0.3607       | 1.7607    
3570-5695-0013.wav                       | 11     | 0.2207       | 1.3207    
3570-5695-0000.wav                       | 11     | 0.2321       | 1.3321    
3570-5695-0009.wav                       | 11     | 0.3298       | 1.4298    
5639-40744-0017.wav                      | 11     | 0.2407       | 1.3407    
5639-40744-0032.wav                      | 8      | 0.2745       | 1.0745    
5639-40744-0002.wav                      | 8      | 0.3641       | 1.1641    
3570-5695-0001.wav                       | 11     | 0.4370       | 1.5370    
5639-40744-0040.wav                      | 8      | 0.2714       | 1.0714    
5639-40744-0014.wav                      | 8      | 0.2003       | 1.0003    
5639-40744-0034.wav                      | 11     | 0.3384       | 1.4384    
5639-40744-0005.wav                      | 11     | 0.2722       | 1.3722    
5639-40744-0021.wav                      | 11     | 0.2534       | 1.3534    
5639-40744-0035.wav                      | 8      | 0.2432       | 1.0432    
5639-40744-0029.wav                      | 8      | 0.2409       | 1.0409    
5639-40744-0003.wav                      | 11     | 0.2504       | 1.3504    
5639-40744-0011.wav                      | 8      | 0.1955       | 0.9955    
3570-5695-0006.wav                       | 11     | 0.4527       | 1.5527    
5639-40744-0016.wav                      | 11     | 0.2868       | 1.3868    
5639-40744-0012.wav                      | 8      | 0.2358       | 1.0358    
5639-40744-0015.wav                      | 11     | 0.2460       | 1.3460    
5639-40744-0004.wav                      | 11     | 0.3370       | 1.4370    
5639-40744-0019.wav                      | 11     | 0.2410       | 1.3410    
5639-40744-0001.wav                      | 11     | 0.3560       | 1.4560    
5639-40744-0010.wav                      | 8      | 0.3172       | 1.1172    
5639-40744-0033.wav                      | 11     | 0.4689       | 1.5689    
5639-40744-0030.wav                      | 11     | 0.2634       | 1.3634    
7176-88083-0021.wav                      | 8      | 0.3211       | 1.1211    
5639-40744-0007.wav                      | 11     | 0.3677       | 1.4677    
5639-40744-0039.wav                      | 8      | 0.2965       | 1.0965    
5639-40744-0041.wav                      | 11     | 0.2503       | 1.3503    
7176-88083-0009.wav                      | 8      | 0.3422       | 1.1422    
5639-40744-0000.wav                      | 14     | 0.2235       | 1.6235    
5639-40744-0024.wav                      | 11     | 0.2636       | 1.3636    
7176-88083-0019.wav                      | 8      | 0.2473       | 1.0473    
5639-40744-0022.wav                      | 11     | 0.3702       | 1.4702    
5639-40744-0025.wav                      | 11     | 0.2516       | 1.3516    
7176-88083-0013.wav                      | 8      | 0.3649       | 1.1649    
7176-88083-0008.wav                      | 11     | 0.2774       | 1.3774    
5639-40744-0026.wav                      | 11     | 0.2507       | 1.3507    
5639-40744-0037.wav                      | 11     | 0.2022       | 1.3022    
7176-88083-0017.wav                      | 5      | 0.2818       | 0.7818    
5639-40744-0008.wav                      | 11     | 0.3290       | 1.4290    
5639-40744-0031.wav                      | 11     | 0.2602       | 1.3602    
7176-88083-0012.wav                      | 8      | 0.2254       | 1.0254    
7176-88083-0011.wav                      | 8      | 0.2273       | 1.0273    
5639-40744-0013.wav                      | 11     | 0.3410       | 1.4410    
5639-40744-0023.wav                      | 11     | 0.2373       | 1.3373    
7176-88083-0002.wav                      | 8      | 0.2188       | 1.0188    
7176-88083-0003.wav                      | 8      | 0.3220       | 1.1220    
7176-88083-0010.wav                      | 8      | 0.2167       | 1.0167    
7176-88083-0018.wav                      | 8      | 0.3082       | 1.1082    
5639-40744-0038.wav                      | 14     | 0.2435       | 1.6435    
7176-88083-0005.wav                      | 11     | 0.2391       | 1.3391    
7176-88083-0023.wav                      | 8      | 0.2713       | 1.0713    
5639-40744-0006.wav                      | 14     | 0.1955       | 1.5955    
5639-40744-0027.wav                      | 14     | 0.2601       | 1.6601    
7176-88083-0026.wav                      | 11     | 0.2304       | 1.3304    
7176-88083-0006.wav                      | 8      | 0.2259       | 1.0259    
7176-88083-0007.wav                      | 8      | 0.2751       | 1.0751    
5639-40744-0020.wav                      | 14     | 0.3191       | 1.7191    
7176-88083-0000.wav                      | 11     | 0.2431       | 1.3431    
7176-88083-0014.wav                      | 11     | 0.3207       | 1.4207    
7176-88083-0024.wav                      | 11     | 0.2995       | 1.3995    
7176-88083-0001.wav                      | 11     | 0.2988       | 1.3988    
7176-92135-0005.wav                      | 8      | 0.2938       | 1.0938    
7176-88083-0022.wav                      | 8      | 0.3636       | 1.1636    
7176-92135-0033.wav                      | 8      | 0.2910       | 1.0910    
7176-88083-0020.wav                      | 11     | 0.3336       | 1.4336    
7176-88083-0004.wav                      | 11     | 0.3069       | 1.4069    
7176-92135-0000.wav                      | 8      | 0.3076       | 1.1076    
7176-92135-0034.wav                      | 8      | 0.3073       | 1.1073    
7176-88083-0016.wav                      | 11     | 0.2835       | 1.3835    
7176-92135-0010.wav                      | 8      | 0.2687       | 1.0687    
7176-92135-0029.wav                      | 8      | 0.2901       | 1.0901    
7176-92135-0040.wav                      | 11     | 0.2803       | 1.3803    
7176-92135-0019.wav                      | 5      | 0.3586       | 0.8586    
7176-88083-0027.wav                      | 11     | 0.3519       | 1.4519    
7176-92135-0024.wav                      | 11     | 0.1509       | 1.2509    
7176-88083-0025.wav                      | 11     | 0.2846       | 1.3846    
7176-92135-0031.wav                      | 11     | 0.1278       | 1.2278    
7176-92135-0027.wav                      | 11     | 0.2123       | 1.3123    
7176-92135-0025.wav                      | 8      | 0.3980       | 1.1980    
7176-92135-0023.wav                      | 8      | 0.1690       | 0.9690    
7176-92135-0004.wav                      | 8      | 0.3109       | 1.1109    
7176-92135-0043.wav                      | 8      | 0.2994       | 1.0994    
7176-92135-0028.wav                      | 11     | 0.2685       | 1.3685    
7176-92135-0002.wav                      | 11     | 0.3678       | 1.4678    
7176-92135-0009.wav                      | 8      | 0.2830       | 1.0830    
7176-88083-0015.wav                      | 11     | 0.5108       | 1.6108    
7176-92135-0036.wav                      | 11     | 0.2633       | 1.3633    
7176-92135-0011.wav                      | 8      | 0.2244       | 1.0244    
7176-92135-0001.wav                      | 11     | 0.3815       | 1.4815    
7176-92135-0007.wav                      | 11     | 0.3569       | 1.4569    
7176-92135-0016.wav                      | 8      | 0.2571       | 1.0571    
7176-92135-0021.wav                      | 11     | 0.3615       | 1.4615    
7176-92135-0006.wav                      | 8      | 0.3480       | 1.1480    
7176-92135-0018.wav                      | 11     | 0.2516       | 1.3516    
7176-92135-0035.wav                      | 11     | 0.3572       | 1.4572    
7176-92135-0037.wav                      | 11     | 0.2959       | 1.3959    
7176-92135-0042.wav                      | 11     | 0.3127       | 1.4127    
7176-92135-0022.wav                      | 11     | 0.2688       | 1.3688    
7176-92135-0044.wav                      | 8      | 0.2712       | 1.0712    
7176-92135-0012.wav                      | 8      | 0.3244       | 1.1244    
7176-92135-0038.wav                      | 8      | 0.3770       | 1.1770    
7729-102255-0043.wav                     | 8      | 0.3255       | 1.1255    
7176-92135-0020.wav                      | 11     | 0.3200       | 1.4200    
7176-92135-0014.wav                      | 8      | 0.3880       | 1.1880    
7729-102255-0021.wav                     | 8      | 0.3023       | 1.1023    
7176-92135-0015.wav                      | 11     | 0.3179       | 1.4179    
7176-92135-0008.wav                      | 11     | 0.2540       | 1.3540    
7729-102255-0045.wav                     | 8      | 0.2290       | 1.0290    
7176-92135-0039.wav                      | 11     | 0.2345       | 1.3345    
7176-92135-0013.wav                      | 8      | 0.2969       | 1.0969    
7176-92135-0017.wav                      | 11     | 0.3277       | 1.4277    
7729-102255-0016.wav                     | 8      | 0.1513       | 0.9513    
7176-92135-0030.wav                      | 14     | 0.2879       | 1.6879    
7176-92135-0026.wav                      | 14     | 0.4032       | 1.8032    
7176-92135-0041.wav                      | 8      | 0.3273       | 1.1273    
7729-102255-0013.wav                     | 8      | 0.2688       | 1.0688    
7729-102255-0007.wav                     | 11     | 0.2118       | 1.3118    
7729-102255-0030.wav                     | 11     | 0.2808       | 1.3808    
7729-102255-0034.wav                     | 8      | 0.2124       | 1.0124    
7176-92135-0032.wav                      | 11     | 0.4184       | 1.5184    
7729-102255-0044.wav                     | 11     | 0.1858       | 1.2858    
7729-102255-0010.wav                     | 8      | 0.3557       | 1.1557    
7176-92135-0003.wav                      | 11     | 0.3310       | 1.4310    
7729-102255-0035.wav                     | 8      | 0.2877       | 1.0877    
7729-102255-0039.wav                     | 11     | 0.2422       | 1.3422    
7729-102255-0024.wav                     | 8      | 0.2184       | 1.0184    
7729-102255-0020.wav                     | 11     | 0.2146       | 1.3146    
7729-102255-0006.wav                     | 11     | 0.2505       | 1.3505    
7729-102255-0004.wav                     | 8      | 0.2294       | 1.0294    
7729-102255-0032.wav                     | 8      | 0.2923       | 1.0923    
7729-102255-0001.wav                     | 8      | 0.2342       | 1.0342    
7729-102255-0031.wav                     | 8      | 0.3080       | 1.1080    
7729-102255-0025.wav                     | 11     | 0.2868       | 1.3868    
7729-102255-0036.wav                     | 8      | 0.1802       | 0.9802    
7729-102255-0005.wav                     | 8      | 0.3159       | 1.1159    
7176-92135-0045.wav                      | 11     | 0.3164       | 1.4164    
7729-102255-0014.wav                     | 8      | 0.2098       | 1.0098    
7729-102255-0033.wav                     | 11     | 0.1523       | 1.2523    
7729-102255-0022.wav                     | 8      | 0.2717       | 1.0717    
7729-102255-0018.wav                     | 11     | 0.2476       | 1.3476    
7729-102255-0003.wav                     | 11     | 0.3826       | 1.4826    
7729-102255-0015.wav                     | 11     | 0.3739       | 1.4739    
7729-102255-0002.wav                     | 11     | 0.2184       | 1.3184    
7729-102255-0041.wav                     | 8      | 0.3631       | 1.1631    
7729-102255-0011.wav                     | 8      | 0.3958       | 1.1958    
7729-102255-0000.wav                     | 8      | 0.2103       | 1.0103    
7729-102255-0046.wav                     | 11     | 0.3450       | 1.4450    
7729-102255-0012.wav                     | 8      | 0.3206       | 1.1206    
7729-102255-0028.wav                     | 11     | 0.2892       | 1.3892    
7729-102255-0026.wav                     | 11     | 0.2904       | 1.3904    
7729-102255-0009.wav                     | 11     | 0.1768       | 1.2768    
7729-102255-0008.wav                     | 8      | 0.3492       | 1.1492    
7729-102255-0037.wav                     | 11     | 0.2952       | 1.3952    
7729-102255-0027.wav                     | 14     | 0.3004       | 1.7004    
7729-102255-0023.wav                     | 11     | 0.2649       | 1.3649    
7729-102255-0017.wav                     | 11     | 0.3725       | 1.4725    
7729-102255-0019.wav                     | 11     | 0.2097       | 1.3097    
7729-102255-0042.wav                     | 11     | 0.2895       | 1.3895    
121-121726-0013.wav                      | 11     | 0.3025       | 1.4025    
121-127105-0006.wav                      | 8      | 0.2435       | 1.0435    
121-127105-0018.wav                      | 8      | 0.2545       | 1.0545    
121-121726-0002.wav                      | 11     | 0.2987       | 1.3987    
121-127105-0009.wav                      | 8      | 0.2962       | 1.0962    
121-121726-0012.wav                      | 8      | 0.3363       | 1.1363    
7729-102255-0040.wav                     | 11     | 0.2382       | 1.3382    
121-121726-0014.wav                      | 11     | 0.2182       | 1.3182    
121-127105-0031.wav                      | 8      | 0.2676       | 1.0676    
121-127105-0017.wav                      | 8      | 0.2189       | 1.0189    
121-127105-0027.wav                      | 8      | 0.2534       | 1.0534    
7729-102255-0038.wav                     | 14     | 0.1883       | 1.5883    
121-121726-0000.wav                      | 11     | 0.2746       | 1.3746    
121-127105-0012.wav                      | 8      | 0.3210       | 1.1210    
121-127105-0002.wav                      | 8      | 0.3024       | 1.1024    
121-127105-0010.wav                      | 8      | 0.2189       | 1.0189    
7729-102255-0029.wav                     | 14     | 0.2527       | 1.6527    
121-127105-0024.wav                      | 11     | 0.1919       | 1.2919    
121-127105-0035.wav                      | 11     | 0.1837       | 1.2837    
121-127105-0003.wav                      | 8      | 0.2335       | 1.0335    
121-127105-0014.wav                      | 11     | 0.2524       | 1.3524    
121-127105-0034.wav                      | 8      | 0.1881       | 0.9881    
121-127105-0013.wav                      | 8      | 0.2140       | 1.0140    
121-127105-0025.wav                      | 8      | 0.2506       | 1.0506    
121-121726-0010.wav                      | 14     | 0.2036       | 1.6036    
121-127105-0026.wav                      | 8      | 0.2678       | 1.0678    
121-127105-0015.wav                      | 8      | 0.2942       | 1.0942    
121-121726-0001.wav                      | 14     | 0.2281       | 1.6281    
121-121726-0008.wav                      | 14     | 0.2083       | 1.6083    
121-121726-0005.wav                      | 14     | 0.2380       | 1.6380    
121-121726-0006.wav                      | 14     | 0.2711       | 1.6711    
121-127105-0016.wav                      | 8      | 0.2032       | 1.0032    
121-121726-0004.wav                      | 14     | 0.2442       | 1.6442    
121-127105-0023.wav                      | 11     | 0.1698       | 1.2698    
121-121726-0011.wav                      | 14     | 0.2705       | 1.6705    
121-127105-0019.wav                      | 8      | 0.2884       | 1.0884    
121-127105-0032.wav                      | 11     | 0.2580       | 1.3580    
121-121726-0003.wav                      | 14     | 0.2231       | 1.6231    
121-127105-0008.wav                      | 8      | 0.1957       | 0.9957    
121-127105-0029.wav                      | 11     | 0.2358       | 1.3358    
121-127105-0011.wav                      | 8      | 0.2795       | 1.0795    
121-127105-0020.wav                      | 14     | 0.2366       | 1.6366    
121-127105-0007.wav                      | 8      | 0.2114       | 1.0114    
121-121726-0009.wav                      | 17     | 0.2139       | 1.9139    
121-127105-0004.wav                      | 14     | 0.2114       | 1.6114    
121-121726-0007.wav                      | 17     | 0.2088       | 1.9088    
121-127105-0005.wav                      | 11     | 0.2222       | 1.3222    
121-127105-0001.wav                      | 8      | 0.2061       | 1.0061    
121-123859-0002.wav                      | 11     | 0.1747       | 1.2747    
121-127105-0030.wav                      | 11     | 0.2289       | 1.3289    
121-127105-0021.wav                      | 11     | 0.1595       | 1.2595    
121-127105-0000.wav                      | 11     | 0.2708       | 1.3708    
8463-287645-0011.wav                     | 8      | 0.1343       | 0.9343    
121-127105-0036.wav                      | 11     | 0.3033       | 1.4033    
8463-287645-0009.wav                     | 8      | 0.2184       | 1.0184    
8463-287645-0010.wav                     | 8      | 0.2953       | 1.0953    
8463-287645-0000.wav                     | 8      | 0.3135       | 1.1135    
8463-287645-0004.wav                     | 8      | 0.3101       | 1.1101    
121-123852-0003.wav                      | 11     | 0.2537       | 1.3537    
8463-287645-0012.wav                     | 8      | 0.4183       | 1.2183    
121-127105-0028.wav                      | 14     | 0.4759       | 1.8759    
121-123859-0003.wav                      | 11     | 0.3588       | 1.4588    
8463-294825-0010.wav                     | 8      | 0.2602       | 1.0602    
121-123859-0004.wav                      | 11     | 0.3432       | 1.4432    
121-127105-0033.wav                      | 14     | 0.2529       | 1.6529    
8463-287645-0006.wav                     | 11     | 0.1499       | 1.2499    
8463-287645-0013.wav                     | 11     | 0.2769       | 1.3769    
121-123859-0001.wav                      | 14     | 0.2948       | 1.6948    
8463-294825-0002.wav                     | 11     | 0.2539       | 1.3539    
8463-287645-0001.wav                     | 8      | 0.4233       | 1.2233    
121-123859-0000.wav                      | 14     | 0.2867       | 1.6867    
8463-287645-0008.wav                     | 11     | 0.3634       | 1.4634    
121-123852-0004.wav                      | 11     | 0.4528       | 1.5528    
121-127105-0022.wav                      | 14     | 0.1729       | 1.5729    
8463-287645-0005.wav                     | 11     | 0.2728       | 1.3728    
121-123852-0002.wav                      | 14     | 0.2207       | 1.6207    
8463-287645-0014.wav                     | 11     | 0.2428       | 1.3428    
8463-287645-0002.wav                     | 11     | 0.3613       | 1.4613    
121-123852-0001.wav                      | 14     | 0.2342       | 1.6342    
8463-294825-0007.wav                     | 11     | 0.2531       | 1.3531    
8463-294825-0012.wav                     | 8      | 0.3053       | 1.1053    
8463-294825-0006.wav                     | 11     | 0.1923       | 1.2923    
8463-294825-0015.wav                     | 11     | 0.1494       | 1.2494    
8463-287645-0003.wav                     | 11     | 0.1389       | 1.2389    
8463-294825-0014.wav                     | 11     | 0.2751       | 1.3751    
